# Weather station Madrid / Cuatro Vientos (airport), Spain, WMO_ID=8223,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8223&lang=en
#
"Local time in Madrid / Cuatro Vientos (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.07.2020 13:00";"33.2";"703.9";"759.3";"";"23";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.3";"No precipitation";"6";"";"";"";"";
"23.07.2020 07:00";"22.5";"704.8";"762.3";"";"43";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"30.0";"9.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"22.07.2020 19:00";"32.8";"703.5";"758.8";"";"30";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"33.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"12.9";"No precipitation";"12";"";"";"";"";
"22.07.2020 13:00";"29.9";"705.0";"761.0";"";"32";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"11.4";"No precipitation";"6";"";"";"";"";
"22.07.2020 07:00";"20.8";"704.9";"762.7";"";"66";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"20.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"Altocumulus of a chaotic sky, generally at several levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"14.2";"2.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"18.0";"";"";
"21.07.2020 19:00";"31.1";"703.2";"758.8";"";"30";"Wind blowing from the west";"4";"";"";"60%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"25.0";"11.5";"No precipitation";"12";"";"";"";"";
"21.07.2020 13:00";"33.9";"704.2";"759.4";"";"25";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"11.1";"No precipitation";"6";"";"";"";"";
"21.07.2020 07:00";"23.9";"704.5";"761.6";"";"57";"Wind blowing from the east";"3";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"23.3";"";"";"";"";"";"";"30.0";"14.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"23.0";"";"";
"20.07.2020 19:00";"35.7";"701.8";"756.7";"";"12";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"37.1";"";"";"";"";"";"20.0";"1.9";"No precipitation";"12";"";"";"";"";
"20.07.2020 13:00";"34.1";"703.3";"758.5";"";"11";"Wind blowing from the south-southwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"-0.5";"No precipitation";"6";"";"";"";"";
"20.07.2020 07:00";"21.5";"702.7";"760.2";"";"50";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"19.7";"";"";"";"";"";"";"30.0";"10.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"19.07.2020 19:00";"35.4";"700.9";"755.7";"";"14";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"30.0";"3.8";"No precipitation";"12";"";"";"";"";
"19.07.2020 13:00";"33.6";"702.7";"757.9";"";"26";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"11.4";"No precipitation";"6";"";"";"";"";
"19.07.2020 07:00";"19.9";"703.0";"760.9";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.9";"";"";"";"";"";"";"30.0";"7.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"18.07.2020 19:00";"35.6";"701.2";"756.1";"";"11";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"36.9";"";"";"";"";"";"30.0";"0.6";"No precipitation";"12";"";"";"";"";
"18.07.2020 13:00";"30.6";"703.1";"758.9";"";"25";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.3";"No precipitation";"6";"";"";"";"";
"18.07.2020 07:00";"19.0";"703.9";"762.1";"";"52";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"18.1";"";"";"";"";"";"";"30.0";"8.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"17.07.2020 19:00";"34.0";"701.8";"756.9";"";"13";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"36.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"1.7";"No precipitation";"12";"";"";"";"";
"17.07.2020 13:00";"32.4";"703.4";"758.9";"";"19";"Wind blowing from the east";"4";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"5.8";"No precipitation";"6";"";"";"";"";
"17.07.2020 07:00";"21.6";"704.5";"762.1";"";"36";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";" ";"";"";"20.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"5.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"16.07.2020 19:00";"33.9";"703.0";"758.1";"";"25";"Wind blowing from the south-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"35.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.1";"No precipitation";"12";"";"";"";"";
"16.07.2020 13:00";"29.9";"705.4";"761.4";"";"32";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.4";"No precipitation";"6";"";"";"";"";
"16.07.2020 07:00";"18.9";"705.7";"764.0";"";"45";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";" ";"";"";"17.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"6.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"15.07.2020 19:00";"31.6";"703.1";"758.7";"";"26";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"33.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.8";"No precipitation";"12";"";"";"";"";
"15.07.2020 13:00";"28.8";"704.5";"760.7";"";"34";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.4";"No precipitation";"6";"";"";"";"";
"15.07.2020 07:00";"19.2";"704.1";"762.2";"";"50";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"8.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"14.07.2020 19:00";"31.6";"700.6";"756.0";"";"21";"Wind blowing from the east-northeast";"3";"";"";"60%.";" ";"";"";"";"34.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"6.6";"No precipitation";"12";"";"";"";"";
"14.07.2020 13:00";"29.8";"702.7";"758.5";"";"32";"Wind blowing from the east-northeast";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"11.3";"No precipitation";"6";"";"";"";"";
"14.07.2020 07:00";"19.8";"704.3";"762.4";"";"40";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";" ";"";"";"19.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"5.8";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"13.07.2020 19:00";"32.0";"703.3";"758.7";"";"32";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"34.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.2";"No precipitation";"12";"";"";"";"";
"13.07.2020 13:00";"32.0";"705.5";"761.2";"";"31";"Wind blowing from the north-east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"12.8";"No precipitation";"6";"";"";"";"";
"13.07.2020 07:00";"20.2";"705.7";"763.7";"";"59";"Wind blowing from the north";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"19.1";"";"";"";"";"";"";"30.0";"11.9";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"12.07.2020 19:00";"27.6";"703.6";"759.6";"";"72";"Wind blowing from the east-southeast";"6";"";"";"70 – 80%.";" ";"";"";"";"34.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"25.0";"22.1";"Trace of precipitation";"12";"";"";"";"";
"12.07.2020 13:00";"30.6";"703.9";"759.7";"";"38";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Rain shower(s), moderate or heavy. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"14.7";"Trace of precipitation";"6";"";"";"";"";
"12.07.2020 07:00";"23.3";"703.7";"760.8";"";"65";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"22.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus castellanus or floccus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"25.0";"16.4";"Trace of precipitation";"12";"Surface of ground moist.";"20.0";"";"";
"11.07.2020 19:00";"35.0";"701.7";"756.5";"";"20";"Wind blowing from the south-east";"3";"";"";"40%.";" ";"";"";"";"36.7";"Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"8.7";"No precipitation";"12";"";"";"";"";
"11.07.2020 13:00";"32.7";"703.6";"759.1";"";"26";"Wind blowing from the east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.7";"No precipitation";"6";"";"";"";"";
"11.07.2020 07:00";"22.4";"703.9";"761.2";"";"60";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"21.6";"";"";"";"";"";"";"30.0";"14.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"21.0";"";"";
"10.07.2020 19:00";"32.1";"701.5";"756.9";"";"26";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"";"33.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.2";"No precipitation";"12";"";"";"";"";
"10.07.2020 13:00";"29.3";"703.2";"759.1";"";"34";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"11.8";"No precipitation";"6";"";"";"";"";
"10.07.2020 07:00";"19.5";"703.5";"761.4";"";"62";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"";"";"18.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"12.0";"4.0";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"09.07.2020 19:00";"26.4";"703.9";"760.5";"";"36";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"34.5";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.1";"Trace of precipitation";"12";"";"";"";"";
"09.07.2020 13:00";"31.7";"703.7";"759.4";"";"24";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"8.7";"No precipitation";"6";"";"";"";"";
"09.07.2020 07:00";"21.8";"703.7";"761.2";"";"50";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"21.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"08.07.2020 19:00";"31.6";"700.0";"755.3";"";"27";"Wind blowing from the south-east";"10";"";"";"50%.";" ";"";"";"";"37.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"30.0";"10.3";"Trace of precipitation";"12";"";"";"";"";
"08.07.2020 13:00";"33.6";"702.1";"757.3";"";"23";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"9.6";"Trace of precipitation";"6";"";"";"";"";
"08.07.2020 07:00";"24.2";"704.3";"761.5";"";"36";"Wind blowing from the west-southwest";"7";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"8.2";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"07.07.2020 19:00";"36.8";"701.5";"756.1";"";"11";"Wind blowing from the west-southwest";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"38.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"1.5";"No precipitation";"12";"";"";"";"";
"07.07.2020 13:00";"34.8";"703.4";"758.4";"";"22";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.9";"No precipitation";"6";"";"";"";"";
"07.07.2020 07:00";"22.2";"704.1";"761.6";"";"35";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"30.0";"6.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"06.07.2020 19:00";"35.6";"702.5";"757.3";"";"26";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"37.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.1";"No precipitation";"12";"";"";"";"";
"06.07.2020 13:00";"35.2";"704.5";"759.4";"";"27";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.4";"No precipitation";"6";"";"";"";"";
"06.07.2020 07:00";"23.8";"705.1";"762.2";"";"53";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";"Cloud development not observed or not observable. ";"";"";"23.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"05.07.2020 19:00";"35.0";"703.9";"758.9";"";"23";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"30.0";"10.8";"No precipitation";"12";"";"";"";"";
"05.07.2020 13:00";"33.1";"706.3";"761.8";"";"30";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.2";"No precipitation";"6";"";"";"";"";
"05.07.2020 07:00";"21.6";"707.4";"765.3";"";"40";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"30.0";"7.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"04.07.2020 19:00";"33.1";"705.4";"760.9";"";"20";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"";"34.7";"";"";"";"";"";"30.0";"7.1";"No precipitation";"12";"";"";"";"";
"04.07.2020 13:00";"30.4";"707.4";"763.6";"";"25";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.2";"No precipitation";"6";"";"";"";"";
"04.07.2020 07:00";"19.3";"707.5";"765.9";"";"43";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"30.0";"6.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"03.07.2020 19:00";"31.4";"704.4";"760.2";"";"20";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"30.0";"5.8";"No precipitation";"12";"";"";"";"";
"03.07.2020 13:00";"28.2";"705.6";"762.0";"";"33";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.4";"No precipitation";"6";"";"";"";"";
"03.07.2020 07:00";"17.0";"705.4";"764.1";"";"64";"Wind blowing from the north-northeast";"5";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"30.0";"10.1";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"02.07.2020 19:00";"29.7";"702.1";"757.9";"";"25";"Wind blowing from the west-southwest";"7";"";"";"20–30%.";" ";"";"";"";"32.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"7.6";"No precipitation";"12";"";"";"";"";
"02.07.2020 13:00";"31.4";"703.0";"758.6";"";"20";"Wind blowing from the south-west";"8";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.8";"No precipitation";"6";"";"";"";"";
"02.07.2020 07:00";"21.9";"702.4";"759.8";"";"53";"Wind blowing from the south-west";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"20.0";"";"";"";"";"";"";"30.0";"11.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"01.07.2020 19:00";"33.5";"700.5";"755.5";"";"21";"Wind blowing from the south-west";"7";"";"";"50%.";" ";"";"";"";"34.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"8.2";"No precipitation";"12";"";"";"";"";
"01.07.2020 13:00";"31.3";"701.5";"757.0";"";"24";"Wind blowing from the south-west";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"8.3";"No precipitation";"6";"";"";"";"";
"01.07.2020 07:00";"22.3";"701.1";"758.3";"";"47";"Wind blowing from the west-southwest";"4";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"21.3";"";"";"";"";"";"";"30.0";"10.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"30.06.2020 19:00";"35.4";"698.8";"753.3";"";"19";"Wind blowing from the west-southwest";"5";"";"";"40%.";" ";"";"";"";"37.3";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"8.3";"No precipitation";"12";"";"";"";"";
