# Weather station London City (airport), UK, METAR=EGLC,selection from 03.04.2020 till 01.09.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGLC&lang=en
#
"Local time in London City (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"24.08.2020 22:50";"17.0";"758.6";"759.0";"83";"Wind blowing from the south-southwest";"4";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"14.0";
"24.08.2020 22:20";"17.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"4";"";"";"";"Few clouds (10-30%) 780 m, scattered clouds (40-50%) 900 m";"10.0 and more";"14.0";
"24.08.2020 21:50";"17.0";"759.3";"759.7";"83";"Wind blowing from the south-west";"4";"";"";"";"Few clouds (10-30%) 450 m";"10.0 and more";"14.0";
"24.08.2020 21:20";"17.0";"759.3";"759.7";"88";"Wind blowing from the south-west";"4";"";"";"";"Few clouds (10-30%) 510 m";"10.0 and more";"15.0";
"24.08.2020 20:50";"18.0";"760.1";"760.5";"83";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"24.08.2020 20:20";"18.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"24.08.2020 19:50";"18.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"3";"";"";"";"Broken clouds (60-90%) 1020 m";"10.0 and more";"15.0";
"24.08.2020 19:20";"18.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"24.08.2020 18:50";"18.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"3";"";"";"";"Cumulus congestus of great vertical extent";"10.0 and more";"15.0";
"24.08.2020 18:20";"18.0";"759.3";"759.7";"83";"Wind blowing from the south-southwest";"4";"";"Light rain";"";"Few clouds (10-30%) 1260 m, cumulonimbus clouds";"10.0 and more";"15.0";
"24.08.2020 17:50";"18.0";"759.3";"759.7";"88";"Wind blowing from the south-west";"4";"";"Light rain";"";"Cumulonimbus clouds";"10.0 and more";"16.0";
"24.08.2020 17:20";"20.0";"760.1";"760.5";"73";"Wind blowing from the south-west";"4";"";"";"";"Cumulonimbus clouds";"10.0 and more";"15.0";
"24.08.2020 16:50";"20.0";"760.1";"760.5";"73";"Wind blowing from the south-west";"3";"";"";"";"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 1440 m, cumulonimbus clouds";"10.0 and more";"15.0";
"24.08.2020 16:20";"20.0";"760.1";"760.5";"73";"Wind blowing from the south-southwest";"4";"";"Light rain";"";"Few clouds (10-30%) 1410 m, cumulonimbus clouds";"10.0 and more";"15.0";
"24.08.2020 15:50";"21.0";"760.1";"760.5";"64";"Wind blowing from the south-west";"5";"";"Light rain";"";"Scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1320 m, cumulonimbus clouds";"10.0 and more";"14.0";
"24.08.2020 15:20";"21.0";"760.1";"760.5";"64";"Wind blowing from the west-southwest";"5";"";"Light rain";"Rain";"Few clouds (10-30%) 840 m, cumulonimbus clouds , scattered clouds (40-50%) 1350 m";"10.0 and more";"14.0";
"24.08.2020 14:50";"23.0";"760.1";"760.5";"50";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 1320 m, cumulonimbus clouds";"10.0 and more";"12.0";
"24.08.2020 14:20";"23.0";"760.1";"760.5";"50";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 13:50";"22.0";"760.8";"761.2";"53";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 1110 m, cumulonimbus clouds";"10.0 and more";"12.0";
"24.08.2020 13:20";"21.0";"760.8";"761.2";"57";"Wind blowing from the west";"5";"";"";"";"Scattered clouds (40-50%) 1260 m, cumulonimbus clouds";"10.0 and more";"12.0";
"24.08.2020 12:50";"21.0";"760.8";"761.2";"53";"Wind blowing from the west";"4";"";"";"";"Scattered clouds (40-50%) 1230 m, broken clouds (60-90%) 1470 m";"10.0 and more";"11.0";
"24.08.2020 12:20";"21.0";"760.8";"761.2";"53";"Wind blowing from the south-west";"4";"";"";"";"Few clouds (10-30%) 1260 m";"10.0 and more";"11.0";
"24.08.2020 11:50";"21.0";"760.8";"761.2";"53";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 11:20";"20.0";"760.8";"761.2";"56";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 10:50";"20.0";"761.6";"762.0";"56";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 10:20";"20.0";"761.6";"762.0";"56";"Wind blowing from the west";"5";"";"";"";"Scattered clouds (40-50%) 960 m";"10.0 and more";"11.0";
"24.08.2020 09:50";"19.0";"761.6";"762.0";"60";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"11.0";
"24.08.2020 09:20";"19.0";"761.6";"762.0";"60";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 08:50";"18.0";"761.6";"762.0";"68";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 660 m";"10.0 and more";"12.0";
"24.08.2020 08:20";"17.0";"761.6";"762.0";"73";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 07:50";"16.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 07:20";"16.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 06:50";"16.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 06:20";"15.0";"761.6";"762.0";"82";"Wind blowing from the west-southwest";"5";"";"";"";"Few clouds (10-30%) 390 m";"10.0 and more";"12.0";
"24.08.2020 05:50";"15.0";"761.6";"762.0";"82";"Wind blowing from the west-southwest";"5";"";"";"";"Few clouds (10-30%) 390 m";"10.0 and more";"12.0";
"24.08.2020 05:20";"15.0";"761.6";"762.0";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"24.08.2020 04:50";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 1470 m";"10.0 and more";"11.0";
"24.08.2020 04:20";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 03:50";"15.0";"761.6";"762.0";"77";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 03:20";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 02:50";"14.0";"761.6";"762.0";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 02:20";"15.0";"761.6";"762.0";"77";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 01:50";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 01:20";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 00:50";"15.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"24.08.2020 00:20";"15.0";"762.4";"762.8";"77";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"23.08.2020 23:50";"16.0";"762.4";"762.8";"72";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"23.08.2020 23:20";"16.0";"762.4";"762.8";"72";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"23.08.2020 22:50";"16.0";"762.4";"762.8";"68";"Wind blowing from the west";"6";"";"";"";"Scattered clouds (40-50%) 780 m";"10.0 and more";"10.0";
"23.08.2020 22:20";"17.0";"762.4";"762.8";"64";"Wind blowing from the west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"23.08.2020 21:50";"17.0";"762.4";"762.8";"64";"Wind blowing from the west-southwest";"7";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"23.08.2020 21:20";"18.0";"762.4";"762.8";"60";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1110 m";"10.0 and more";"10.0";
"23.08.2020 20:50";"18.0";"762.4";"762.8";"56";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"9.0";
"23.08.2020 20:20";"18.0";"762.4";"762.8";"56";"Wind blowing from the west-southwest";"5";"";"";"";"Broken clouds (60-90%) 1200 m";"10.0 and more";"9.0";
"23.08.2020 19:50";"18.0";"762.4";"762.8";"56";"Wind blowing from the west";"6";"";"";"";"Few clouds (10-30%) 1230 m";"10.0 and more";"9.0";
"23.08.2020 19:20";"19.0";"762.4";"762.8";"52";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1230 m";"10.0 and more";"9.0";
"23.08.2020 18:50";"19.0";"761.6";"762.0";"52";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"23.08.2020 18:20";"20.0";"761.6";"762.0";"49";"Wind blowing from the west";"8";"";"";"";"Few clouds (10-30%) 1470 m";"10.0 and more";"9.0";
"23.08.2020 17:50";"21.0";"761.6";"762.0";"53";"Wind blowing from the west";"7";"";"";"";"Broken clouds (60-90%) 1320 m";"10.0 and more";"11.0";
"23.08.2020 17:20";"21.0";"761.6";"762.0";"53";"Wind blowing from the west";"8";"";"";"";"Few clouds (10-30%) 1230 m, cumulonimbus clouds";"10.0 and more";"11.0";
"23.08.2020 16:50";"22.0";"761.6";"762.0";"53";"Wind blowing from the west";"7";"";"";"";"Broken clouds (60-90%) 1200 m, cumulonimbus clouds";"10.0 and more";"12.0";
"23.08.2020 16:20";"22.0";"761.6";"762.0";"53";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 1170 m, cumulonimbus clouds";"10.0 and more";"12.0";
"23.08.2020 15:50";"22.0";"761.6";"762.0";"53";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1080 m, scattered clouds (40-50%) 1320 m, cumulonimbus clouds";"10.0 and more";"12.0";
"23.08.2020 15:20";"22.0";"761.6";"762.0";"53";"Wind blowing from the west";"7";"";"";"";"Few clouds (10-30%) 1410 m, cumulonimbus clouds";"10.0 and more";"12.0";
"23.08.2020 14:50";"22.0";"761.6";"762.0";"53";"Wind blowing from the west";"6";"";"";"";"Few clouds (10-30%) 1080 m";"10.0 and more";"12.0";
"23.08.2020 14:20";"21.0";"761.6";"762.0";"60";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 1050 m";"10.0 and more";"13.0";
"23.08.2020 13:50";"22.0";"761.6";"762.0";"53";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 1170 m";"10.0 and more";"12.0";
"23.08.2020 13:20";"22.0";"762.4";"762.8";"53";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 1290 m";"10.0 and more";"12.0";
"23.08.2020 12:50";"21.0";"762.4";"762.8";"57";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 1380 m";"10.0 and more";"12.0";
"23.08.2020 12:20";"21.0";"762.4";"762.8";"57";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1080 m, broken clouds (60-90%) 1260 m";"10.0 and more";"12.0";
"23.08.2020 11:50";"21.0";"762.4";"762.8";"57";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1170 m";"10.0 and more";"12.0";
"23.08.2020 11:20";"20.0";"762.4";"762.8";"60";"Wind blowing from the west";"6";"";"";"";"Few clouds (10-30%) 1020 m, overcast (100%) 1440 m";"10.0 and more";"12.0";
"23.08.2020 10:50";"20.0";"762.4";"762.8";"60";"Wind blowing from the west";"6";"";"";"";"Few clouds (10-30%) 930 m, overcast (100%) 1470 m";"10.0 and more";"12.0";
"23.08.2020 10:20";"19.0";"762.4";"762.8";"64";"Wind blowing from the west";"6";"";"";"";"Scattered clouds (40-50%) 840 m, broken clouds (60-90%) 1200 m, broken clouds (60-90%) 1410 m";"10.0 and more";"12.0";
"23.08.2020 09:50";"20.0";"762.4";"762.8";"60";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1260 m";"10.0 and more";"12.0";
"23.08.2020 09:20";"20.0";"761.6";"762.0";"60";"Wind blowing from the west";"5";"";"";"";"Scattered clouds (40-50%) 810 m, scattered clouds (40-50%) 1410 m";"10.0 and more";"12.0";
"23.08.2020 08:50";"19.0";"761.6";"762.0";"68";"Wind blowing from the west";"6";"";"";"";"Scattered clouds (40-50%) 660 m, scattered clouds (40-50%) 780 m";"10.0 and more";"13.0";
"23.08.2020 08:20";"19.0";"761.6";"762.0";"68";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 630 m";"10.0 and more";"13.0";
"23.08.2020 07:50";"18.0";"761.6";"762.0";"73";"Wind blowing from the west-southwest";"5";"";"";"";"Few clouds (10-30%) 570 m";"10.0 and more";"13.0";
"23.08.2020 07:20";"17.0";"761.6";"762.0";"77";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 450 m";"10.0 and more";"13.0";
"23.08.2020 06:50";"16.0";"761.6";"762.0";"83";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 450 m";"10.0 and more";"13.0";
"23.08.2020 06:20";"16.0";"760.8";"761.2";"83";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 450 m";"10.0 and more";"13.0";
"23.08.2020 05:50";"16.0";"760.8";"761.2";"83";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 480 m";"10.0 and more";"13.0";
"23.08.2020 05:20";"16.0";"760.8";"761.2";"77";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 510 m, broken clouds (60-90%) 1290 m";"10.0 and more";"12.0";
"23.08.2020 04:50";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 1050 m";"10.0 and more";"12.0";
"23.08.2020 04:20";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 570 m";"10.0 and more";"12.0";
"23.08.2020 03:50";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 660 m";"10.0 and more";"12.0";
"23.08.2020 03:20";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"5";"";"";"";"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 840 m";"10.0 and more";"12.0";
"23.08.2020 02:50";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 630 m, overcast (100%) 810 m";"10.0 and more";"12.0";
"23.08.2020 02:20";"16.0";"760.1";"760.5";"77";"Wind blowing from the west-southwest";"6";"11";"";"";"Scattered clouds (40-50%) 660 m";"10.0 and more";"12.0";
"23.08.2020 01:50";"17.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 690 m, broken clouds (60-90%) 1230 m";"10.0 and more";"11.0";
"23.08.2020 01:20";"17.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 720 m, overcast (100%) 1080 m";"10.0 and more";"11.0";
"23.08.2020 00:50";"17.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 750 m, broken clouds (60-90%) 930 m, overcast (100%) 1350 m";"10.0 and more";"11.0";
"23.08.2020 00:20";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"7";"";"";"";"Few clouds (10-30%) 1080 m, broken clouds (60-90%) 1320 m";"10.0 and more";"12.0";
"22.08.2020 23:50";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 1260 m";"10.0 and more";"12.0";
"22.08.2020 23:20";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 720 m";"10.0 and more";"12.0";
"22.08.2020 22:50";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 780 m, broken clouds (60-90%) 1290 m";"10.0 and more";"12.0";
"22.08.2020 22:20";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"22.08.2020 21:50";"17.0";"760.1";"760.5";"73";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"22.08.2020 21:20";"18.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"22.08.2020 20:50";"18.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"22.08.2020 20:20";"18.0";"760.1";"760.5";"68";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1260 m";"10.0 and more";"12.0";
"22.08.2020 19:50";"19.0";"759.3";"759.7";"64";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 1080 m, scattered clouds (40-50%) 1470 m";"10.0 and more";"12.0";
"22.08.2020 19:20";"19.0";"759.3";"759.7";"64";"Wind blowing from the west-southwest";"6";"";"";"";"Scattered clouds (40-50%) 1140 m, cumulonimbus clouds";"10.0 and more";"12.0";
"22.08.2020 18:50";"19.0";"759.3";"759.7";"64";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 1050 m, scattered clouds (40-50%) 1320 m";"10.0 and more";"12.0";
"22.08.2020 18:20";"20.0";"759.3";"759.7";"60";"Wind blowing from the south-west";"8";"";"";"";"Few clouds (10-30%) 1080 m, scattered clouds (40-50%) 1350 m, cumulonimbus clouds";"10.0 and more";"12.0";
"22.08.2020 17:50";"20.0";"758.6";"759.0";"60";"Wind blowing from the south-west";"8";"";"";"";"Few clouds (10-30%) 1260 m, broken clouds (60-90%) 1470 m";"10.0 and more";"12.0";
"22.08.2020 17:20";"20.0";"758.6";"759.0";"56";"Wind blowing from the south-west";"8";"";"";"";"Scattered clouds (40-50%) 1290 m, cumulonimbus clouds";"10.0 and more";"11.0";
"22.08.2020 16:50";"21.0";"758.6";"759.0";"53";"Wind blowing from the west-southwest";"9";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"11.0";
"22.08.2020 16:20";"22.0";"758.6";"759.0";"50";"Wind blowing from the south-west";"7";"";"";"";"Few clouds (10-30%) 1470 m";"10.0 and more";"11.0";
"22.08.2020 15:50";"22.0";"758.6";"759.0";"50";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 1380 m";"10.0 and more";"11.0";
"22.08.2020 15:20";"22.0";"758.6";"759.0";"50";"Wind blowing from the west-southwest";"9";"";"";"";"Few clouds (10-30%) 1320 m";"10.0 and more";"11.0";
"22.08.2020 14:50";"21.0";"758.6";"759.0";"57";"Wind blowing from the west-southwest";"8";"";"Light rain";"";"Broken clouds (60-90%) 1080 m";"10.0 and more";"12.0";
"22.08.2020 14:20";"22.0";"758.6";"759.0";"50";"Wind blowing from the west-southwest";"8";"14";"";"";"Broken clouds (60-90%) 1260 m";"10.0 and more";"11.0";
"22.08.2020 13:50";"22.0";"758.6";"759.0";"50";"Wind blowing from the south-west";"8";"";"";"";"Few clouds (10-30%) 1320 m";"10.0 and more";"11.0";
"22.08.2020 13:20";"21.0";"758.6";"759.0";"53";"Wind blowing from the south-west";"8";"";"";"";"Few clouds (10-30%) 1320 m, cumulonimbus clouds";"10.0 and more";"11.0";
"22.08.2020 12:50";"22.0";"758.6";"759.0";"47";"Wind blowing from the west";"8";"";"";"";"Broken clouds (60-90%) 1320 m";"10.0 and more";"10.0";
"22.08.2020 12:20";"22.0";"758.6";"759.0";"47";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 1410 m";"10.0 and more";"10.0";
"22.08.2020 11:50";"23.0";"758.6";"759.0";"44";"Wind blowing from the west-southwest";"8";"";"";"";"Few clouds (10-30%) 1380 m";"10.0 and more";"10.0";
"22.08.2020 11:20";"22.0";"758.6";"759.0";"47";"Wind blowing from the south-west";"8";"";"";"";"Scattered clouds (40-50%) 1380 m";"10.0 and more";"10.0";
"22.08.2020 10:50";"22.0";"758.6";"759.0";"50";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 1110 m, broken clouds (60-90%) 1440 m";"10.0 and more";"11.0";
"22.08.2020 10:20";"21.0";"758.6";"759.0";"53";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 1050 m, broken clouds (60-90%) 1470 m";"10.0 and more";"11.0";
"22.08.2020 09:50";"20.0";"758.6";"759.0";"60";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 1260 m, cumulus congestus of great vertical extent";"10.0 and more";"12.0";
"22.08.2020 09:20";"20.0";"758.6";"759.0";"56";"Wind blowing from the west-southwest";"7";"";"";"";"Few clouds (10-30%) 1200 m, cumulonimbus clouds";"10.0 and more";"11.0";
"22.08.2020 08:50";"20.0";"758.6";"759.0";"56";"Wind blowing from the west-southwest";"8";"";"";"";"Few clouds (10-30%) 1020 m, scattered clouds (40-50%) 1290 m";"10.0 and more";"11.0";
"22.08.2020 08:20";"20.0";"757.8";"758.2";"56";"Wind blowing from the west-southwest";"7";"15";"";"";"Scattered clouds (40-50%) 870 m, broken clouds (60-90%) 1110 m";"10.0 and more";"11.0";
"22.08.2020 07:50";"19.0";"757.8";"758.2";"64";"Wind blowing from the west-southwest";"7";"";"";"";"Broken clouds (60-90%) 780 m";"10.0 and more";"12.0";
"22.08.2020 07:20";"18.0";"757.8";"758.2";"68";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 720 m";"10.0 and more";"12.0";
"22.08.2020 06:50";"18.0";"757.8";"758.2";"68";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 690 m";"10.0 and more";"12.0";
"22.08.2020 06:20";"18.0";"757.8";"758.2";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 690 m";"10.0 and more";"13.0";
"22.08.2020 05:50";"18.0";"757.8";"758.2";"73";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"13.0";
"22.08.2020 05:20";"18.0";"757.3";"757.7";"73";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 1320 m";"10.0 and more";"13.0";
"22.08.2020 04:50";"18.0";"757.3";"757.7";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 720 m, scattered clouds (40-50%) 840 m";"10.0 and more";"13.0";
"22.08.2020 04:20";"18.0";"757.3";"757.7";"73";"Wind blowing from the south-west";"7";"";"";"";"Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 960 m";"10.0 and more";"13.0";
"22.08.2020 03:50";"18.0";"756.5";"756.9";"73";"Wind blowing from the south-west";"4";"";"";"";"Broken clouds (60-90%) 720 m";"10.0 and more";"13.0";
"22.08.2020 03:20";"18.0";"756.5";"756.9";"73";"Wind blowing from the south-west";"4";"";"";"";"Scattered clouds (40-50%) 900 m";"10.0 and more";"13.0";
"22.08.2020 02:50";"18.0";"756.5";"756.9";"73";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 690 m";"10.0 and more";"13.0";
"22.08.2020 02:20";"18.0";"756.5";"756.9";"73";"Wind blowing from the south-west";"5";"";"";"";"Broken clouds (60-90%) 690 m, overcast (100%) 1140 m";"10.0 and more";"13.0";
"22.08.2020 01:50";"18.0";"756.5";"756.9";"73";"Wind blowing from the west-southwest";"6";"";"";"";"Broken clouds (60-90%) 1230 m";"10.0 and more";"13.0";
"22.08.2020 01:20";"18.0";"756.5";"756.9";"73";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"22.08.2020 00:50";"18.0";"756.5";"756.9";"73";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 720 m";"10.0 and more";"13.0";
"22.08.2020 00:20";"19.0";"756.5";"756.9";"68";"Wind blowing from the west-southwest";"7";"";"";"";"Scattered clouds (40-50%) 780 m, broken clouds (60-90%) 900 m";"10.0 and more";"13.0";
"21.08.2020 23:50";"19.0";"756.5";"756.9";"68";"Wind blowing from the south-west";"7";"";"";"";"Few clouds (10-30%) 930 m, broken clouds (60-90%) 1320 m";"10.0 and more";"13.0";
"21.08.2020 23:20";"19.0";"756.5";"756.9";"68";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 780 m, broken clouds (60-90%) 930 m";"10.0 and more";"13.0";
"21.08.2020 22:50";"19.0";"756.5";"756.9";"68";"Wind blowing from the south-west";"6";"";"";"";"Broken clouds (60-90%) 930 m";"10.0 and more";"13.0";
"21.08.2020 22:20";"19.0";"756.5";"756.9";"68";"Wind blowing from the south-west";"6";"";"";"";"Few clouds (10-30%) 840 m, scattered clouds (40-50%) 1020 m";"10.0 and more";"13.0";
"21.08.2020 21:50";"19.0";"755.8";"756.2";"68";"Wind blowing from the south-west";"5";"";"";"";"Scattered clouds (40-50%) 810 m";"10.0 and more";"13.0";
"21.08.2020 21:20";"19.0";"755.8";"756.2";"68";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"13.0";
"21.08.2020 20:50";"19.0";"755.8";"756.2";"68";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"13.0";
"21.08.2020 20:20";"20.0";"755.8";"756.2";"64";"Wind blowing from the south-west";"7";"";"";"";"Scattered clouds (40-50%) 960 m";"10.0 and more";"13.0";
"21.08.2020 19:50";"20.0";"755.8";"756.2";"64";"Wind blowing from the south-west";"5";"";"";"";"Scattered clouds (40-50%) 990 m";"10.0 and more";"13.0";
"21.08.2020 19:20";"20.0";"755.0";"755.4";"64";"Wind blowing from the south-west";"7";"";"";"";"Few clouds (10-30%) 1110 m";"10.0 and more";"13.0";
"21.08.2020 18:50";"21.0";"755.0";"755.4";"57";"Wind blowing from the south-west";"6";"11";"";"";"Few clouds (10-30%) 1140 m";"10.0 and more";"12.0";
"21.08.2020 18:20";"21.0";"755.0";"755.4";"57";"Wind blowing from the south-west";"8";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
