# Weather station Prague / Vaclav Havel (airport), Czech Republic, WMO_ID=11518,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11518&lang=en
#
"Local time in Prague / Vaclav Havel (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.08.2020 09:00";"24.3";"732.5";"763.5";"0.4";"64";"Wind blowing from the east-northeast";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.1";"No precipitation";"1";"";"";"";"";
"11.08.2020 08:00";"21.3";"732.4";"763.7";"0.4";"82";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.1";"No precipitation";"1";"";"";"";"";
"11.08.2020 07:00";"21.0";"732.3";"763.6";"0.5";"81";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"17.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"17.6";"No precipitation";"12";"Surface of ground moist.";"17.0";"";"";
"11.08.2020 06:00";"18.9";"732.1";"763.7";"-0.1";"92";"Wind blowing from the south-southwest";"1";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"17.5";"No precipitation";"1";"";"";"";"";
"11.08.2020 05:00";"17.8";"732.0";"763.7";"-0.1";"95";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"17.0";"No precipitation";"1";"";"";"";"";
"11.08.2020 04:00";"17.9";"731.8";"763.4";"-0.3";"95";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"8.0";"17.1";"No precipitation";"1";"";"";"";"";
"11.08.2020 03:00";"18.5";"732.2";"763.9";"-0.1";"92";"Wind blowing from the north-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"12.0";"17.2";"No precipitation";"1";"";"";"";"";
"11.08.2020 02:00";"18.6";"732.1";"763.6";"-0.1";"92";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"12.0";"17.2";"No precipitation";"1";"";"";"";"";
"11.08.2020 01:00";"18.4";"732.1";"763.7";"0.3";"94";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"13.0";"17.4";"No precipitation";"6";"";"";"";"";
"11.08.2020 00:00";"18.3";"732.3";"763.9";"0.6";"97";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"9.0";"17.8";"No precipitation";"1";"";"";"";"";
"10.08.2020 23:00";"18.2";"732.2";"763.9";"0.7";"97";"variable wind direction";"1";"";"";"70 – 80%.";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"17.7";"No precipitation";"1";"";"";"";"";
"10.08.2020 22:00";"18.7";"731.8";"763.4";"0.6";"92";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"12.0";"17.4";"No precipitation";"1";"";"";"";"";
"10.08.2020 21:00";"19.3";"731.7";"763.2";"0.6";"93";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"11.0";"18.1";"No precipitation";"1";"";"";"";"";
"10.08.2020 20:00";"20.0";"731.5";"762.9";"0.1";"84";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"17.2";"No precipitation";"1";"";"";"";"";
"10.08.2020 19:00";"20.6";"731.2";"762.6";"-0.9";"82";"Wind blowing from the east-northeast";"3";"";"12";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"17.4";"4.0";"12";"";"";"";"";
"10.08.2020 18:00";"21.6";"731.1";"762.3";"-0.4";"74";"Wind blowing from the east-southeast";"3";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"20.0";"16.8";"Trace of precipitation";"1";"";"";"";"";
"10.08.2020 17:00";"19.4";"731.4";"762.9";"0.4";"88";"Wind blowing from the east-southeast";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"20.0";"17.3";"2.0";"1";"";"";"";"";
"10.08.2020 16:00";"18.9";"732.1";"763.6";"1.5";"87";"Wind blowing from the north";"4";"";"12";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"8.0";"16.7";"2.0";"1";"";"";"";"";
"10.08.2020 15:00";"21.8";"731.5";"762.7";"0.9";"76";"Wind blowing from the north";"6";"";"12";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"10.0";"17.3";"0.2";"1";"";"";"";"";
"10.08.2020 14:00";"23.7";"731.0";"762.0";"0.1";"68";"Wind blowing from the east";"8";"";"12";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"5.0";"17.4";"Trace of precipitation";"1";"";"";"";"";
"10.08.2020 13:00";"29.7";"730.6";"760.9";"-0.5";"41";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"25.0";"15.2";"No precipitation";"6";"";"";"";"";
"10.08.2020 12:00";"28.6";"730.6";"761.1";"-0.6";"44";"Wind blowing from the east-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"25.0";"15.3";"No precipitation";"1";"";"";"";"";
"10.08.2020 11:00";"28.7";"730.9";"761.3";"-0.3";"48";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"16.6";"No precipitation";"1";"";"";"";"";
"10.08.2020 10:00";"28.1";"731.1";"761.6";"0.0";"50";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"25.0";"16.7";"No precipitation";"1";"";"";"";"";
"10.08.2020 09:00";"27.1";"731.2";"761.8";"0.1";"55";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"17.3";"No precipitation";"1";"";"";"";"";
"10.08.2020 08:00";"25.0";"731.2";"762.1";"0.3";"61";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"17.0";"No precipitation";"1";"";"";"";"";
"10.08.2020 07:00";"22.5";"731.1";"762.2";"0.2";"73";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"17.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"10.08.2020 06:00";"19.3";"731.1";"762.6";"0.0";"85";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"16.7";"No precipitation";"1";"";"";"";"";
"10.08.2020 05:00";"17.6";"730.9";"762.7";"0.0";"86";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"18.0";"15.2";"No precipitation";"1";"";"";"";"";
"10.08.2020 04:00";"18.6";"730.9";"762.5";"-0.1";"81";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"15.3";"No precipitation";"1";"";"";"";"";
"10.08.2020 03:00";"21.0";"731.1";"762.4";"-0.1";"70";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"15.4";"No precipitation";"1";"";"";"";"";
"10.08.2020 02:00";"20.8";"730.9";"762.3";"-0.3";"72";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"15.6";"No precipitation";"1";"";"";"";"";
"10.08.2020 01:00";"21.9";"731.0";"762.2";"-0.2";"67";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"15.4";"No precipitation";"6";"";"";"";"";
"10.08.2020 00:00";"23.1";"731.2";"762.3";"0.0";"61";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.1";"No precipitation";"1";"";"";"";"";
"09.08.2020 23:00";"23.6";"731.2";"762.2";"0.2";"59";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"15.1";"No precipitation";"1";"";"";"";"";
"09.08.2020 22:00";"24.4";"731.2";"762.2";"0.4";"54";"Wind blowing from the east-southeast";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"14.6";"No precipitation";"1";"";"";"";"";
"09.08.2020 21:00";"24.5";"731.2";"762.1";"0.5";"54";"Wind blowing from the east-southeast";"4";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.6";"No precipitation";"1";"";"";"";"";
"09.08.2020 20:00";"25.8";"731.0";"761.8";"0.1";"51";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"14.8";"No precipitation";"1";"";"";"";"";
"09.08.2020 19:00";"26.6";"730.8";"761.5";"-0.4";"48";"Wind blowing from the east";"4";"";"";"40%.";" ";"";"";"";"31.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"14.7";"No precipitation";"12";"";"";"";"";
"09.08.2020 18:00";"29.5";"730.7";"761.2";"-0.8";"38";"Wind blowing from the east";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"13.7";"No precipitation";"1";"";"";"";"";
"09.08.2020 17:00";"30.9";"730.9";"761.2";"-1.0";"31";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"12.1";"No precipitation";"1";"";"";"";"";
"09.08.2020 16:00";"31.0";"731.2";"761.5";"-1.0";"33";"Wind blowing from the east-northeast";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"35.0";"13.1";"No precipitation";"1";"";"";"";"";
"09.08.2020 15:00";"31.1";"731.5";"761.8";"-0.9";"30";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"35.0";"11.7";"No precipitation";"1";"";"";"";"";
"09.08.2020 14:00";"30.9";"731.9";"762.3";"-0.9";"31";"variable wind direction";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"11.8";"No precipitation";"1";"";"";"";"";
"09.08.2020 13:00";"30.8";"732.2";"762.6";"-0.8";"32";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"12.2";"No precipitation";"6";"";"";"";"";
"09.08.2020 12:00";"30.0";"732.4";"762.9";"-0.8";"36";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"13.3";"No precipitation";"1";"";"";"";"";
"09.08.2020 11:00";"29.4";"732.8";"763.3";"-0.5";"37";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.2";"No precipitation";"1";"";"";"";"";
"09.08.2020 10:00";"28.5";"733.0";"763.7";"-0.2";"39";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.2";"No precipitation";"1";"";"";"";"";
"09.08.2020 09:00";"26.9";"733.2";"764.0";"0.1";"44";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"13.6";"No precipitation";"1";"";"";"";"";
"09.08.2020 08:00";"25.0";"733.3";"764.2";"0.4";"51";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"14.0";"No precipitation";"1";"";"";"";"";
"09.08.2020 07:00";"21.6";"733.2";"764.5";"0.3";"58";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"25.0";"12.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"09.08.2020 06:00";"17.8";"733.1";"764.9";"0.2";"77";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"25.0";"13.6";"No precipitation";"1";"";"";"";"";
"09.08.2020 05:00";"16.9";"732.9";"764.8";"0.0";"75";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"25.0";"12.4";"No precipitation";"1";"";"";"";"";
"09.08.2020 04:00";"17.3";"732.9";"764.8";"-0.1";"75";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"12.8";"No precipitation";"1";"";"";"";"";
"09.08.2020 03:00";"17.6";"732.9";"764.7";"-0.1";"75";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"13.1";"No precipitation";"1";"";"";"";"";
"09.08.2020 02:00";"19.4";"732.9";"764.5";"0.0";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"12.2";"No precipitation";"1";"";"";"";"";
"09.08.2020 01:00";"19.1";"733.0";"764.6";"0.0";"66";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"12.6";"No precipitation";"6";"";"";"";"";
"09.08.2020 00:00";"20.0";"733.0";"764.5";"-0.2";"61";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"12.3";"No precipitation";"1";"";"";"";"";
"08.08.2020 23:00";"20.6";"732.9";"764.4";"-0.2";"61";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"12.8";"No precipitation";"1";"";"";"";"";
"08.08.2020 22:00";"23.5";"733.0";"764.2";"0.0";"46";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.1";"No precipitation";"1";"";"";"";"";
"08.08.2020 21:00";"24.9";"733.2";"764.2";"0.2";"42";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.1";"No precipitation";"1";"";"";"";"";
"08.08.2020 20:00";"26.5";"733.1";"764.0";"0.0";"37";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"10.6";"No precipitation";"1";"";"";"";"";
