# Weather station Warsaw / Okecie (airport), Poland, WMO_ID=12375,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=12375&lang=en
#
"Local time in Warsaw / Okecie (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.08.2020 17:00";"29.0";"753.3";"762.4";"-0.7";"38";"Wind blowing from the north-northeast";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"13.2";"";"";"";"";"";"";
"10.08.2020 16:00";"29.4";"753.5";"762.6";"-0.8";"35";"Wind blowing from the north";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"12.3";"";"";"";"";"";"";
"10.08.2020 15:00";"29.7";"753.7";"762.7";"-0.7";"35";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"12.6";"";"";"";"";"";"";
"10.08.2020 14:00";"29.4";"754.0";"763.0";"-0.6";"38";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"13.6";"";"";"";"";"";"";
"10.08.2020 13:00";"29.5";"754.3";"763.4";"-0.4";"38";"Wind blowing from the north-east";"4";"";"9";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"13.7";"No precipitation";"6";"";"";"";"";
"10.08.2020 12:00";"29.0";"754.4";"763.5";"-0.3";"40";"Wind blowing from the north-northeast";"4";"";"9";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.0";"";"";"";"";"";"";
"10.08.2020 11:00";"28.4";"754.6";"763.7";"0.0";"43";"Wind blowing from the north-east";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.6";"";"";"";"";"";"";
"10.08.2020 10:00";"27.6";"754.7";"763.9";"0.0";"47";"Wind blowing from the north-east";"4";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.3";"";"";"";"";"";"";
"10.08.2020 09:00";"26.3";"754.7";"763.9";"0.3";"58";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"17.4";"";"";"";"";"";"";
"10.08.2020 08:00";"24.3";"754.6";"763.9";"0.3";"63";"Wind blowing from the east-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"16.8";"";"";"";"";"";"";
"10.08.2020 07:00";"22.8";"754.7";"764.0";"0.4";"67";"Wind blowing from the east-northeast";"3";"";"";"20–30%.";" ";"";"";"17.9";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"16.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"10.08.2020 06:00";"21.3";"754.4";"763.8";"0.2";"79";"Wind blowing from the east-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"17.5";"";"";"";"";"";"";
"10.08.2020 05:00";"18.9";"754.3";"763.8";"0.1";"86";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"28.0";"16.5";"";"";"";"";"";"";
"10.08.2020 04:00";"18.3";"754.3";"763.8";"0.1";"88";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"26.0";"16.3";"";"";"";"";"";"";
"10.08.2020 03:00";"19.4";"754.2";"763.6";"-0.1";"85";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.8";"";"";"";"";"";"";
"10.08.2020 02:00";"18.7";"754.2";"763.6";"-0.1";"87";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"28.0";"16.5";"";"";"";"";"";"";
"10.08.2020 01:00";"18.8";"754.2";"763.6";"0.0";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.4";"No precipitation";"6";"";"";"";"";
"10.08.2020 00:00";"19.1";"754.3";"763.7";"0.0";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.7";"";"";"";"";"";"";
"09.08.2020 23:00";"20.5";"754.3";"763.6";"0.0";"80";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.9";"";"";"";"";"";"";
"09.08.2020 22:00";"20.8";"754.2";"763.6";"0.2";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.8";"";"";"";"";"";"";
"09.08.2020 21:00";"21.7";"754.3";"763.6";"0.3";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.9";"";"";"";"";"";"";
"09.08.2020 20:00";"23.8";"754.3";"763.6";"0.6";"64";"Wind blowing from the south-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"35.0";"16.6";"";"";"";"";"";"";
"09.08.2020 19:00";"23.9";"754.0";"763.3";"0.2";"66";"Wind blowing from the north-west";"3";"";"";"60%.";" ";"";"";"23.9";"31.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"17.2";"No precipitation";"12";"";"";"";"";
"09.08.2020 18:00";"25.2";"754.0";"763.2";"0.3";"60";"Wind blowing from the north-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"16.9";"";"";"";"";"";"";
"09.08.2020 17:00";"26.1";"753.7";"763.0";"-0.3";"55";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"16.4";"";"";"";"";"";"";
"09.08.2020 16:00";"28.3";"753.8";"763.0";"-0.7";"47";"Wind blowing from the north";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.9";"";"";"";"";"";"";
"09.08.2020 15:00";"29.4";"753.7";"762.7";"-1.2";"43";"Wind blowing from the north-northeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.5";"";"";"";"";"";"";
"09.08.2020 14:00";"30.9";"754.0";"763.1";"-1.2";"37";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"14.5";"";"";"";"";"";"";
"09.08.2020 13:00";"30.4";"754.5";"763.6";"-1.0";"41";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.7";"No precipitation";"6";"";"";"";"";
"09.08.2020 12:00";"29.7";"754.9";"764.0";"-0.6";"40";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"14.7";"";"";"";"";"";"";
"09.08.2020 11:00";"29.8";"755.2";"764.3";"-0.4";"40";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"14.7";"";"";"";"";"";"";
"09.08.2020 10:00";"29.2";"755.5";"764.7";"-0.1";"44";"Wind blowing from the north-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"35.0";"15.7";"";"";"";"";"";"";
"09.08.2020 09:00";"27.8";"755.5";"764.7";"0.0";"52";"Wind blowing from the west-northwest";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"28.0";"17.0";"";"";"";"";"";"";
"09.08.2020 08:00";"26.6";"755.6";"764.8";"0.1";"60";"Wind blowing from the north-northwest";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"18.2";"";"";"";"";"";"";
"09.08.2020 07:00";"23.9";"755.6";"764.9";"0.1";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"18.0";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"17.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"09.08.2020 06:00";"20.3";"755.5";"764.9";"0.0";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"16.7";"";"";"";"";"";"";
"09.08.2020 05:00";"18.5";"755.5";"765.0";"0.0";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.6";"";"";"";"";"";"";
"09.08.2020 04:00";"19.3";"755.5";"764.9";"0.0";"77";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.2";"";"";"";"";"";"";
"09.08.2020 03:00";"19.6";"755.5";"764.9";"-0.1";"77";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.5";"";"";"";"";"";"";
"09.08.2020 02:00";"20.8";"755.5";"764.8";"-0.2";"72";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.6";"";"";"";"";"";"";
"09.08.2020 01:00";"22.4";"755.5";"764.8";"-0.3";"64";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.3";"No precipitation";"6";"";"";"";"";
"09.08.2020 00:00";"23.4";"755.6";"764.9";"-0.3";"60";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.2";"";"";"";"";"";"";
"08.08.2020 23:00";"23.9";"755.7";"765.0";"-0.2";"59";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.4";"";"";"";"";"";"";
"08.08.2020 22:00";"24.7";"755.8";"765.0";"0.1";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.3";"";"";"";"";"";"";
"08.08.2020 21:00";"24.8";"755.9";"765.1";"0.2";"55";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.1";"";"";"";"";"";"";
"08.08.2020 20:00";"26.0";"755.9";"765.1";"0.1";"51";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.1";"";"";"";"";"";"";
"08.08.2020 19:00";"27.4";"755.7";"764.8";"-0.3";"45";"Wind blowing from the north-east";"3";"";"7";"10%  or less, but not 0";" ";"";"";"24.1";"31.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.4";"No precipitation";"12";"";"";"";"";
"08.08.2020 18:00";"28.7";"755.7";"764.8";"-0.7";"42";"Wind blowing from the north-east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.5";"";"";"";"";"";"";
"08.08.2020 17:00";"29.9";"755.8";"764.9";"-0.9";"41";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.2";"";"";"";"";"";"";
"08.08.2020 16:00";"30.7";"756.0";"765.1";"-1.0";"38";"Wind blowing from the east-northeast";"3";"";"7";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.8";"";"";"";"";"";"";
"08.08.2020 15:00";"30.9";"756.4";"765.5";"-0.9";"37";"Wind blowing from the east";"3";"";"7";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.5";"";"";"";"";"";"";
"08.08.2020 14:00";"30.8";"756.7";"765.8";"-0.9";"36";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.0";"";"";"";"";"";"";
"08.08.2020 13:00";"31.0";"757.0";"766.0";"-0.9";"38";"Wind blowing from the east-southeast";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"15.0";"No precipitation";"6";"";"";"";"";
"08.08.2020 12:00";"29.9";"757.3";"766.5";"-0.9";"43";"Wind blowing from the north-east";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.0";"";"";"";"";"";"";
"08.08.2020 11:00";"29.3";"757.6";"766.8";"-0.6";"46";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.5";"";"";"";"";"";"";
"08.08.2020 10:00";"28.7";"757.9";"767.0";"-0.4";"49";"Wind blowing from the east-southeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.9";"";"";"";"";"";"";
"08.08.2020 09:00";"27.4";"758.2";"767.4";"0.0";"58";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"18.4";"";"";"";"";"";"";
"08.08.2020 08:00";"25.8";"758.2";"767.5";"0.0";"62";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"18.0";"";"";"";"";"";"";
"08.08.2020 07:00";"24.1";"758.3";"767.6";"0.2";"66";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"19.9";"27.3";"";"";"";"";"";"35.0";"17.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"08.08.2020 06:00";"21.8";"758.2";"767.6";"0.2";"74";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"17.0";"";"";"";"";"";"";
"08.08.2020 05:00";"20.0";"758.2";"767.7";"0.1";"78";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"16.0";"";"";"";"";"";"";
"08.08.2020 04:00";"20.0";"758.1";"767.5";"-0.1";"77";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.8";"";"";"";"";"";"";
"08.08.2020 03:00";"20.5";"758.0";"767.5";"-0.2";"73";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.5";"";"";"";"";"";"";
"08.08.2020 02:00";"20.9";"758.1";"767.5";"-0.1";"70";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.2";"";"";"";"";"";"";
"08.08.2020 01:00";"21.8";"758.2";"767.5";"0.1";"66";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.2";"No precipitation";"6";"";"";"";"";
"08.08.2020 00:00";"22.4";"758.2";"767.5";"0.2";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.0";"";"";"";"";"";"";
"07.08.2020 23:00";"23.4";"758.2";"767.5";"0.2";"59";"Wind blowing from the north-east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"35.0";"14.9";"";"";"";"";"";"";
"07.08.2020 22:00";"24.3";"758.1";"767.4";"0.2";"57";"Wind blowing from the north-east";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"15.2";"";"";"";"";"";"";
"07.08.2020 21:00";"25.2";"758.0";"767.3";"0.2";"55";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"35.0";"15.5";"";"";"";"";"";"";
"07.08.2020 20:00";"25.4";"758.0";"767.3";"0.1";"55";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"15.7";"";"";"";"";"";"";
