Local time in Bingley,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
24.09.2020 07:00,6.1,721.5,745.0,-0.9,99,Wind blowing from the east-southeast,2,,,,Drizzle not freezing slight. ,,,,,,,100-200,,,4.8,5.9,,,,,,
24.09.2020 06:00,5.6,721.6,745.1,-1.2,97,Wind blowing from the south-east,1,,,, ,,,5.3,,,,1500-2000,,,21.0,5.1,3.0,12,,,,
24.09.2020 05:00,5.9,722.1,745.6,-1.2,96,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,13.0,5.3,,,,,,
24.09.2020 04:00,5.4,722.4,745.9,-1.0,96,Wind blowing from the south-west,3,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,4.8,,,,,,
24.09.2020 03:00,5.5,722.8,746.4,-0.9,96,Wind blowing from the south-west,2,,,, ,,,,,,,2500 or more or no clouds.,,,16.0,4.9,,,,,,
24.09.2020 02:00,6.8,723.3,746.8,-0.4,95,Wind blowing from the south-southwest,1,,,,Rain (not freezing). ,,,,,,,600-1000,,,45.0,6.1,,,,,,
24.09.2020 01:00,6.9,723.4,746.9,-0.3,96,Wind blowing from the west-southwest,1,,,, ,,,,,,,1000-1500,,,50.0,6.3,,,,,,
24.09.2020 00:00,6.9,723.7,747.2,-0.4,97,Wind blowing from the west,1,,,, ,,,,,,,600-1000,,,50.0,6.4,3.0,6,,,,
23.09.2020 23:00,7.1,723.7,747.1,-0.6,97,Wind blowing from the north-west,2,,,,Rain (not freezing). ,,,,,,,1000-1500,,,50.0,6.6,,,,,,
23.09.2020 22:00,7.4,723.7,747.1,-0.5,97,Wind blowing from the north-northwest,3,,,,Rain not freezing moderate. ,,,,,,,100-200,,,15.0,7.0,,,,,,
23.09.2020 21:00,7.9,724.1,747.5,-0.2,98,Wind blowing from the north-west,3,,,,Rain not freezing moderate. ,,,,,,,100-200,,,14.0,7.6,,,,,,
23.09.2020 20:00,8.0,724.3,747.7,-0.2,97,Wind blowing from the north-northwest,2,,,,Rain not freezing moderate. ,,,,,,,200-300,,,6.0,7.6,,,,,,
23.09.2020 19:00,8.4,724.2,747.6,-0.8,96,Wind blowing from the north-northwest,3,,,,Rain shower(s) or intermittent rain slight. ,,,,,,,200-300,,,8.0,7.8,,,,,,
23.09.2020 18:00,8.8,724.3,747.7,-1.0,95,Wind blowing from the north-northeast,3,,,,Rain (not freezing). ,,,,12.5,,,200-300,,,50.0,8.0,18.0,12,,,,
23.09.2020 17:00,9.2,724.5,747.8,-0.7,98,Wind blowing from the north-northeast,2,,,,Rain not freezing slight. ,,,,,,,100-200,,,25.0,8.9,,,,,,
23.09.2020 16:00,9.4,725.0,748.3,-0.5,99,Wind blowing from the north,3,,,,Rain not freezing moderate. ,,,,,,,100-200,,,3.4,9.2,,,,,,
23.09.2020 15:00,9.6,725.3,748.6,-0.2,97,Wind blowing from the north-northwest,5,,,,Drizzle and rain moderate or heavy. ,,,,,,,100-200,,,3.9,9.1,,,,,,
23.09.2020 14:00,10.1,725.2,748.5,-0.6,98,Wind blowing from the north,5,,,,Drizzle not freezing slight. ,,,,,,,100-200,,,5.0,9.8,,,,,,
23.09.2020 13:00,10.0,725.5,748.7,-0.6,98,Wind blowing from the north-northwest,3,,,,Rain not freezing moderate. ,,,,,,,100-200,,,2.8,9.7,,,,,,
23.09.2020 12:00,9.9,725.5,748.8,-0.4,99,Wind blowing from the north,3,,,,Drizzle not freezing slight. ,,,,,,,100-200,,,4.1,9.7,13.0,6,,,,
23.09.2020 11:00,9.8,725.8,749.2,0.0,97,Wind blowing from the north,4,,,,Rain not freezing moderate. ,,,,,,,100-200,,,3.5,9.4,,,,,,
23.09.2020 10:00,9.6,726.1,749.4,0.2,97,Wind blowing from the north-northeast,4,,,,Rain not freezing moderate. ,,,,,,,100-200,,,6.0,9.1,,,,,,
23.09.2020 09:00,10.2,725.9,749.2,-0.1,97,Wind blowing from the north-east,2,,,,Rain not freezing moderate. ,,,,,,,100-200,,,19.0,9.7,,,,,,
23.09.2020 08:00,12.5,725.8,748.9,-0.3,97,Wind blowing from the south,1,,,,Rain not freezing moderate. ,,,,,,,100-200,,,5.0,12.0,,,,,,
23.09.2020 07:00,12.4,725.9,749.0,-0.6,96,Wind blowing from the south-southwest,2,,,,Rain not freezing moderate. ,,,,,,,100-200,,,5.0,11.8,,,,,,
23.09.2020 06:00,12.4,726.0,749.1,-0.5,96,Wind blowing from the south,1,,,,Rain not freezing slight. ,,,12.4,,,,200-300,,,8.0,11.8,0.6,12,,,,
23.09.2020 05:00,12.7,726.1,749.2,-1.0,93,Wind blowing from the south,2,,,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,15.0,11.6,,,,,,
23.09.2020 04:00,12.7,726.5,749.6,-0.9,93,Wind blowing from the south-west,2,,,, ,,,,,,,600-1000,,,18.0,11.6,,,,,,
23.09.2020 03:00,12.8,726.5,749.6,-1.1,92,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,1500-2000,,,20.0,11.5,,,,,,
23.09.2020 02:00,13.1,727.1,750.2,-0.6,91,Wind blowing from the south-west,5,,,,Rain (not freezing). ,,,,,,,300-600,,,5.0,11.7,,,,,,
23.09.2020 01:00,13.3,727.4,750.5,-0.7,92,Wind blowing from the south-west,4,,,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,19.0,12.0,,,,,,
23.09.2020 00:00,6.9,723.7,747.2,-4.8,97,Wind blowing from the west,1,,,, ,,,,,,,600-1000,,,50.0,6.4,3.0,6,,,,
22.09.2020 23:00,13.5,727.7,750.7,-1.1,92,Wind blowing from the south-southwest,4,,,, ,,,,,,,300-600,,,15.0,12.2,,,,,,
22.09.2020 22:00,13.4,728.1,751.1,-0.8,94,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,200-300,,,15.0,12.4,,,,,,
22.09.2020 21:00,13.4,728.5,751.6,-0.7,94,Wind blowing from the south-southwest,4,,,,Drizzle and rain slight. ,,,,,,,200-300,,,11.0,12.5,,,,,,
22.09.2020 20:00,14.1,728.8,751.9,-0.7,90,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,300-600,,,10.0,12.4,,,,,,
22.09.2020 19:00,14.4,728.9,751.9,-1.1,85,Wind blowing from the south-west,5,,,,Rain (not freezing). ,,,,,,,600-1000,,,45.0,11.8,,,,,,
22.09.2020 18:00,14.9,729.2,752.2,-1.4,83,Wind blowing from the west-southwest,4,,,, ,,,,19.4,,,1000-1500,,,22.0,12.0,No precipitation,12,,,,
22.09.2020 17:00,15.1,729.5,752.5,-1.4,84,Wind blowing from the south-west,5,,,, ,,,,,,,300-600,,,14.0,12.4,,,,,,
22.09.2020 16:00,14.2,730.0,753.1,-1.3,91,Wind blowing from the west-southwest,3,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,100-200,,,10.0,12.8,,,,,,
22.09.2020 15:00,14.5,730.6,753.7,-1.0,91,Wind blowing from the west,2,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,100-200,,,6.0,13.1,,,,,,
22.09.2020 14:00,16.9,730.9,753.8,-0.9,79,Wind blowing from the west-southwest,4,,,, ,,,,,,,300-600,,,12.0,13.3,,,,,,
22.09.2020 13:00,18.5,731.3,754.0,-1.0,74,Wind blowing from the south-west,6,,,, ,,,,,,,1500-2000,,,10.0,13.7,,,,,,
22.09.2020 12:00,19.0,731.6,754.3,-1.2,69,Wind blowing from the south-southwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,15.0,13.1,No precipitation,6,,,,
22.09.2020 11:00,18.6,731.8,754.6,-1.7,72,Wind blowing from the south-southwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,14.0,13.4,,,,,,
22.09.2020 10:00,16.7,732.3,755.2,-1.6,78,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,14.0,12.8,,,,,,
22.09.2020 09:00,14.3,732.8,756.0,-1.2,90,Wind blowing from the south-west,6,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,100-200,,,7.0,12.6,,,,,,
22.09.2020 08:00,12.7,733.5,756.8,-0.9,93,Wind blowing from the south-west,2,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,100-200,,,4.2,11.6,,,,,,
22.09.2020 07:00,11.6,733.9,757.3,-1.0,97,Wind blowing from the south-southwest,1,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,6.0,11.1,,,,,,
22.09.2020 06:00,10.8,734.0,757.5,-1.4,97,Wind blowing from the west,1,,,,Mist. ,,,9.8,,,,2500 or more or no clouds.,,,7.0,10.4,No precipitation,12,,,,
22.09.2020 05:00,10.3,734.4,757.9,-1.7,94,Wind blowing from the west-southwest,2,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,2500 or more or no clouds.,,,9.0,9.3,,,,,,
22.09.2020 04:00,11.0,734.9,758.4,-1.5,93,Wind blowing from the west-southwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,12.0,9.9,,,,,,
22.09.2020 03:00,11.1,735.4,758.9,-1.3,91,Wind blowing from the west-southwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,16.0,9.7,,,,,,
22.09.2020 02:00,10.6,736.1,759.7,-1.1,91,Wind blowing from the north-west,2,,,, ,,,,,,,2500 or more or no clouds.,,,15.0,9.1,,,,,,
22.09.2020 01:00,10.2,736.4,760.0,-1.2,91,Wind blowing from the north,2,,,, ,,,,,,,2500 or more or no clouds.,,,14.0,8.8,,,,,,
22.09.2020 00:00,11.7,736.7,760.2,-1.1,84,Wind blowing from the north-northwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,17.0,9.0,No precipitation,6,,,,
21.09.2020 23:00,12.5,737.2,760.6,-0.8,89,Wind blowing from the west,2,7,,, ,,,,,,,2500 or more or no clouds.,,,18.0,10.8,,,,,,
21.09.2020 22:00,11.5,737.6,761.2,-0.5,90,Wind blowing from the west-northwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,10.0,9.9,,,,,,
21.09.2020 21:00,11.9,737.8,761.3,-0.3,92,Wind blowing from the west-northwest,3,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,2500 or more or no clouds.,,,9.0,10.7,,,,,,
21.09.2020 20:00,12.9,738.0,761.4,-0.3,89,Wind blowing from the west,2,,,, ,,,,,,,2500 or more or no clouds.,,,12.0,11.1,,,,,,
21.09.2020 19:00,12.7,738.1,761.5,-0.6,87,Wind blowing from the west,1,,,, ,,,,,,,2500 or more or no clouds.,,,14.0,10.5,,,,,,
21.09.2020 18:00,14.4,738.1,761.4,-0.9,79,Wind blowing from the west,1,,,, ,,,,19.0,,,2500 or more or no clouds.,,,18.0,10.7,No precipitation,12,,,,
21.09.2020 17:00,16.6,738.3,761.5,-0.8,71,Wind blowing from the west,1,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,11.2,,,,,,
21.09.2020 16:00,17.7,738.7,761.8,-0.8,69,Wind blowing from the west,3,,,, ,,,,,,,2500 or more or no clouds.,,,24.0,12.0,,,,,,
21.09.2020 15:00,18.7,739.0,762.0,-0.6,66,Wind blowing from the west,2,,,, ,,,,,,,2500 or more or no clouds.,,,20.0,12.2,,,,,,
21.09.2020 14:00,18.8,739.1,762.1,-0.8,64,Wind blowing from the west,3,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,11.9,,,,,,
21.09.2020 13:00,18.8,739.5,762.4,-0.5,66,Wind blowing from the west,2,,,, ,,,,,,,2500 or more or no clouds.,,,11.0,12.2,,,,,,
21.09.2020 12:00,17.6,739.6,762.7,-0.5,70,Wind blowing from the west,3,,,, ,,,,,,,2500 or more or no clouds.,,,16.0,12.1,No precipitation,6,,,,
21.09.2020 11:00,16.8,739.9,763.0,-0.2,75,Wind blowing from the west,3,,,, ,,,,,,,300-600,,,16.0,12.4,,,,,,
21.09.2020 10:00,14.7,740.0,763.3,-0.2,82,Wind blowing from the south-west,3,,,, ,,,,,,,2500 or more or no clouds.,,,23.0,11.7,,,,,,
21.09.2020 09:00,12.0,740.1,763.6,-0.3,88,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,16.0,10.1,,,,,,
21.09.2020 08:00,11.0,740.1,763.7,-0.4,94,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,13.0,10.1,,,,,,
21.09.2020 07:00,10.0,740.2,764.0,-0.6,97,Wind blowing from the south-west,3,,,, ,,,,,,,2500 or more or no clouds.,,,15.0,9.6,,,,,,
21.09.2020 06:00,7.6,740.4,764.4,-0.7,99,Wind blowing from the west,1,,,, ,,,5.8,,,,2500 or more or no clouds.,,,14.0,7.4,No precipitation,12,,,,
21.09.2020 05:00,6.3,740.5,764.6,-1.2,97,Wind blowing from the south-southwest,2,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,8.0,5.9,,,,,,
21.09.2020 04:00,6.2,740.8,764.9,-1.4,97,Wind blowing from the south-west,1,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,5.0,5.7,,,,,,
21.09.2020 03:00,6.8,741.1,765.1,-1.1,96,Wind blowing from the south,1,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,6.0,6.2,,,,,,
21.09.2020 02:00,7.2,741.7,765.7,-0.7,93,Wind blowing from the south,1,,,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,2500 or more or no clouds.,,,6.0,6.1,,,,,,
21.09.2020 01:00,9.4,742.2,766.1,-0.4,88,Wind blowing from the south,2,,,, ,,,,,,,300-600,,,10.0,7.5,,,,,,
21.09.2020 00:00,10.6,742.2,766.0,-0.7,86,Wind blowing from the south-southeast,2,,,, ,,,,,,,300-600,,,19.0,8.3,No precipitation,6,,,,
20.09.2020 23:00,10.4,742.4,766.2,-0.8,86,Wind blowing from the south-east,3,,,, ,,,,,,,300-600,,,30.0,8.2,,,,,,
20.09.2020 22:00,10.8,742.6,766.3,-0.4,85,Wind blowing from the south-east,3,,,, ,,,,,,,300-600,,,26.0,8.4,,,,,,
20.09.2020 21:00,10.9,742.9,766.6,-0.1,88,Wind blowing from the east-southeast,3,,,, ,,,,,,,300-600,,,45.0,8.9,,,,,,
20.09.2020 20:00,10.5,743.2,766.9,0.0,93,Wind blowing from the east,3,,,, ,,,,,,,300-600,,,20.0,9.4,,,,,,
20.09.2020 19:00,11.3,743.0,766.7,0.0,90,Wind blowing from the east,3,,,, ,,,,,,,300-600,,,50.0,9.7,,,,,,
20.09.2020 18:00,12.5,743.0,766.6,-0.2,81,Wind blowing from the east,2,,,, ,,,,15.6,,,600-1000,,,50.0,9.3,No precipitation,12,,,,
20.09.2020 17:00,13.3,743.2,766.7,-0.1,80,Wind blowing from the east-northeast,3,,,, ,,,,,,,300-600,,,50.0,9.9,,,,,,
20.09.2020 16:00,14.6,743.0,766.5,-0.8,75,Wind blowing from the east-northeast,3,,,, ,,,,,,,600-1000,,,35.0,10.1,,,,,,
20.09.2020 15:00,15.0,743.2,766.6,-0.8,72,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,30.0,10.0,,,,,,
20.09.2020 14:00,14.4,743.3,766.8,-0.9,74,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,40.0,9.7,,,,,,
20.09.2020 13:00,14.1,743.8,767.2,-0.4,80,Wind blowing from the east-northeast,3,,,, ,,,,,,,300-600,,,40.0,10.7,,,,,,
20.09.2020 12:00,14.3,744.0,767.5,-0.3,78,Wind blowing from the east,5,,,, ,,,,,,,200-300,,,40.0,10.5,No precipitation,6,,,,
20.09.2020 11:00,12.8,744.2,767.8,0.0,90,Wind blowing from the east-northeast,4,,,, ,,,,,,,200-300,,,50.0,11.1,,,,,,
20.09.2020 10:00,12.6,744.2,767.8,0.1,89,Wind blowing from the east,4,,,, ,,,,,,,200-300,,,35.0,10.9,,,,,,
20.09.2020 09:00,11.4,744.3,768.1,0.4,96,Wind blowing from the east,3,,,,Mist. ,,,,,,,100-200,,,14.0,10.7,,,,,,
20.09.2020 08:00,11.2,744.2,768.0,0.4,88,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,24.0,9.2,,,,,,
20.09.2020 07:00,10.8,744.1,767.9,0.5,90,Wind blowing from the east,4,,,, ,,,,,,,200-300,,,50.0,9.2,,,,,,
20.09.2020 06:00,10.8,743.9,767.7,0.1,88,Wind blowing from the east,4,,,, ,,,10.2,,,,300-600,,,45.0,8.8,No precipitation,12,,,,
20.09.2020 05:00,10.9,743.8,767.5,-0.2,88,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,40.0,8.9,,,,,,
20.09.2020 04:00,10.8,743.6,767.4,-0.5,88,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,40.0,8.8,,,,,,
20.09.2020 03:00,10.8,743.8,767.6,-0.3,88,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,40.0,8.9,,,,,,
20.09.2020 02:00,10.8,744.0,767.8,-0.4,88,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,40.0,8.8,,,,,,
20.09.2020 01:00,10.4,744.1,767.8,-0.3,90,Wind blowing from the east-northeast,3,,,, ,,,,,,,300-600,,,40.0,8.8,,,,,,
20.09.2020 00:00,10.3,744.1,767.9,-0.1,89,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,35.0,8.5,No precipitation,6,,,,
19.09.2020 23:00,10.4,744.4,768.2,0.4,86,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,35.0,8.1,,,,,,
19.09.2020 22:00,10.8,744.4,768.2,0.9,85,Wind blowing from the east-northeast,4,9,,, ,,,,,,,300-600,,,30.0,8.4,,,,,,
19.09.2020 21:00,11.1,744.2,768.0,1.0,87,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,29.0,9.0,,,,,,
19.09.2020 20:00,11.3,744.0,767.8,1.0,86,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,27.0,9.1,,,,,,
19.09.2020 19:00,11.6,743.5,767.2,0.4,85,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,30.0,9.1,,,,,,
19.09.2020 18:00,12.6,743.2,766.8,0.0,78,Wind blowing from the east-northeast,5,,,, ,,,,16.1,,,600-1000,,,35.0,8.8,No precipitation,12,,,,
19.09.2020 17:00,14.0,743.0,766.6,-0.4,70,Wind blowing from the east-northeast,5,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,8.6,,,,,,
19.09.2020 16:00,14.9,743.1,766.5,-0.6,68,Wind blowing from the east-northeast,6,,,, ,,,,,,,600-1000,,,19.0,9.1,,,,,,
19.09.2020 15:00,15.8,743.2,766.6,-0.9,66,Wind blowing from the east-northeast,5,,,, ,,,,,,,600-1000,,,19.0,9.3,,,,,,
19.09.2020 14:00,15.8,743.4,766.7,-1.0,65,Wind blowing from the east-northeast,6,,,, ,,,,,,,2500 or more or no clouds.,,,22.0,9.2,,,,,,
19.09.2020 13:00,15.1,743.7,767.2,-0.9,69,Wind blowing from the east-northeast,5,,,, ,,,,,,,600-1000,,,35.0,9.3,,,,,,
19.09.2020 12:00,14.1,744.1,767.6,-0.6,70,Wind blowing from the east-northeast,5,,,, ,,,,,,,600-1000,,,24.0,8.7,No precipitation,6,,,,
19.09.2020 11:00,13.5,744.4,767.9,-0.1,78,Wind blowing from the east-northeast,5,10,,, ,,,,,,,300-600,,,35.0,9.7,,,,,,
19.09.2020 10:00,12.4,744.6,768.3,0.2,83,Wind blowing from the east-northeast,5,,,, ,,,,,,,300-600,,,30.0,9.5,,,,,,
19.09.2020 09:00,11.8,744.7,768.4,0.5,83,Wind blowing from the east-northeast,6,,,, ,,,,,,,300-600,,,23.0,8.9,,,,,,
19.09.2020 08:00,10.7,744.5,768.4,0.4,88,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,27.0,8.7,,,,,,
19.09.2020 07:00,10.2,744.4,768.3,0.0,89,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,28.0,8.4,,,,,,
19.09.2020 06:00,10.0,744.2,768.1,-0.4,89,Wind blowing from the east-northeast,4,,,, ,,,10.0,,,,300-600,,,30.0,8.2,No precipitation,12,,,,
19.09.2020 05:00,10.4,744.1,768.0,-0.9,87,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,29.0,8.3,,,,,,
19.09.2020 04:00,10.5,744.4,768.1,-0.9,86,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,40.0,8.2,,,,,,
19.09.2020 03:00,10.7,744.6,768.4,-0.9,85,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,50.0,8.2,,,,,,
19.09.2020 02:00,10.7,745.0,768.9,-0.7,85,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,40.0,8.3,,,,,,
19.09.2020 01:00,10.5,745.3,769.2,-0.7,87,Wind blowing from the east,4,,,, ,,,,,,,600-1000,,,35.0,8.4,,,,,,
19.09.2020 00:00,10.3,744.1,767.9,-1.8,89,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,35.0,8.5,No precipitation,6,,,,
18.09.2020 23:00,10.8,745.7,769.6,-0.2,83,Wind blowing from the east,5,,,, ,,,,,,,600-1000,,,45.0,8.0,,,,,,
18.09.2020 22:00,10.9,746.0,769.9,0.4,82,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,45.0,8.0,,,,,,
18.09.2020 21:00,10.8,745.9,769.7,0.5,82,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,45.0,7.9,,,,,,
18.09.2020 20:00,11.4,745.9,769.7,0.3,84,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,45.0,8.8,,,,,,
18.09.2020 19:00,11.7,745.6,769.3,0.0,81,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,45.0,8.5,,,,,,
18.09.2020 18:00,12.2,745.4,769.2,-0.4,77,Wind blowing from the east,6,,,, ,,,,16.3,,,2500 or more or no clouds.,,,45.0,8.2,No precipitation,12,,,,
18.09.2020 17:00,13.6,745.6,769.3,-0.6,71,Wind blowing from the east,6,,,, ,,,,,,,600-1000,,,45.0,8.4,,,,,,
18.09.2020 16:00,14.9,745.6,769.0,-1.1,66,Wind blowing from the east,5,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,8.5,,,,,,
18.09.2020 15:00,15.3,745.8,769.3,-1.2,64,Wind blowing from the east,5,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,8.4,,,,,,
18.09.2020 14:00,15.9,746.2,769.6,-1.1,60,Wind blowing from the east,5,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,8.0,,,,,,
18.09.2020 13:00,14.4,746.7,770.3,-1.0,66,Wind blowing from the east,5,,,, ,,,,,,,600-1000,,,35.0,8.1,,,,,,
18.09.2020 12:00,14.3,747.0,770.6,-0.8,69,Wind blowing from the east,6,,,, ,,,,,,,300-600,,,30.0,8.7,No precipitation,6,,,,
18.09.2020 11:00,12.8,747.3,771.1,-0.7,74,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,40.0,8.3,,,,,,
18.09.2020 10:00,11.7,747.7,771.5,-0.1,77,Wind blowing from the east,5,,,, ,,,,,,,300-600,,,28.0,7.7,,,,,,
18.09.2020 09:00,11.6,747.8,771.7,0.1,83,Wind blowing from the east-northeast,4,,,, ,,,,,,,300-600,,,40.0,8.8,,,,,,
18.09.2020 08:00,10.1,748.0,771.9,0.5,92,Wind blowing from the east-northeast,2,,,, ,,,,,,,300-600,,,29.0,8.9,,,,,,
18.09.2020 07:00,8.5,747.8,772.0,0.4,97,Wind blowing from the east-northeast,1,,,, ,,,,,,,300-600,,,15.0,8.1,,,,,,
18.09.2020 06:00,8.0,747.7,771.9,0.2,97,Wind blowing from the east-northeast,1,,,, ,,,7.9,,,,300-600,,,12.0,7.6,No precipitation,12,,,,
18.09.2020 05:00,8.0,747.5,771.7,-0.4,97,Wind blowing from the east,1,,,, ,,,,,,,300-600,,,12.0,7.5,,,,,,
18.09.2020 04:00,8.6,747.4,771.6,-0.9,96,Wind blowing from the east,2,,,, ,,,,,,,300-600,,,14.0,8.0,,,,,,
18.09.2020 03:00,9.2,747.5,771.6,-0.9,95,Wind blowing from the east,2,,,, ,,,,,,,300-600,,,19.0,8.4,,,,,,
18.09.2020 02:00,8.8,747.9,772.0,-0.7,97,Wind blowing from the east,2,,,, ,,,,,,,300-600,,,11.0,8.3,,,,,,
18.09.2020 01:00,9.1,748.3,772.3,-0.5,97,Wind blowing from the east-southeast,2,,,, ,,,,,,,300-600,,,12.0,8.6,,,,,,
18.09.2020 00:00,9.5,748.4,772.4,-0.5,96,Wind blowing from the east-southeast,2,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,11.0,8.9,No precipitation,6,,,,
17.09.2020 23:00,10.0,748.6,772.6,-0.3,96,Wind blowing from the east-southeast,2,,,, ,,,,,,,2500 or more or no clouds.,,,10.0,9.4,,,,,,
17.09.2020 22:00,10.6,748.8,772.7,0.2,95,Wind blowing from the east-southeast,3,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,9.0,9.8,,,,,,
17.09.2020 21:00,11.4,748.9,772.9,0.6,89,Wind blowing from the east-southeast,3,,,, ,,,,,,,2500 or more or no clouds.,,,12.0,9.6,,,,,,
17.09.2020 20:00,12.2,748.9,772.7,0.5,84,Wind blowing from the east-southeast,4,,,, ,,,,,,,2500 or more or no clouds.,,,14.0,9.6,,,,,,
17.09.2020 19:00,13.3,748.6,772.4,0.0,78,Wind blowing from the east-southeast,4,,,, ,,,,,,,2500 or more or no clouds.,,,10.0,9.5,,,,,,
17.09.2020 18:00,14.3,748.3,772.0,-0.5,71,Wind blowing from the east,3,,,, ,,,,17.0,,,2500 or more or no clouds.,,,17.0,9.1,No precipitation,12,,,,
17.09.2020 17:00,16.1,748.4,771.9,-0.8,60,Wind blowing from the east,3,,,, ,,,,,,,2500 or more or no clouds.,,,16.0,8.3,,,,,,
17.09.2020 16:00,16.8,748.6,772.0,-1.0,55,Wind blowing from the east-southeast,4,,,, ,,,,,,,2500 or more or no clouds.,,,20.0,7.6,,,,,,
17.09.2020 15:00,16.3,748.8,772.3,-0.9,57,Wind blowing from the east,4,,,, ,,,,,,,2500 or more or no clouds.,,,17.0,7.7,,,,,,
17.09.2020 14:00,16.3,749.2,772.7,-0.7,61,Wind blowing from the east,4,,,, ,,,,,,,2500 or more or no clouds.,,,21.0,8.6,,,,,,
17.09.2020 13:00,15.5,749.6,773.2,-0.8,62,Wind blowing from the east-southeast,4,,,, ,,,,,,,2500 or more or no clouds.,,,18.0,8.2,,,,,,
17.09.2020 12:00,15.1,749.7,773.3,-1.0,66,Wind blowing from the east-southeast,4,,,, ,,,,,,,2500 or more or no clouds.,,,25.0,8.8,No precipitation,6,,,,
17.09.2020 11:00,14.3,749.9,773.6,-0.8,71,Wind blowing from the east-southeast,3,,,, ,,,,,,,300-600,,,14.0,9.1,,,,,,
17.09.2020 10:00,13.1,750.4,774.2,0.0,74,Wind blowing from the east-southeast,4,,,, ,,,,,,,300-600,,,13.0,8.6,,,,,,
17.09.2020 09:00,12.0,750.7,774.7,0.8,79,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,13.0,8.5,,,,,,
17.09.2020 08:00,10.9,750.7,774.7,0.8,88,Wind blowing from the east,2,,,, ,,,,,,,300-600,,,19.0,9.0,,,,,,
