Local time in Aberdaron,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.09.2020 18:00,11.1,741.3,749.8,-0.1,97,Wind blowing from the north-northwest,7,,,, ,,,,15.2,,,200-300,,,4.9,10.6,9.0,12,,,,
30.09.2020 17:00,13.5,741.0,749.4,-0.3,92,Wind blowing from the south-southwest,6,,,, ,,,,,,,600-1000,,,30.0,12.2,,,,,,
30.09.2020 16:00,13.7,741.1,749.5,-0.6,87,Wind blowing from the south-west,4,,,, ,,,,,,,1000-1500,,,45.0,11.6,,,,,,
30.09.2020 15:00,14.0,741.4,749.8,-0.6,86,Wind blowing from the west-southwest,5,,,, ,,,,,,,300-600,,,40.0,11.7,,,,,,
30.09.2020 14:00,14.2,741.3,749.7,-0.9,85,Wind blowing from the west-southwest,4,,,, ,,,,,,,1500-2000,,,35.0,11.7,,,,,,
30.09.2020 13:00,13.8,741.7,750.1,-0.3,88,Wind blowing from the south-west,5,,,, ,,,,,,,300-600,,,29.0,11.9,,,,,,
30.09.2020 12:00,13.5,742.0,750.4,0.4,90,Wind blowing from the west-southwest,7,,,, ,,,,,,,300-600,,,22.0,11.9,6.0,6,,,,
30.09.2020 11:00,13.5,742.2,750.6,0.0,92,Wind blowing from the south-west,8,,,, ,,,,,,,300-600,,,23.0,12.2,,,,,,
30.09.2020 10:00,13.3,742.0,750.4,-0.6,93,Wind blowing from the south-west,8,,,, ,,,,,,,50-100,,,15.0,12.2,,,,,,
30.09.2020 09:00,13.1,741.6,750.0,-1.8,99,Wind blowing from the south,14,,,, ,,,,,,,50-100,,,2.3,12.9,,,,,,
30.09.2020 08:00,13.3,742.2,750.7,-1.9,96,Wind blowing from the south,14,,,, ,,,,,,,200-300,,,2.3,12.7,,,,,,
30.09.2020 07:00,12.9,742.6,751.1,-2.4,96,Wind blowing from the south,15,,,, ,,,,,,,200-300,,,6.0,12.3,,,,,,
30.09.2020 06:00,12.4,743.4,751.9,-2.5,96,Wind blowing from the south,14,,,, ,,,12.1,,,,200-300,,,3.8,11.8,3.0,12,,,,
30.09.2020 05:00,12.9,744.1,752.5,-2.8,92,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,6.0,11.6,,,,,,
30.09.2020 04:00,12.9,745.0,753.4,-2.8,92,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,12.0,11.7,,,,,,
30.09.2020 03:00,12.9,745.9,754.4,-2.9,92,Wind blowing from the south,15,,,, ,,,,,,,200-300,,,9.0,11.7,,,,,,
30.09.2020 02:00,13.1,746.9,755.5,-2.7,91,Wind blowing from the south,13,,,, ,,,,,,,300-600,,,17.0,11.7,,,,,,
30.09.2020 01:00,13.0,747.8,756.4,-2.6,89,Wind blowing from the south,11,,,, ,,,,,,,300-600,,,14.0,11.2,,,,,,
30.09.2020 00:00,10.3,742.2,750.7,-8.8,89,Wind blowing from the north-west,8,,,, ,,,,,,,1000-1500,,,29.0,8.6,0.8,6,,,,
29.09.2020 23:00,13.1,749.6,758.2,-1.9,85,Wind blowing from the south,12,,,, ,,,,,,,600-1000,,,23.0,10.6,,,,,,
29.09.2020 22:00,12.8,750.4,758.9,-1.5,84,Wind blowing from the south,11,,,, ,,,,,,,300-600,,,45.0,10.1,,,,,,
29.09.2020 21:00,12.8,751.0,759.7,-1.4,81,Wind blowing from the south,10,,,, ,,,,,,,600-1000,,,40.0,9.6,,,,,,
29.09.2020 20:00,12.5,751.5,760.0,-1.1,78,Wind blowing from the south,9,,,, ,,,,,,,600-1000,,,45.0,8.8,,,,,,
29.09.2020 19:00,12.3,751.9,760.4,-1.0,78,Wind blowing from the south,8,,,, ,,,,,,,600-1000,,,45.0,8.6,,,,,,
29.09.2020 18:00,12.2,752.4,761.0,-0.9,78,Wind blowing from the south-southwest,8,,,, ,,,,15.2,,,600-1000,,,35.0,8.5,No precipitation,12,,,,
29.09.2020 17:00,12.6,752.6,761.2,-1.1,76,Wind blowing from the south-southwest,7,,,, ,,,,,,,600-1000,,,45.0,8.5,,,,,,
29.09.2020 16:00,13.1,752.9,761.5,-1.3,76,Wind blowing from the south,6,,,, ,,,,,,,600-1000,,,55.0,9.0,,,,,,
29.09.2020 15:00,14.1,753.3,761.8,-1.2,75,Wind blowing from the south-southwest,4,,,, ,,,,,,,1000-1500,,,50.0,9.7,,,,,,
29.09.2020 14:00,13.6,753.7,762.4,-0.9,79,Wind blowing from the south-southwest,4,,,, ,,,,,,,300-600,,,50.0,10.0,,,,,,
29.09.2020 13:00,13.3,754.2,762.7,-0.7,81,Wind blowing from the south-west,3,,,, ,,,,,,,600-1000,,,50.0,10.0,,,,,,
29.09.2020 12:00,13.7,754.5,763.0,-0.4,82,Wind blowing from the south,3,,,, ,,,,,,,300-600,,,40.0,10.6,No precipitation,6,,,,
29.09.2020 11:00,14.2,754.6,763.2,-0.2,80,Wind blowing from the south,2,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,10.7,,,,,,
29.09.2020 10:00,13.8,754.9,763.4,0.3,79,Wind blowing from the south-southeast,2,,,, ,,,,,,,1000-1500,,,35.0,10.2,,,,,,
29.09.2020 09:00,13.1,754.9,763.5,0.6,83,Wind blowing from the south-southeast,2,,,, ,,,,,,,300-600,,,30.0,10.3,,,,,,
29.09.2020 08:00,13.2,754.8,763.4,0.8,87,Wind blowing from the east,2,,,, ,,,,,,,1000-1500,,,35.0,11.1,,,,,,
29.09.2020 07:00,10.8,754.6,763.3,0.6,91,Wind blowing from the east,1,,,, ,,,,,,,1000-1500,,,35.0,9.4,,,,,,
29.09.2020 06:00,10.5,754.3,763.0,0.3,89,Wind blowing from the north-east,2,,,, ,,,10.2,,,,1000-1500,,,35.0,8.8,No precipitation,12,,,,
29.09.2020 05:00,11.0,754.0,762.7,0.0,88,Wind blowing from the north-northwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,9.0,,,,,,
29.09.2020 04:00,11.2,754.0,762.7,0.0,85,Wind blowing from the north-northwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,45.0,8.7,,,,,,
29.09.2020 03:00,11.3,754.0,762.7,0.2,84,Wind blowing from the north,6,,,, ,,,,,,,2500 or more or no clouds.,,,45.0,8.6,,,,,,
29.09.2020 02:00,11.7,754.0,762.7,0.2,81,Wind blowing from the north,6,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,8.5,,,,,,
29.09.2020 01:00,12.0,754.0,762.6,0.3,80,Wind blowing from the north,7,,,, ,,,,,,,2500 or more or no clouds.,,,45.0,8.7,,,,,,
29.09.2020 00:00,12.6,748.8,757.3,-4.7,88,Wind blowing from the south,11,,,, ,,,,,,,1000-1500,,,30.0,10.6,0.2,6,,,,
28.09.2020 23:00,12.5,753.8,762.4,0.7,85,Wind blowing from the north,5,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,10.1,,,,,,
28.09.2020 22:00,12.6,753.7,762.3,0.9,92,Wind blowing from the north-northwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,11.3,,,,,,
28.09.2020 21:00,12.7,753.5,762.1,1.3,90,Wind blowing from the north,5,,,, ,,,,,,,1500-2000,,,35.0,11.1,,,,,,
28.09.2020 20:00,12.5,753.1,761.7,1.4,93,Wind blowing from the north-northwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,11.4,,,,,,
28.09.2020 19:00,13.0,752.8,761.3,1.6,98,Wind blowing from the north-northwest,5,,,, ,,,,,,,1500-2000,,,30.0,12.7,,,,,,
28.09.2020 18:00,13.5,752.2,760.8,1.1,99,Wind blowing from the north-west,4,,,, ,,,,15.0,,,1500-2000,,,29.0,13.3,2.0,12,,,,
28.09.2020 17:00,13.9,751.7,760.3,0.9,99,Wind blowing from the north-west,4,,,, ,,,,,,,1000-1500,,,35.0,13.8,,,,,,
28.09.2020 16:00,14.3,751.2,759.7,0.3,100,Wind blowing from the north-northwest,6,,,, ,,,,,,,100-200,,,45.0,14.3,,,,,,
28.09.2020 15:00,14.6,751.1,759.6,0.1,100,Wind blowing from the north-west,5,,,, ,,,,,,,Less than  50,,,6.0,14.6,,,,,,
28.09.2020 14:00,14.9,750.8,759.3,-0.4,100,Wind blowing from the west,6,,,, ,,,,,,,,,,0.1,14.9,,,,,,
28.09.2020 13:00,14.6,750.9,759.4,-0.2,100,Wind blowing from the south-west,7,,,, ,,,,,,,,,,0.1,14.6,,,,,,
28.09.2020 12:00,14.4,751.0,759.6,-0.3,99,Wind blowing from the south-southwest,6,,,, ,,,,,,,,,,less than 0.1,14.3,1.0,6,,,,
28.09.2020 11:00,14.4,751.2,759.7,-0.1,99,Wind blowing from the south-southwest,8,,,, ,,,,,,,,,,0.1,14.3,,,,,,
28.09.2020 10:00,14.3,751.1,759.7,-0.1,99,Wind blowing from the south-southwest,7,,,, ,,,,,,,Less than  50,,,0.1,14.2,,,,,,
28.09.2020 09:00,14.1,751.3,759.7,0.1,99,Wind blowing from the south-southwest,7,,,, ,,,,,,,Less than  50,,,16.0,14.0,,,,,,
28.09.2020 08:00,13.9,751.3,759.8,-0.1,100,Wind blowing from the south-southwest,6,,,, ,,,,,,,Less than  50,,,5.0,13.9,,,,,,
28.09.2020 07:00,13.6,751.2,759.7,-0.6,99,Wind blowing from the south-southwest,7,,,, ,,,,,,,,,,0.1,13.5,,,,,,
28.09.2020 06:00,13.5,751.2,759.7,-1.0,98,Wind blowing from the south,6,,,, ,,,9.1,,,,50-100,,,0.2,13.2,No precipitation,12,,,,
28.09.2020 05:00,13.6,751.4,760.0,-1.1,94,Wind blowing from the south-southwest,5,,,, ,,,,,,,200-300,,,35.0,12.6,,,,,,
28.09.2020 04:00,13.4,751.8,760.3,-1.0,93,Wind blowing from the south-west,5,,,, ,,,,,,,200-300,,,35.0,12.2,,,,,,
28.09.2020 03:00,13.1,752.2,760.7,-1.2,93,Wind blowing from the south,5,,,, ,,,,,,,200-300,,,40.0,12.0,,,,,,
28.09.2020 02:00,11.1,752.5,761.2,-1.1,92,Wind blowing from the east-southeast,3,,,, ,,,,,,,300-600,,,45.0,9.8,,,,,,
28.09.2020 01:00,11.2,752.8,761.4,-0.9,89,Wind blowing from the east-southeast,3,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,9.4,,,,,,
28.09.2020 00:00,11.7,753.4,762.0,-0.5,82,Wind blowing from the south-west,3,,,, ,,,,,,,600-1000,,,60.0,8.7,No precipitation,6,,,,
27.09.2020 23:00,11.3,753.6,762.2,-0.4,81,Wind blowing from the south-west,4,,,, ,,,,,,,2500 or more or no clouds.,,,65.0,8.2,,,,,,
27.09.2020 22:00,10.5,753.7,762.4,-0.4,82,Wind blowing from the south-west,3,,,, ,,,,,,,2500 or more or no clouds.,,,65.0,7.5,,,,,,
27.09.2020 21:00,10.1,753.9,762.6,-0.1,80,Wind blowing from the south-west,3,,,, ,,,,,,,2500 or more or no clouds.,,,70.0,6.8,,,,,,
27.09.2020 20:00,10.0,754.0,762.7,-0.1,78,Wind blowing from the west,4,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,6.3,,,,,,
27.09.2020 19:00,9.6,754.1,762.8,-0.2,76,Wind blowing from the west,5,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,5.5,,,,,,
27.09.2020 18:00,9.8,754.0,762.7,-0.4,74,Wind blowing from the west,4,,,, ,,,,13.9,,,2500 or more or no clouds.,,,71.0,5.3,No precipitation,12,,,,
27.09.2020 17:00,11.4,754.1,762.7,-0.6,66,Wind blowing from the west,5,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,5.3,,,,,,
27.09.2020 16:00,12.8,754.3,762.9,-0.6,70,Wind blowing from the west-northwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,70.0,7.5,,,,,,
27.09.2020 15:00,12.9,754.4,763.0,-0.4,73,Wind blowing from the west-northwest,3,,,, ,,,,,,,300-600,,,65.0,8.1,,,,,,
27.09.2020 14:00,13.1,754.7,763.3,-0.4,72,Wind blowing from the north-west,4,,,, ,,,,,,,300-600,,,65.0,8.1,,,,,,
27.09.2020 13:00,13.0,754.9,763.4,-0.3,71,Wind blowing from the north-northwest,4,,,, ,,,,,,,300-600,,,70.0,7.8,,,,,,
27.09.2020 12:00,13.2,754.8,763.4,-0.4,73,Wind blowing from the north-northwest,4,,,, ,,,,,,,300-600,,,55.0,8.4,No precipitation,6,,,,
27.09.2020 11:00,12.6,755.1,763.7,-0.3,73,Wind blowing from the north-northwest,6,,,, ,,,,,,,300-600,,,60.0,7.9,,,,,,
27.09.2020 10:00,12.5,755.2,763.9,0.0,75,Wind blowing from the north-northwest,6,,,, ,,,,,,,300-600,,,55.0,8.1,,,,,,
27.09.2020 09:00,12.1,755.2,763.8,0.1,79,Wind blowing from the north-northwest,6,,,, ,,,,,,,300-600,,,45.0,8.6,,,,,,
27.09.2020 08:00,10.6,755.4,764.1,0.2,85,Wind blowing from the north-northwest,7,,,, ,,,,,,,300-600,,,45.0,8.2,,,,,,
27.09.2020 07:00,11.0,755.2,763.9,-0.3,75,Wind blowing from the north-northwest,6,,,, ,,,,,,,600-1000,,,60.0,6.6,,,,,,
27.09.2020 06:00,10.5,755.1,763.7,-0.7,76,Wind blowing from the north,6,,,, ,,,10.4,,,,600-1000,,,55.0,6.4,No precipitation,12,,,,
27.09.2020 05:00,10.8,755.2,763.9,-0.7,75,Wind blowing from the north,6,,,, ,,,,,,,600-1000,,,55.0,6.5,,,,,,
27.09.2020 04:00,10.8,755.5,764.2,-0.9,78,Wind blowing from the north-northwest,6,,,, ,,,,,,,600-1000,,,60.0,7.0,,,,,,
27.09.2020 03:00,10.8,755.8,764.5,-0.6,76,Wind blowing from the north-northwest,7,,,, ,,,,,,,600-1000,,,50.0,6.7,,,,,,
27.09.2020 02:00,11.0,755.9,764.6,-0.5,75,Wind blowing from the north,7,,,, ,,,,,,,600-1000,,,70.0,6.6,,,,,,
27.09.2020 01:00,10.7,756.4,765.1,0.0,73,Wind blowing from the north-northwest,8,,,, ,,,,,,,2500 or more or no clouds.,,,60.0,6.1,,,,,,
27.09.2020 00:00,11.7,753.4,762.0,-3.0,82,Wind blowing from the south-west,3,,,, ,,,,,,,600-1000,,,60.0,8.7,No precipitation,6,,,,
26.09.2020 23:00,10.5,756.4,765.1,0.2,73,Wind blowing from the north,6,,,, ,,,,,,,600-1000,,,65.0,5.9,,,,,,
26.09.2020 22:00,10.7,756.4,765.1,0.3,71,Wind blowing from the north,8,,,, ,,,,,,,600-1000,,,70.0,5.7,,,,,,
26.09.2020 21:00,10.7,756.4,765.1,0.4,71,Wind blowing from the north,8,,,, ,,,,,,,600-1000,,,70.0,5.6,,,,,,
26.09.2020 20:00,10.8,756.2,764.9,0.4,69,Wind blowing from the north,8,,,, ,,,,,,,1000-1500,,,71.0,5.2,,,,,,
26.09.2020 19:00,10.8,756.1,764.8,0.6,67,Wind blowing from the north,8,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,4.8,,,,,,
26.09.2020 18:00,10.5,756.0,764.7,0.8,64,Wind blowing from the north,8,,,, ,,,,12.7,,,2500 or more or no clouds.,,,70.0,3.9,No precipitation,12,,,,
26.09.2020 17:00,10.9,755.8,764.5,0.9,65,Wind blowing from the north,8,,,, ,,,,,,,1000-1500,,,70.0,4.5,,,,,,
26.09.2020 16:00,11.8,755.5,764.2,0.6,62,Wind blowing from the north,9,,,, ,,,,,,,1000-1500,,,65.0,4.7,,,,,,
26.09.2020 15:00,11.6,755.2,763.9,0.4,61,Wind blowing from the north,9,,,, ,,,,,,,1000-1500,,,71.0,4.3,,,,,,
26.09.2020 14:00,12.0,754.9,763.6,0.2,54,Wind blowing from the north,9,,,, ,,,,,,,1000-1500,,,71.0,3.0,,,,,,
26.09.2020 13:00,12.5,754.9,763.5,,58,Wind blowing from the north,10,,,, ,,,,,,,1000-1500,,,71.0,4.3,,,,,,
26.09.2020 12:00,12.2,754.8,763.4,0.5,59,Wind blowing from the north,10,,,, ,,,,,,,1000-1500,,,71.0,4.3,No precipitation,6,,,,
26.09.2020 11:00,11.7,754.7,763.3,0.7,60,Wind blowing from the north,10,,,, ,,,,,,,1000-1500,,,71.0,4.2,,,,,,
26.09.2020 10:00,11.7,754.8,763.4,1.1,62,Wind blowing from the north-northeast,9,,,, ,,,,,,,1000-1500,,,71.0,4.6,,,,,,
26.09.2020 09:00,10.6,754.3,763.0,1.0,66,Wind blowing from the north-northeast,9,,,, ,,,,,,,1000-1500,,,60.0,4.4,,,,,,
26.09.2020 08:00,10.2,754.0,762.6,0.7,64,Wind blowing from the north-northeast,7,,,, ,,,,,,,1000-1500,,,65.0,3.7,,,,,,
26.09.2020 07:00,8.9,753.7,762.4,0.5,61,Wind blowing from the north,8,,,, ,,,,,,,1000-1500,,,60.0,1.6,,,,,,
26.09.2020 06:00,9.6,753.3,762.0,0.2,64,Wind blowing from the north,10,,,, ,,,8.9,,,,1000-1500,,,45.0,3.0,No precipitation,12,,,,
26.09.2020 05:00,9.1,753.3,762.0,0.2,78,Wind blowing from the north-northwest,9,,,, ,,,,,,,1000-1500,,,26.0,5.4,,,,,,
26.09.2020 04:00,9.7,753.2,761.9,0.1,58,Wind blowing from the north,9,,,, ,,,,,,,1500-2000,,,55.0,1.7,,,,,,
26.09.2020 03:00,9.9,753.1,761.8,0.0,63,Wind blowing from the north,10,,,, ,,,,,,,1000-1500,,,45.0,3.2,,,,,,
26.09.2020 02:00,10.2,753.1,761.8,-0.1,68,Wind blowing from the north-northwest,10,,,, ,,,,,,,1000-1500,,,40.0,4.5,,,,,,
26.09.2020 01:00,10.4,753.1,761.7,-0.3,66,Wind blowing from the north-northwest,10,,,, ,,,,,,,600-1000,,,40.0,4.3,,,,,,
26.09.2020 00:00,10.8,756.4,765.1,3.0,71,Wind blowing from the north-northwest,8,,,, ,,,,,,,600-1000,,,65.0,5.7,No precipitation,6,,,,
25.09.2020 23:00,10.4,753.2,761.8,0.0,70,Wind blowing from the north-northwest,10,,,, ,,,,,,,1000-1500,,,35.0,5.1,,,,,,
25.09.2020 22:00,10.4,753.4,762.1,0.6,65,Wind blowing from the north-northwest,10,,,, ,,,,,,,1000-1500,,,35.0,4.0,,,,,,
25.09.2020 21:00,10.9,753.4,762.0,1.0,63,Wind blowing from the north-northwest,11,,,, ,,,,,,,1000-1500,,,35.0,4.1,,,,,,
25.09.2020 20:00,11.3,753.2,761.8,1.3,59,Wind blowing from the north-northwest,12,,,, ,,,,,,,2500 or more or no clouds.,,,45.0,3.6,,,,,,
25.09.2020 19:00,11.4,752.8,761.4,1.2,65,Wind blowing from the north-northwest,12,,,, ,,,,,,,1000-1500,,,40.0,5.0,,,,,,
25.09.2020 18:00,11.5,752.4,761.0,0.8,69,Wind blowing from the north-northwest,12,,,, ,,,,13.2,,,1000-1500,,,45.0,5.9,No precipitation,12,,,,
25.09.2020 17:00,12.3,751.9,760.5,0.5,68,Wind blowing from the north-west,12,,,, ,,,,,,,600-1000,,,45.0,6.5,,,,,,
25.09.2020 16:00,12.7,751.6,760.2,0.6,67,Wind blowing from the north-west,12,,,, ,,,,,,,600-1000,,,50.0,6.7,,,,,,
25.09.2020 15:00,10.8,751.6,760.2,1.0,77,Wind blowing from the north-west,11,,,, ,,,,,,,600-1000,,,18.0,6.9,,,,,,
25.09.2020 14:00,12.3,751.4,760.0,1.3,69,Wind blowing from the north-west,12,,,, ,,,,,,,600-1000,,,50.0,6.7,,,,,,
25.09.2020 13:00,12.1,751.0,759.6,1.2,69,Wind blowing from the north-northwest,12,,,, ,,,,,,,600-1000,,,55.0,6.6,,,,,,
25.09.2020 12:00,13.0,750.6,759.1,1.5,69,Wind blowing from the north-west,10,,,, ,,,,,,,600-1000,,,45.0,7.4,No precipitation,6,,,,
25.09.2020 11:00,12.4,750.1,758.8,1.7,71,Wind blowing from the north-west,12,,,, ,,,,,,,600-1000,,,50.0,7.3,,,,,,
25.09.2020 10:00,12.1,749.8,758.4,2.4,71,Wind blowing from the north-northwest,11,,,, ,,,,,,,600-1000,,,60.0,6.9,,,,,,
25.09.2020 09:00,11.5,749.1,757.6,2.4,66,Wind blowing from the north-northwest,9,,,, ,,,,,,,1000-1500,,,60.0,5.4,,,,,,
25.09.2020 08:00,11.6,748.4,757.0,2.5,68,Wind blowing from the north,10,,,, ,,,,,,,1000-1500,,,70.0,5.9,,,,,,
25.09.2020 07:00,10.9,747.4,755.9,2.4,60,Wind blowing from the north,12,,,, ,,,,,,,1000-1500,,,71.0,3.3,,,,,,
25.09.2020 06:00,10.4,746.7,755.2,2.3,65,Wind blowing from the north,12,,,, ,,,7.2,,,,2500 or more or no clouds.,,,60.0,4.1,0.8,12,,,,
25.09.2020 05:00,10.0,745.9,754.6,2.6,68,Wind blowing from the north,12,,,, ,,,,,,,1000-1500,,,55.0,4.2,,,,,,
25.09.2020 04:00,10.1,745.0,753.6,2.5,72,Wind blowing from the north,11,,,, ,,,,,,,1000-1500,,,45.0,5.3,,,,,,
25.09.2020 03:00,8.8,744.4,752.9,2.8,77,Wind blowing from the north,16,,,, ,,,,,,,600-1000,,,21.0,5.0,,,,,,
25.09.2020 02:00,9.1,743.3,751.9,2.5,84,Wind blowing from the north,10,,,, ,,,,,,,300-600,,,71.0,6.5,,,,,,
25.09.2020 01:00,8.0,742.5,751.1,2.3,90,Wind blowing from the north-northeast,5,,,, ,,,,,,,1000-1500,,,55.0,6.5,,,,,,
25.09.2020 00:00,9.6,741.6,750.1,2.1,84,Wind blowing from the north,8,,,, ,,,,,,,1500-2000,,,35.0,7.0,No precipitation,6,,,,
24.09.2020 23:00,9.7,740.8,749.3,2.1,90,Wind blowing from the north,8,,,, ,,,,,,,300-600,,,40.0,8.1,,,,,,
24.09.2020 22:00,7.4,740.2,748.7,2.4,86,Wind blowing from the north-northeast,4,,,, ,,,,,,,1500-2000,,,71.0,5.1,,,,,,
24.09.2020 21:00,8.9,739.5,748.0,2.7,87,Wind blowing from the north,6,,,, ,,,,,,,600-1000,,,60.0,6.9,,,,,,
24.09.2020 20:00,8.9,738.7,747.1,2.7,87,Wind blowing from the north-northeast,7,,,, ,,,,,,,1500-2000,,,65.0,6.8,,,,,,
24.09.2020 19:00,8.0,737.8,746.4,2.4,90,Wind blowing from the north-northeast,4,,,, ,,,,,,,1500-2000,,,71.0,6.4,,,,,,
24.09.2020 18:00,8.3,736.8,745.3,1.7,92,Wind blowing from the north-east,5,,,, ,,,,12.6,,,1500-2000,,,45.0,7.0,4.0,12,,,,
24.09.2020 17:00,8.9,736.0,744.5,1.2,88,Wind blowing from the north-northeast,4,,,, ,,,,,,,1500-2000,,,35.0,7.0,,,,,,
24.09.2020 16:00,10.0,735.4,743.9,0.6,82,Wind blowing from the east,4,,,, ,,,,,,,300-600,,,45.0,7.0,,,,,,
24.09.2020 15:00,11.9,735.1,743.5,0.8,67,Wind blowing from the south-southeast,7,,,, ,,,,,,,2000-2500,,,45.0,6.0,,,,,,
24.09.2020 14:00,12.6,734.8,743.2,0.6,70,Wind blowing from the south,6,,,, ,,,,,,,1500-2000,,,40.0,7.3,,,,,,
24.09.2020 13:00,10.6,734.8,743.2,0.7,77,Wind blowing from the south,9,,,, ,,,,,,,600-1000,,,35.0,6.6,,,,,,
24.09.2020 12:00,12.0,734.3,742.7,0.4,72,Wind blowing from the south,8,,,, ,,,,,,,1000-1500,,,35.0,7.1,1.0,6,,,,
24.09.2020 11:00,11.2,734.2,742.6,0.3,75,Wind blowing from the south-west,11,,,, ,,,,,,,1000-1500,,,29.0,6.9,,,,,,
24.09.2020 10:00,10.8,734.1,742.5,0.5,72,Wind blowing from the south-west,10,,,, ,,,,,,,600-1000,,,,5.9,,,,,,
24.09.2020 09:00,10.6,733.9,742.3,0.6,73,Wind blowing from the south-west,11,,,, ,,,,,,,600-1000,,,45.0,6.0,,,,,,
24.09.2020 08:00,10.7,733.9,742.3,0.0,77,Wind blowing from the south-west,13,,,, ,,,,,,,600-1000,,,40.0,6.7,,,,,,
24.09.2020 07:00,10.2,733.6,742.1,-1.5,80,Wind blowing from the west-southwest,14,,,, ,,,,,,,600-1000,,,35.0,6.9,,,,,,
24.09.2020 06:00,10.0,733.3,741.8,-2.7,80,Wind blowing from the south-west,16,,,, ,,,9.0,,,,300-600,,,50.0,6.7,3.0,12,,,,
24.09.2020 05:00,10.8,733.9,742.3,-3.1,90,Wind blowing from the south,12,,,, ,,,,,,,600-1000,,,30.0,9.2,,,,,,
24.09.2020 04:00,10.1,735.1,743.5,-2.9,87,Wind blowing from the south-southeast,8,,,, ,,,,,,,300-600,,,55.0,8.0,,,,,,
24.09.2020 03:00,9.7,736.0,744.4,-2.9,92,Wind blowing from the south-southwest,13,,,, ,,,,,,,1000-1500,,,,8.4,,,,,,
24.09.2020 02:00,11.3,737.0,745.5,-2.8,76,Wind blowing from the south,8,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,7.1,,,,,,
24.09.2020 01:00,11.0,738.0,746.5,-2.4,77,Wind blowing from the south,5,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,7.1,,,,,,
24.09.2020 00:00,9.6,741.6,750.1,0.7,84,Wind blowing from the north,8,,,, ,,,,,,,1500-2000,,,35.0,7.0,No precipitation,6,,,,
23.09.2020 23:00,10.2,739.8,748.3,-1.6,79,Wind blowing from the south-west,6,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,6.6,,,,,,
23.09.2020 22:00,9.8,740.4,748.9,-1.0,77,Wind blowing from the south-west,5,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,6.0,,,,,,
23.09.2020 21:00,9.8,740.9,749.5,-0.5,83,Wind blowing from the west-southwest,6,,,, ,,,,,,,1000-1500,,,71.0,7.1,,,,,,
23.09.2020 20:00,9.9,741.4,749.9,-0.1,79,Wind blowing from the west,3,,,, ,,,,,,,600-1000,,,71.0,6.3,,,,,,
23.09.2020 19:00,10.0,741.4,750.0,-0.4,77,Wind blowing from the west-northwest,3,,,, ,,,,,,,600-1000,,,71.0,6.1,,,,,,
23.09.2020 18:00,10.5,741.4,750.0,-0.7,73,Wind blowing from the north-northwest,4,,,, ,,,,13.4,,,2500 or more or no clouds.,,,70.0,5.9,No precipitation,12,,,,
23.09.2020 17:00,11.3,741.5,750.0,-0.8,70,Wind blowing from the north-northwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,71.0,5.9,,,,,,
23.09.2020 16:00,12.0,741.8,750.3,-0.8,73,Wind blowing from the north-northwest,6,,,, ,,,,,,,1000-1500,,,60.0,7.2,,,,,,
23.09.2020 15:00,12.4,742.1,750.6,-0.5,71,Wind blowing from the north-northwest,7,,,, ,,,,,,,1000-1500,,,71.0,7.2,,,,,,
23.09.2020 14:00,12.9,742.3,750.8,-0.4,74,Wind blowing from the north-northwest,8,,,, ,,,,,,,600-1000,,,71.0,8.4,,,,,,
23.09.2020 13:00,13.1,742.6,751.0,0.0,71,Wind blowing from the north-northwest,7,,,, ,,,,,,,600-1000,,,60.0,8.0,,,,,,
23.09.2020 12:00,13.0,742.6,751.0,0.1,72,Wind blowing from the north,7,,,, ,,,,,,,600-1000,,,60.0,8.0,No precipitation,6,,,,
23.09.2020 11:00,13.0,742.7,751.2,0.4,70,Wind blowing from the north,8,,,, ,,,,,,,600-1000,,,70.0,7.7,,,,,,
23.09.2020 10:00,12.9,742.6,751.0,0.3,73,Wind blowing from the north,8,,,, ,,,,,,,600-1000,,,71.0,8.1,,,,,,
23.09.2020 09:00,12.1,742.5,751.0,0.5,81,Wind blowing from the north,9,,,, ,,,,,,,600-1000,,,71.0,8.9,,,,,,
23.09.2020 08:00,11.1,742.3,750.8,0.3,94,Wind blowing from the north,7,,,, ,,,,,,,300-600,,,45.0,10.2,,,,,,
