Total errors 48773

04/03/2020 | Date                                     | Spain
06/01/2020 | Tests                                    | France
06/01/2020 | Cumulative Tests                         | France
06/01/2020 | Meeting Friends/Family (indoor)          | France
06/01/2020 | Meeting Friends/Family (outdoor)         | France
06/01/2020 | Domestic Travel                          | France
06/01/2020 | International Travel                     | France
06/01/2020 | Cafes and Restaurants                    | France
06/01/2020 | Pubs and bars                            | France
06/01/2020 | Sports and leisure                       | France
06/01/2020 | Schools Closure                          | France
06/01/2020 | Temperature                              | France
06/01/2020 | Humidity                                 | France
06/01/2020 | Nursing & Care Home Visit                | France
06/02/2020 | Date                                     | France
06/02/2020 | Country                                  | France
06/02/2020 | Cases                                    | France
06/02/2020 | Cumulative Cases                         | France
06/02/2020 | Deaths                                   | France
06/02/2020 | Cumulative Deaths                        | France
06/02/2020 | Tests                                    | France
06/02/2020 | Cumulative Tests                         | France
06/02/2020 | Meeting Friends/Family (indoor)          | France
06/02/2020 | Meeting Friends/Family (outdoor)         | France
06/02/2020 | Domestic Travel                          | France
06/02/2020 | International Travel                     | France
06/02/2020 | Cafes and Restaurants                    | France
06/02/2020 | Pubs and bars                            | France
06/02/2020 | Sports and leisure                       | France
06/02/2020 | Schools Closure                          | France
06/02/2020 | Temperature                              | France
06/02/2020 | Humidity                                 | France
06/02/2020 | Nursing & Care Home Visit                | France
06/03/2020 | Date                                     | France
06/03/2020 | Country                                  | France
06/03/2020 | Cases                                    | France
06/03/2020 | Cumulative Cases                         | France
06/03/2020 | Deaths                                   | France
06/03/2020 | Cumulative Deaths                        | France
06/03/2020 | Tests                                    | France
06/03/2020 | Cumulative Tests                         | France
06/03/2020 | Meeting Friends/Family (indoor)          | France
06/03/2020 | Meeting Friends/Family (outdoor)         | France
06/03/2020 | Domestic Travel                          | France
06/03/2020 | International Travel                     | France
06/03/2020 | Cafes and Restaurants                    | France
06/03/2020 | Pubs and bars                            | France
06/03/2020 | Sports and leisure                       | France
06/03/2020 | Schools Closure                          | France
06/03/2020 | Temperature                              | France
06/03/2020 | Humidity                                 | France
06/03/2020 | Nursing & Care Home Visit                | France
06/04/2020 | Date                                     | France
06/04/2020 | Country                                  | France
06/04/2020 | Cases                                    | France
06/04/2020 | Cumulative Cases                         | France
06/04/2020 | Deaths                                   | France
06/04/2020 | Cumulative Deaths                        | France
06/04/2020 | Tests                                    | France
06/04/2020 | Cumulative Tests                         | France
06/04/2020 | Meeting Friends/Family (indoor)          | France
06/04/2020 | Meeting Friends/Family (outdoor)         | France
06/04/2020 | Domestic Travel                          | France
06/04/2020 | International Travel                     | France
06/04/2020 | Cafes and Restaurants                    | France
06/04/2020 | Pubs and bars                            | France
06/04/2020 | Sports and leisure                       | France
06/04/2020 | Schools Closure                          | France
06/04/2020 | Temperature                              | France
06/04/2020 | Humidity                                 | France
06/04/2020 | Nursing & Care Home Visit                | France
06/05/2020 | Date                                     | France
06/05/2020 | Country                                  | France
06/05/2020 | Cases                                    | France
06/05/2020 | Cumulative Cases                         | France
06/05/2020 | Deaths                                   | France
06/05/2020 | Cumulative Deaths                        | France
06/05/2020 | Tests                                    | France
06/05/2020 | Cumulative Tests                         | France
06/05/2020 | Meeting Friends/Family (indoor)          | France
06/05/2020 | Meeting Friends/Family (outdoor)         | France
06/05/2020 | Domestic Travel                          | France
06/05/2020 | International Travel                     | France
06/05/2020 | Cafes and Restaurants                    | France
06/05/2020 | Pubs and bars                            | France
06/05/2020 | Sports and leisure                       | France
06/05/2020 | Schools Closure                          | France
06/05/2020 | Temperature                              | France
06/05/2020 | Humidity                                 | France
06/05/2020 | Nursing & Care Home Visit                | France
06/06/2020 | Date                                     | France
06/06/2020 | Country                                  | France
06/06/2020 | Cases                                    | France
06/06/2020 | Cumulative Cases                         | France
06/06/2020 | Deaths                                   | France
06/06/2020 | Cumulative Deaths                        | France
06/06/2020 | Tests                                    | France
06/06/2020 | Cumulative Tests                         | France
06/06/2020 | Meeting Friends/Family (indoor)          | France
06/06/2020 | Meeting Friends/Family (outdoor)         | France
06/06/2020 | Domestic Travel                          | France
06/06/2020 | International Travel                     | France
06/06/2020 | Cafes and Restaurants                    | France
06/06/2020 | Pubs and bars                            | France
06/06/2020 | Sports and leisure                       | France
06/06/2020 | Schools Closure                          | France
06/06/2020 | Temperature                              | France
06/06/2020 | Humidity                                 | France
06/06/2020 | Nursing & Care Home Visit                | France
06/07/2020 | Date                                     | France
06/07/2020 | Country                                  | France
06/07/2020 | Cases                                    | France
06/07/2020 | Cumulative Cases                         | France
06/07/2020 | Deaths                                   | France
06/07/2020 | Cumulative Deaths                        | France
06/07/2020 | Tests                                    | France
06/07/2020 | Cumulative Tests                         | France
06/07/2020 | Meeting Friends/Family (indoor)          | France
06/07/2020 | Meeting Friends/Family (outdoor)         | France
06/07/2020 | Domestic Travel                          | France
06/07/2020 | International Travel                     | France
06/07/2020 | Cafes and Restaurants                    | France
06/07/2020 | Pubs and bars                            | France
06/07/2020 | Sports and leisure                       | France
06/07/2020 | Schools Closure                          | France
06/07/2020 | Temperature                              | France
06/07/2020 | Humidity                                 | France
06/07/2020 | Nursing & Care Home Visit                | France
06/08/2020 | Date                                     | France
06/08/2020 | Country                                  | France
06/08/2020 | Cases                                    | France
06/08/2020 | Cumulative Cases                         | France
06/08/2020 | Deaths                                   | France
06/08/2020 | Cumulative Deaths                        | France
06/08/2020 | Tests                                    | France
06/08/2020 | Cumulative Tests                         | France
06/08/2020 | Meeting Friends/Family (indoor)          | France
06/08/2020 | Meeting Friends/Family (outdoor)         | France
06/08/2020 | Domestic Travel                          | France
06/08/2020 | International Travel                     | France
06/08/2020 | Cafes and Restaurants                    | France
06/08/2020 | Pubs and bars                            | France
06/08/2020 | Sports and leisure                       | France
06/08/2020 | Schools Closure                          | France
06/08/2020 | Temperature                              | France
06/08/2020 | Humidity                                 | France
06/08/2020 | Nursing & Care Home Visit                | France
06/09/2020 | Date                                     | France
06/09/2020 | Country                                  | France
06/09/2020 | Cases                                    | France
06/09/2020 | Cumulative Cases                         | France
06/09/2020 | Deaths                                   | France
06/09/2020 | Cumulative Deaths                        | France
06/09/2020 | Tests                                    | France
06/09/2020 | Cumulative Tests                         | France
06/09/2020 | Meeting Friends/Family (indoor)          | France
06/09/2020 | Meeting Friends/Family (outdoor)         | France
06/09/2020 | Domestic Travel                          | France
06/09/2020 | International Travel                     | France
06/09/2020 | Cafes and Restaurants                    | France
06/09/2020 | Pubs and bars                            | France
06/09/2020 | Sports and leisure                       | France
06/09/2020 | Schools Closure                          | France
06/09/2020 | Temperature                              | France
06/09/2020 | Humidity                                 | France
06/09/2020 | Nursing & Care Home Visit                | France
06/10/2020 | Date                                     | France
06/10/2020 | Country                                  | France
06/10/2020 | Cases                                    | France
06/10/2020 | Cumulative Cases                         | France
06/10/2020 | Deaths                                   | France
06/10/2020 | Cumulative Deaths                        | France
06/10/2020 | Tests                                    | France
06/10/2020 | Cumulative Tests                         | France
06/10/2020 | Meeting Friends/Family (indoor)          | France
06/10/2020 | Meeting Friends/Family (outdoor)         | France
06/10/2020 | Domestic Travel                          | France
06/10/2020 | International Travel                     | France
06/10/2020 | Cafes and Restaurants                    | France
06/10/2020 | Pubs and bars                            | France
06/10/2020 | Sports and leisure                       | France
06/10/2020 | Schools Closure                          | France
06/10/2020 | Temperature                              | France
06/10/2020 | Humidity                                 | France
06/10/2020 | Nursing & Care Home Visit                | France
06/11/2020 | Date                                     | France
06/11/2020 | Country                                  | France
06/11/2020 | Cases                                    | France
06/11/2020 | Cumulative Cases                         | France
06/11/2020 | Deaths                                   | France
06/11/2020 | Cumulative Deaths                        | France
06/11/2020 | Tests                                    | France
06/11/2020 | Cumulative Tests                         | France
06/11/2020 | Meeting Friends/Family (indoor)          | France
06/11/2020 | Meeting Friends/Family (outdoor)         | France
06/11/2020 | Domestic Travel                          | France
06/11/2020 | International Travel                     | France
06/11/2020 | Cafes and Restaurants                    | France
06/11/2020 | Pubs and bars                            | France
06/11/2020 | Sports and leisure                       | France
06/11/2020 | Schools Closure                          | France
06/11/2020 | Temperature                              | France
06/11/2020 | Humidity                                 | France
06/11/2020 | Nursing & Care Home Visit                | France
06/12/2020 | Date                                     | France
06/12/2020 | Country                                  | France
06/12/2020 | Cases                                    | France
06/12/2020 | Cumulative Cases                         | France
06/12/2020 | Deaths                                   | France
06/12/2020 | Cumulative Deaths                        | France
06/12/2020 | Tests                                    | France
06/12/2020 | Cumulative Tests                         | France
06/12/2020 | Meeting Friends/Family (indoor)          | France
06/12/2020 | Meeting Friends/Family (outdoor)         | France
06/12/2020 | Domestic Travel                          | France
06/12/2020 | International Travel                     | France
06/12/2020 | Cafes and Restaurants                    | France
06/12/2020 | Pubs and bars                            | France
06/12/2020 | Sports and leisure                       | France
06/12/2020 | Schools Closure                          | France
06/12/2020 | Temperature                              | France
06/12/2020 | Humidity                                 | France
06/12/2020 | Nursing & Care Home Visit                | France
06/13/2020 | Date                                     | France
06/13/2020 | Country                                  | France
06/13/2020 | Cases                                    | France
06/13/2020 | Cumulative Cases                         | France
06/13/2020 | Deaths                                   | France
06/13/2020 | Cumulative Deaths                        | France
06/13/2020 | Tests                                    | France
06/13/2020 | Cumulative Tests                         | France
06/13/2020 | Meeting Friends/Family (indoor)          | France
06/13/2020 | Meeting Friends/Family (outdoor)         | France
06/13/2020 | Domestic Travel                          | France
06/13/2020 | International Travel                     | France
06/13/2020 | Cafes and Restaurants                    | France
06/13/2020 | Pubs and bars                            | France
06/13/2020 | Sports and leisure                       | France
06/13/2020 | Schools Closure                          | France
06/13/2020 | Temperature                              | France
06/13/2020 | Humidity                                 | France
06/13/2020 | Nursing & Care Home Visit                | France
06/14/2020 | Date                                     | France
06/14/2020 | Country                                  | France
06/14/2020 | Cases                                    | France
06/14/2020 | Cumulative Cases                         | France
06/14/2020 | Deaths                                   | France
06/14/2020 | Cumulative Deaths                        | France
06/14/2020 | Tests                                    | France
06/14/2020 | Cumulative Tests                         | France
06/14/2020 | Meeting Friends/Family (indoor)          | France
06/14/2020 | Meeting Friends/Family (outdoor)         | France
06/14/2020 | Domestic Travel                          | France
06/14/2020 | International Travel                     | France
06/14/2020 | Cafes and Restaurants                    | France
06/14/2020 | Pubs and bars                            | France
06/14/2020 | Sports and leisure                       | France
06/14/2020 | Schools Closure                          | France
06/14/2020 | Temperature                              | France
06/14/2020 | Humidity                                 | France
06/14/2020 | Nursing & Care Home Visit                | France
06/15/2020 | Date                                     | France
06/15/2020 | Country                                  | France
06/15/2020 | Cases                                    | France
06/15/2020 | Cumulative Cases                         | France
06/15/2020 | Deaths                                   | France
06/15/2020 | Cumulative Deaths                        | France
06/15/2020 | Tests                                    | France
06/15/2020 | Cumulative Tests                         | France
06/15/2020 | Meeting Friends/Family (indoor)          | France
06/15/2020 | Meeting Friends/Family (outdoor)         | France
06/15/2020 | Domestic Travel                          | France
06/15/2020 | International Travel                     | France
06/15/2020 | Cafes and Restaurants                    | France
06/15/2020 | Pubs and bars                            | France
06/15/2020 | Sports and leisure                       | France
06/15/2020 | Schools Closure                          | France
06/15/2020 | Temperature                              | France
06/15/2020 | Humidity                                 | France
06/15/2020 | Nursing & Care Home Visit                | France
06/16/2020 | Date                                     | France
06/16/2020 | Country                                  | France
06/16/2020 | Cases                                    | France
06/16/2020 | Cumulative Cases                         | France
06/16/2020 | Deaths                                   | France
06/16/2020 | Cumulative Deaths                        | France
06/16/2020 | Tests                                    | France
06/16/2020 | Cumulative Tests                         | France
06/16/2020 | Meeting Friends/Family (indoor)          | France
06/16/2020 | Meeting Friends/Family (outdoor)         | France
06/16/2020 | Domestic Travel                          | France
06/16/2020 | International Travel                     | France
06/16/2020 | Cafes and Restaurants                    | France
06/16/2020 | Pubs and bars                            | France
06/16/2020 | Sports and leisure                       | France
06/16/2020 | Schools Closure                          | France
06/16/2020 | Temperature                              | France
06/16/2020 | Humidity                                 | France
06/16/2020 | Nursing & Care Home Visit                | France
06/17/2020 | Date                                     | France
06/17/2020 | Country                                  | France
06/17/2020 | Cases                                    | France
06/17/2020 | Cumulative Cases                         | France
06/17/2020 | Deaths                                   | France
06/17/2020 | Cumulative Deaths                        | France
06/17/2020 | Tests                                    | France
06/17/2020 | Cumulative Tests                         | France
06/17/2020 | Meeting Friends/Family (indoor)          | France
06/17/2020 | Meeting Friends/Family (outdoor)         | France
06/17/2020 | Domestic Travel                          | France
06/17/2020 | International Travel                     | France
06/17/2020 | Cafes and Restaurants                    | France
06/17/2020 | Pubs and bars                            | France
06/17/2020 | Sports and leisure                       | France
06/17/2020 | Schools Closure                          | France
06/17/2020 | Temperature                              | France
06/17/2020 | Humidity                                 | France
06/17/2020 | Nursing & Care Home Visit                | France
06/18/2020 | Date                                     | France
06/18/2020 | Country                                  | France
06/18/2020 | Cases                                    | France
06/18/2020 | Cumulative Cases                         | France
06/18/2020 | Deaths                                   | France
06/18/2020 | Cumulative Deaths                        | France
06/18/2020 | Tests                                    | France
06/18/2020 | Cumulative Tests                         | France
06/18/2020 | Meeting Friends/Family (indoor)          | France
06/18/2020 | Meeting Friends/Family (outdoor)         | France
06/18/2020 | Domestic Travel                          | France
06/18/2020 | International Travel                     | France
06/18/2020 | Cafes and Restaurants                    | France
06/18/2020 | Pubs and bars                            | France
06/18/2020 | Sports and leisure                       | France
06/18/2020 | Schools Closure                          | France
06/18/2020 | Temperature                              | France
06/18/2020 | Humidity                                 | France
06/18/2020 | Nursing & Care Home Visit                | France
06/19/2020 | Date                                     | France
06/19/2020 | Country                                  | France
06/19/2020 | Cases                                    | France
06/19/2020 | Cumulative Cases                         | France
06/19/2020 | Deaths                                   | France
06/19/2020 | Cumulative Deaths                        | France
06/19/2020 | Tests                                    | France
06/19/2020 | Cumulative Tests                         | France
06/19/2020 | Meeting Friends/Family (indoor)          | France
06/19/2020 | Meeting Friends/Family (outdoor)         | France
06/19/2020 | Domestic Travel                          | France
06/19/2020 | International Travel                     | France
06/19/2020 | Cafes and Restaurants                    | France
06/19/2020 | Pubs and bars                            | France
06/19/2020 | Sports and leisure                       | France
06/19/2020 | Schools Closure                          | France
06/19/2020 | Temperature                              | France
06/19/2020 | Humidity                                 | France
06/19/2020 | Nursing & Care Home Visit                | France
06/20/2020 | Date                                     | France
06/20/2020 | Country                                  | France
06/20/2020 | Cases                                    | France
06/20/2020 | Cumulative Cases                         | France
06/20/2020 | Deaths                                   | France
06/20/2020 | Cumulative Deaths                        | France
06/20/2020 | Tests                                    | France
06/20/2020 | Cumulative Tests                         | France
06/20/2020 | Meeting Friends/Family (indoor)          | France
06/20/2020 | Meeting Friends/Family (outdoor)         | France
06/20/2020 | Domestic Travel                          | France
06/20/2020 | International Travel                     | France
06/20/2020 | Cafes and Restaurants                    | France
06/20/2020 | Pubs and bars                            | France
06/20/2020 | Sports and leisure                       | France
06/20/2020 | Schools Closure                          | France
06/20/2020 | Temperature                              | France
06/20/2020 | Humidity                                 | France
06/20/2020 | Nursing & Care Home Visit                | France
06/21/2020 | Date                                     | France
06/21/2020 | Country                                  | France
06/21/2020 | Cases                                    | France
06/21/2020 | Cumulative Cases                         | France
06/21/2020 | Deaths                                   | France
06/21/2020 | Cumulative Deaths                        | France
06/21/2020 | Tests                                    | France
06/21/2020 | Cumulative Tests                         | France
06/21/2020 | Meeting Friends/Family (indoor)          | France
06/21/2020 | Meeting Friends/Family (outdoor)         | France
06/21/2020 | Domestic Travel                          | France
06/21/2020 | International Travel                     | France
06/21/2020 | Cafes and Restaurants                    | France
06/21/2020 | Pubs and bars                            | France
06/21/2020 | Sports and leisure                       | France
06/21/2020 | Schools Closure                          | France
06/21/2020 | Temperature                              | France
06/21/2020 | Humidity                                 | France
06/21/2020 | Nursing & Care Home Visit                | France
06/22/2020 | Date                                     | France
06/22/2020 | Country                                  | France
06/22/2020 | Cases                                    | France
06/22/2020 | Cumulative Cases                         | France
06/22/2020 | Deaths                                   | France
06/22/2020 | Cumulative Deaths                        | France
06/22/2020 | Tests                                    | France
06/22/2020 | Cumulative Tests                         | France
06/22/2020 | Meeting Friends/Family (indoor)          | France
06/22/2020 | Meeting Friends/Family (outdoor)         | France
06/22/2020 | Domestic Travel                          | France
06/22/2020 | International Travel                     | France
06/22/2020 | Cafes and Restaurants                    | France
06/22/2020 | Pubs and bars                            | France
06/22/2020 | Sports and leisure                       | France
06/22/2020 | Schools Closure                          | France
06/22/2020 | Temperature                              | France
06/22/2020 | Humidity                                 | France
06/22/2020 | Nursing & Care Home Visit                | France
06/23/2020 | Date                                     | France
06/23/2020 | Country                                  | France
06/23/2020 | Cases                                    | France
06/23/2020 | Cumulative Cases                         | France
06/23/2020 | Deaths                                   | France
06/23/2020 | Cumulative Deaths                        | France
06/23/2020 | Tests                                    | France
06/23/2020 | Cumulative Tests                         | France
06/23/2020 | Meeting Friends/Family (indoor)          | France
06/23/2020 | Meeting Friends/Family (outdoor)         | France
06/23/2020 | Domestic Travel                          | France
06/23/2020 | International Travel                     | France
06/23/2020 | Cafes and Restaurants                    | France
06/23/2020 | Pubs and bars                            | France
06/23/2020 | Sports and leisure                       | France
06/23/2020 | Schools Closure                          | France
06/23/2020 | Temperature                              | France
06/23/2020 | Humidity                                 | France
06/23/2020 | Nursing & Care Home Visit                | France
06/24/2020 | Date                                     | France
06/24/2020 | Country                                  | France
06/24/2020 | Cases                                    | France
06/24/2020 | Cumulative Cases                         | France
06/24/2020 | Deaths                                   | France
06/24/2020 | Cumulative Deaths                        | France
06/24/2020 | Tests                                    | France
06/24/2020 | Cumulative Tests                         | France
06/24/2020 | Meeting Friends/Family (indoor)          | France
06/24/2020 | Meeting Friends/Family (outdoor)         | France
06/24/2020 | Domestic Travel                          | France
06/24/2020 | International Travel                     | France
06/24/2020 | Cafes and Restaurants                    | France
06/24/2020 | Pubs and bars                            | France
06/24/2020 | Sports and leisure                       | France
06/24/2020 | Schools Closure                          | France
06/24/2020 | Temperature                              | France
06/24/2020 | Humidity                                 | France
06/24/2020 | Nursing & Care Home Visit                | France
06/25/2020 | Date                                     | France
06/25/2020 | Country                                  | France
06/25/2020 | Cases                                    | France
06/25/2020 | Cumulative Cases                         | France
06/25/2020 | Deaths                                   | France
06/25/2020 | Cumulative Deaths                        | France
06/25/2020 | Tests                                    | France
06/25/2020 | Cumulative Tests                         | France
06/25/2020 | Meeting Friends/Family (indoor)          | France
06/25/2020 | Meeting Friends/Family (outdoor)         | France
06/25/2020 | Domestic Travel                          | France
06/25/2020 | International Travel                     | France
06/25/2020 | Cafes and Restaurants                    | France
06/25/2020 | Pubs and bars                            | France
06/25/2020 | Sports and leisure                       | France
06/25/2020 | Schools Closure                          | France
06/25/2020 | Temperature                              | France
06/25/2020 | Humidity                                 | France
06/25/2020 | Nursing & Care Home Visit                | France
06/26/2020 | Date                                     | France
06/26/2020 | Country                                  | France
06/26/2020 | Cases                                    | France
06/26/2020 | Cumulative Cases                         | France
06/26/2020 | Deaths                                   | France
06/26/2020 | Cumulative Deaths                        | France
06/26/2020 | Tests                                    | France
06/26/2020 | Cumulative Tests                         | France
06/26/2020 | Meeting Friends/Family (indoor)          | France
06/26/2020 | Meeting Friends/Family (outdoor)         | France
06/26/2020 | Domestic Travel                          | France
06/26/2020 | International Travel                     | France
06/26/2020 | Cafes and Restaurants                    | France
06/26/2020 | Pubs and bars                            | France
06/26/2020 | Sports and leisure                       | France
06/26/2020 | Schools Closure                          | France
06/26/2020 | Temperature                              | France
06/26/2020 | Humidity                                 | France
06/26/2020 | Nursing & Care Home Visit                | France
06/27/2020 | Date                                     | France
06/27/2020 | Country                                  | France
06/27/2020 | Cases                                    | France
06/27/2020 | Cumulative Cases                         | France
06/27/2020 | Deaths                                   | France
06/27/2020 | Cumulative Deaths                        | France
06/27/2020 | Tests                                    | France
06/27/2020 | Cumulative Tests                         | France
06/27/2020 | Meeting Friends/Family (indoor)          | France
06/27/2020 | Meeting Friends/Family (outdoor)         | France
06/27/2020 | Domestic Travel                          | France
06/27/2020 | International Travel                     | France
06/27/2020 | Cafes and Restaurants                    | France
06/27/2020 | Pubs and bars                            | France
06/27/2020 | Sports and leisure                       | France
06/27/2020 | Schools Closure                          | France
06/27/2020 | Temperature                              | France
06/27/2020 | Humidity                                 | France
06/27/2020 | Nursing & Care Home Visit                | France
06/28/2020 | Date                                     | France
06/28/2020 | Country                                  | France
06/28/2020 | Cases                                    | France
06/28/2020 | Cumulative Cases                         | France
06/28/2020 | Deaths                                   | France
06/28/2020 | Cumulative Deaths                        | France
06/28/2020 | Tests                                    | France
06/28/2020 | Cumulative Tests                         | France
06/28/2020 | Meeting Friends/Family (indoor)          | France
06/28/2020 | Meeting Friends/Family (outdoor)         | France
06/28/2020 | Domestic Travel                          | France
06/28/2020 | International Travel                     | France
06/28/2020 | Cafes and Restaurants                    | France
06/28/2020 | Pubs and bars                            | France
06/28/2020 | Sports and leisure                       | France
06/28/2020 | Schools Closure                          | France
06/28/2020 | Temperature                              | France
06/28/2020 | Humidity                                 | France
06/28/2020 | Nursing & Care Home Visit                | France
06/29/2020 | Date                                     | France
06/29/2020 | Country                                  | France
06/29/2020 | Cases                                    | France
06/29/2020 | Cumulative Cases                         | France
06/29/2020 | Deaths                                   | France
06/29/2020 | Cumulative Deaths                        | France
06/29/2020 | Tests                                    | France
06/29/2020 | Cumulative Tests                         | France
06/29/2020 | Meeting Friends/Family (indoor)          | France
06/29/2020 | Meeting Friends/Family (outdoor)         | France
06/29/2020 | Domestic Travel                          | France
06/29/2020 | International Travel                     | France
06/29/2020 | Cafes and Restaurants                    | France
06/29/2020 | Pubs and bars                            | France
06/29/2020 | Sports and leisure                       | France
06/29/2020 | Schools Closure                          | France
06/29/2020 | Temperature                              | France
06/29/2020 | Humidity                                 | France
06/29/2020 | Nursing & Care Home Visit                | France
06/30/2020 | Date                                     | France
06/30/2020 | Country                                  | France
06/30/2020 | Cases                                    | France
06/30/2020 | Cumulative Cases                         | France
06/30/2020 | Deaths                                   | France
06/30/2020 | Cumulative Deaths                        | France
06/30/2020 | Tests                                    | France
06/30/2020 | Cumulative Tests                         | France
06/30/2020 | Meeting Friends/Family (indoor)          | France
06/30/2020 | Meeting Friends/Family (outdoor)         | France
06/30/2020 | Domestic Travel                          | France
06/30/2020 | International Travel                     | France
06/30/2020 | Cafes and Restaurants                    | France
06/30/2020 | Pubs and bars                            | France
06/30/2020 | Sports and leisure                       | France
06/30/2020 | Schools Closure                          | France
06/30/2020 | Temperature                              | France
06/30/2020 | Humidity                                 | France
06/30/2020 | Nursing & Care Home Visit                | France
07/01/2020 | Date                                     | France
07/01/2020 | Country                                  | France
07/01/2020 | Cases                                    | France
07/01/2020 | Cumulative Cases                         | France
07/01/2020 | Deaths                                   | France
07/01/2020 | Cumulative Deaths                        | France
07/01/2020 | Tests                                    | France
07/01/2020 | Cumulative Tests                         | France
07/01/2020 | Meeting Friends/Family (indoor)          | France
07/01/2020 | Meeting Friends/Family (outdoor)         | France
07/01/2020 | Domestic Travel                          | France
07/01/2020 | International Travel                     | France
07/01/2020 | Cafes and Restaurants                    | France
07/01/2020 | Pubs and bars                            | France
07/01/2020 | Sports and leisure                       | France
07/01/2020 | Schools Closure                          | France
07/01/2020 | Temperature                              | France
07/01/2020 | Humidity                                 | France
07/01/2020 | Nursing & Care Home Visit                | France
07/02/2020 | Date                                     | France
07/02/2020 | Country                                  | France
07/02/2020 | Cases                                    | France
07/02/2020 | Cumulative Cases                         | France
07/02/2020 | Deaths                                   | France
07/02/2020 | Cumulative Deaths                        | France
07/02/2020 | Tests                                    | France
07/02/2020 | Cumulative Tests                         | France
07/02/2020 | Meeting Friends/Family (indoor)          | France
07/02/2020 | Meeting Friends/Family (outdoor)         | France
07/02/2020 | Domestic Travel                          | France
07/02/2020 | International Travel                     | France
07/02/2020 | Cafes and Restaurants                    | France
07/02/2020 | Pubs and bars                            | France
07/02/2020 | Sports and leisure                       | France
07/02/2020 | Schools Closure                          | France
07/02/2020 | Temperature                              | France
07/02/2020 | Humidity                                 | France
07/02/2020 | Nursing & Care Home Visit                | France
07/03/2020 | Date                                     | France
07/03/2020 | Country                                  | France
07/03/2020 | Cases                                    | France
07/03/2020 | Cumulative Cases                         | France
07/03/2020 | Deaths                                   | France
07/03/2020 | Cumulative Deaths                        | France
07/03/2020 | Tests                                    | France
07/03/2020 | Cumulative Tests                         | France
07/03/2020 | Meeting Friends/Family (indoor)          | France
07/03/2020 | Meeting Friends/Family (outdoor)         | France
07/03/2020 | Domestic Travel                          | France
07/03/2020 | International Travel                     | France
07/03/2020 | Cafes and Restaurants                    | France
07/03/2020 | Pubs and bars                            | France
07/03/2020 | Sports and leisure                       | France
07/03/2020 | Schools Closure                          | France
07/03/2020 | Temperature                              | France
07/03/2020 | Humidity                                 | France
07/03/2020 | Nursing & Care Home Visit                | France
07/04/2020 | Date                                     | France
07/04/2020 | Country                                  | France
07/04/2020 | Cases                                    | France
07/04/2020 | Cumulative Cases                         | France
07/04/2020 | Deaths                                   | France
07/04/2020 | Cumulative Deaths                        | France
07/04/2020 | Tests                                    | France
07/04/2020 | Cumulative Tests                         | France
07/04/2020 | Meeting Friends/Family (indoor)          | France
07/04/2020 | Meeting Friends/Family (outdoor)         | France
07/04/2020 | Domestic Travel                          | France
07/04/2020 | International Travel                     | France
07/04/2020 | Cafes and Restaurants                    | France
07/04/2020 | Pubs and bars                            | France
07/04/2020 | Sports and leisure                       | France
07/04/2020 | Schools Closure                          | France
07/04/2020 | Temperature                              | France
07/04/2020 | Humidity                                 | France
07/04/2020 | Nursing & Care Home Visit                | France
07/05/2020 | Date                                     | France
07/05/2020 | Country                                  | France
07/05/2020 | Cases                                    | France
07/05/2020 | Cumulative Cases                         | France
07/05/2020 | Deaths                                   | France
07/05/2020 | Cumulative Deaths                        | France
07/05/2020 | Tests                                    | France
07/05/2020 | Cumulative Tests                         | France
07/05/2020 | Meeting Friends/Family (indoor)          | France
07/05/2020 | Meeting Friends/Family (outdoor)         | France
07/05/2020 | Domestic Travel                          | France
07/05/2020 | International Travel                     | France
07/05/2020 | Cafes and Restaurants                    | France
07/05/2020 | Pubs and bars                            | France
07/05/2020 | Sports and leisure                       | France
07/05/2020 | Schools Closure                          | France
07/05/2020 | Temperature                              | France
07/05/2020 | Humidity                                 | France
07/05/2020 | Nursing & Care Home Visit                | France
07/06/2020 | Date                                     | France
07/06/2020 | Country                                  | France
07/06/2020 | Cases                                    | France
07/06/2020 | Cumulative Cases                         | France
07/06/2020 | Deaths                                   | France
07/06/2020 | Cumulative Deaths                        | France
07/06/2020 | Tests                                    | France
07/06/2020 | Cumulative Tests                         | France
07/06/2020 | Meeting Friends/Family (indoor)          | France
07/06/2020 | Meeting Friends/Family (outdoor)         | France
07/06/2020 | Domestic Travel                          | France
07/06/2020 | International Travel                     | France
07/06/2020 | Cafes and Restaurants                    | France
07/06/2020 | Pubs and bars                            | France
07/06/2020 | Sports and leisure                       | France
07/06/2020 | Schools Closure                          | France
07/06/2020 | Temperature                              | France
07/06/2020 | Humidity                                 | France
07/06/2020 | Nursing & Care Home Visit                | France
07/07/2020 | Date                                     | France
07/07/2020 | Country                                  | France
07/07/2020 | Cases                                    | France
07/07/2020 | Cumulative Cases                         | France
07/07/2020 | Deaths                                   | France
07/07/2020 | Cumulative Deaths                        | France
07/07/2020 | Tests                                    | France
07/07/2020 | Cumulative Tests                         | France
07/07/2020 | Meeting Friends/Family (indoor)          | France
07/07/2020 | Meeting Friends/Family (outdoor)         | France
07/07/2020 | Domestic Travel                          | France
07/07/2020 | International Travel                     | France
07/07/2020 | Cafes and Restaurants                    | France
07/07/2020 | Pubs and bars                            | France
07/07/2020 | Sports and leisure                       | France
07/07/2020 | Schools Closure                          | France
07/07/2020 | Temperature                              | France
07/07/2020 | Humidity                                 | France
