Local time in Berlin / Tempelhof,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.07.2020 22:00,18.6,759.3,763.6,,57,Wind blowing from the east-northeast,4,,,, ,,,,,,,,,,,9.9,,,,,,
31.07.2020 21:00,19.9,759.1,763.4,,47,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,8.2,,,,,,
31.07.2020 20:00,22.7,758.9,763.2,,39,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,8.0,,,,,,
31.07.2020 19:00,25.5,758.8,763.1,,31,Wind blowing from the north,3,,,, ,,,17.4,27.1,,,,,,,7.3,No precipitation,12,,,,
31.07.2020 18:00,26.7,758.8,763.0,,34,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,9.7,,,,,,
31.07.2020 17:00,26.6,758.9,763.1,,35,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,9.7,,,,,,
31.07.2020 16:00,26.6,759.1,763.3,,34,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.4,,,,,,
31.07.2020 15:00,25.7,759.4,763.7,,35,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,8.9,,,,,,
31.07.2020 14:00,25.4,759.6,763.9,,35,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,8.7,,,,,,
31.07.2020 13:00,24.3,759.8,764.1,,37,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,8.5,No precipitation,6,,,,
31.07.2020 12:00,23.9,760.0,764.3,,43,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.4,,,,,,
31.07.2020 11:00,22.5,760.3,764.5,,45,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,10.0,,,,,,
31.07.2020 10:00,21.3,760.3,764.6,,48,Wind blowing from the north-northwest,5,,,, ,,,13.3,,,,,,,,9.8,,,,,,
31.07.2020 09:00,20.2,760.4,764.8,,51,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,9.8,,,,,,
31.07.2020 08:00,18.9,760.4,764.8,,55,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,9.5,,,,,,
31.07.2020 07:00,17.3,760.5,764.8,,61,Wind blowing from the west-northwest,3,,,, ,,,13.3,21.6,,,,,,,9.6,No precipitation,12,,,,
31.07.2020 06:00,14.5,760.6,765.0,,74,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,9.8,,,,,,
31.07.2020 05:00,13.6,760.4,764.8,,73,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,8.9,,,,,,
31.07.2020 04:00,14.0,760.3,764.7,,73,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.2,,,,,,
31.07.2020 03:00,14.0,760.6,765.0,,72,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,8.9,,,,,,
31.07.2020 02:00,14.1,760.6,765.0,,70,Wind blowing from the north-west,1,,,, ,,,,,,,,,,,8.6,,,,,,
31.07.2020 01:00,15.0,760.6,765.0,,65,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,8.4,Trace of precipitation,6,,,,
31.07.2020 00:00,16.2,760.5,764.9,,62,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,8.8,,,,,,
30.07.2020 23:00,16.6,760.4,764.8,,61,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,,8.9,,,,,,
30.07.2020 22:00,16.7,760.3,764.7,,58,Wind blowing from the north,1,,,, ,,,,,,,,,,,8.3,,,,,,
30.07.2020 21:00,18.3,760.1,764.5,,53,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,8.6,,,,,,
30.07.2020 20:00,20.4,760.1,764.5,,43,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,7.3,,,,,,
30.07.2020 19:00,21.5,760.2,764.5,,38,Wind blowing from the north-west,4,,,, ,,,15.4,24.1,,,,,,,6.4,Trace of precipitation,12,,,,
30.07.2020 18:00,22.1,760.3,764.5,,36,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,6.4,,,,,,
30.07.2020 17:00,23.7,760.5,764.8,,34,Wind blowing from the west,4,,,, ,,,,,,,,,,,6.8,,,,,,
30.07.2020 16:00,23.6,760.8,765.1,,34,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,6.8,,,,,,
30.07.2020 15:00,23.3,760.9,765.2,,35,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,7.1,,,,,,
30.07.2020 14:00,22.1,761.0,765.3,,37,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,6.6,,,,,,
30.07.2020 13:00,21.7,761.3,765.7,,37,Wind blowing from the west,4,,,, ,,,,,,,,,,,6.4,No precipitation,6,,,,
30.07.2020 12:00,20.9,761.5,765.9,,42,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,7.4,,,,,,
30.07.2020 11:00,20.2,761.8,766.1,,47,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,8.4,,,,,,
30.07.2020 10:00,18.6,761.8,766.2,,51,Wind blowing from the north-west,4,,,, ,,,12.4,,,,,,,,8.1,,,,,,
30.07.2020 09:00,18.0,761.8,766.2,,53,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,8.3,,,,,,
30.07.2020 08:00,16.3,761.8,766.3,,59,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,8.1,,,,,,
30.07.2020 07:00,15.3,761.5,766.0,,62,Wind blowing from the west-northwest,4,,,, ,,,12.4,21.8,,,,,,,8.0,No precipitation,12,,,,
30.07.2020 06:00,13.9,761.4,765.8,,73,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,9.0,,,,,,
30.07.2020 05:00,13.0,761.2,765.7,,75,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,8.7,,,,,,
30.07.2020 04:00,12.5,761.0,765.4,,76,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,8.3,,,,,,
30.07.2020 03:00,13.6,760.9,765.3,,69,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,7.9,,,,,,
30.07.2020 02:00,13.4,760.7,765.1,,67,Wind blowing from the west,2,,,, ,,,,,,,,,,,7.4,,,,,,
30.07.2020 01:00,14.7,760.5,764.9,,64,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,7.8,No precipitation,6,,,,
30.07.2020 00:00,15.7,760.3,764.7,,56,Wind blowing from the west,1,,,, ,,,,,,,,,,,7.0,,,,,,
29.07.2020 23:00,16.4,760.1,764.5,,54,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,7.0,,,,,,
29.07.2020 22:00,17.6,760.0,764.3,,52,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,7.6,,,,,,
29.07.2020 21:00,18.7,759.8,764.2,,47,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,7.0,,,,,,
29.07.2020 20:00,20.0,759.4,763.7,,42,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,6.7,,,,,,
29.07.2020 19:00,21.8,759.2,763.5,,37,Wind blowing from the west,5,,,, ,,,16.8,23.9,,,,,,,6.5,Trace of precipitation,12,,,,
29.07.2020 18:00,22.4,759.1,763.4,,35,Wind blowing from the west,6,,,, ,,,,,,,,,,,6.1,,,,,,
29.07.2020 17:00,22.7,759.1,763.3,,34,Wind blowing from the west-northwest,7,,,, ,,,,,,,,,,,6.0,,,,,,
29.07.2020 16:00,23.3,759.1,763.3,,34,Wind blowing from the west,5,,,, ,,,,,,,,,,,6.4,,,,,,
29.07.2020 15:00,21.8,759.1,763.4,,36,Wind blowing from the west,6,,,, ,,,,,,,,,,,6.1,,,,,,
29.07.2020 14:00,22.3,759.1,763.3,,38,Wind blowing from the west,7,,,, ,,,,,,,,,,,7.2,,,,,,
29.07.2020 13:00,22.1,758.9,763.2,,42,Wind blowing from the west,6,,,, ,,,,,,,,,,,8.6,Trace of precipitation,6,,,,
29.07.2020 12:00,21.6,758.8,763.1,,39,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,7.0,,,,,,
29.07.2020 11:00,20.8,758.8,763.0,,43,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,7.8,,,,,,
29.07.2020 10:00,19.5,758.7,763.0,,49,Wind blowing from the west,6,,,, ,,,15.1,,,,,,,,8.3,,,,,,
29.07.2020 09:00,19.9,758.5,762.9,,50,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,9.2,,,,,,
29.07.2020 08:00,17.6,758.5,762.8,,58,Wind blowing from the west,4,,,, ,,,,,,,,,,,9.3,,,,,,
29.07.2020 07:00,16.9,758.3,762.7,,61,Wind blowing from the west-southwest,3,,,, ,,,15.1,23.6,,,,,,,9.3,No precipitation,12,,,,
29.07.2020 06:00,16.0,758.0,762.4,,67,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,9.8,,,,,,
29.07.2020 05:00,15.4,757.7,762.1,,71,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,10.1,,,,,,
29.07.2020 04:00,15.9,757.3,761.7,,69,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.1,,,,,,
29.07.2020 02:00,17.0,756.8,761.2,,64,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.2,,,,,,
29.07.2020 01:00,17.9,756.7,761.1,,61,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.3,No precipitation,6,,,,
29.07.2020 00:00,18.8,756.4,760.7,,57,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,10.1,,,,,,
28.07.2020 23:00,19.6,755.8,760.0,,60,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.6,,,,,,
28.07.2020 22:00,20.4,755.2,759.4,,59,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,12.0,,,,,,
28.07.2020 21:00,21.1,754.8,759.1,,58,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,12.5,,,,,,
28.07.2020 20:00,22.2,754.3,758.6,,55,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,12.7,,,,,,
28.07.2020 19:00,23.7,753.7,757.9,,50,Wind blowing from the north-west,6,,,, ,,,21.7,28.2,,,,,,,12.5,Trace of precipitation,12,,,,
28.07.2020 18:00,25.0,753.5,757.7,,48,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,13.2,,,,,,
28.07.2020 17:00,25.9,753.1,757.3,,45,Wind blowing from the west-northwest,6,,,, ,,,,,,,,,,,12.9,,,,,,
28.07.2020 16:00,27.7,753.0,757.2,,34,Wind blowing from the west,7,,,, ,,,,,,,,,,,10.4,,,,,,
28.07.2020 15:00,27.6,752.7,756.9,,39,Wind blowing from the west,7,,,, ,,,,,,,,,,,12.5,,,,,,
28.07.2020 14:00,27.8,752.6,756.8,,38,Wind blowing from the west,7,,,, ,,,,,,,,,,,12.1,,,,,,
28.07.2020 13:00,26.3,752.5,756.7,,45,Wind blowing from the west,6,,,, ,,,,,,,,,,,13.3,Trace of precipitation,6,,,,
28.07.2020 12:00,26.5,752.1,756.3,,47,Wind blowing from the west,6,,,, ,,,,,,,,,,,14.4,,,,,,
28.07.2020 11:00,25.8,752.1,756.3,,51,Wind blowing from the west,5,,,, ,,,,,,,,,,,14.9,,,,,,
28.07.2020 10:00,26.3,751.8,756.0,,50,Wind blowing from the west,5,,,, ,,,19.2,,,,,,,,14.9,,,,,,
28.07.2020 09:00,24.7,751.4,755.6,,52,Wind blowing from the west,5,,,, ,,,,,,,,,,,14.2,,,,,,
28.07.2020 08:00,22.9,751.3,755.5,,59,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,14.4,,,,,,
28.07.2020 07:00,21.6,751.0,755.3,,61,Wind blowing from the south,2,,,, ,,,19.2,21.8,,,,,,,13.8,0.2,12,,,,
28.07.2020 06:00,20.1,751.0,755.2,,65,Wind blowing from the south,3,,,, ,,,,,,,,,,,13.2,,,,,,
28.07.2020 05:00,20.0,751.2,755.5,,65,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,13.1,,,,,,
28.07.2020 04:00,19.9,751.5,755.8,,66,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,13.3,,,,,,
28.07.2020 03:00,20.0,752.1,756.4,,66,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,13.5,,,,,,
28.07.2020 02:00,19.3,752.7,757.0,,69,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.5,,,,,,
28.07.2020 01:00,19.6,753.3,757.6,,68,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.6,0.2,6,,,,
28.07.2020 00:00,19.9,754.0,758.3,,69,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.9,,,,,,
27.07.2020 23:00,20.4,754.3,758.6,,66,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.8,,,,,,
27.07.2020 22:00,20.4,754.9,759.2,,74,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,15.5,,,,,,
27.07.2020 21:00,20.1,755.4,759.7,,75,Wind blowing from the east,2,,,, ,,,,,,,,,,,15.5,,,,,,
27.07.2020 20:00,20.3,755.7,760.0,,73,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,15.3,,,,,,
27.07.2020 19:00,21.3,756.1,760.3,,68,Wind blowing from the east,2,,,, ,,,18.2,26.5,,,,,,,15.2,Trace of precipitation,12,,,,
27.07.2020 18:00,23.0,756.5,760.8,,52,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.7,,,,,,
27.07.2020 17:00,25.0,756.5,760.7,,43,Wind blowing from the south,2,,,, ,,,,,,,,,,,11.5,,,,,,
27.07.2020 16:00,25.6,756.9,761.1,,42,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,11.6,,,,,,
27.07.2020 15:00,25.8,757.3,761.5,,42,Wind blowing from the south,2,,,, ,,,,,,,,,,,11.8,,,,,,
27.07.2020 14:00,25.5,757.8,762.0,,45,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,12.8,,,,,,
27.07.2020 13:00,25.0,758.2,762.5,,50,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,13.7,No precipitation,6,,,,
27.07.2020 12:00,24.5,758.6,762.9,,49,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,13.0,,,,,,
27.07.2020 11:00,24.4,758.9,763.2,,49,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,13.0,,,,,,
27.07.2020 10:00,23.9,759.2,763.5,,51,Wind blowing from the south,3,,,, ,,,13.9,,,,,,,,13.2,,,,,,
27.07.2020 09:00,22.0,759.4,763.6,,65,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,15.0,,,,,,
27.07.2020 08:00,20.6,759.4,763.6,,76,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,16.2,,,,,,
27.07.2020 07:00,18.1,759.1,763.5,,85,Wind blowing from the south,1,,,, ,,,13.9,18.8,,,,,,,15.6,Trace of precipitation,12,,,,
27.07.2020 06:00,16.1,759.0,763.3,,96,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,15.5,,,,,,
27.07.2020 05:00,14.3,758.9,763.3,,97,Wind blowing from the south,1,,,, ,,,,,,,,,,,13.8,,,,,,
27.07.2020 04:00,14.7,758.7,763.1,,96,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,14.0,,,,,,
27.07.2020 03:00,15.1,758.5,762.8,,97,Wind blowing from the east,1,,,, ,,,,,,,,,,,14.7,,,,,,
27.07.2020 02:00,15.2,758.3,762.7,,94,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,14.3,,,,,,
27.07.2020 01:00,16.5,758.2,762.5,,93,Calm no wind,0,,,, ,,,,,,,,,,,15.3,No precipitation,6,,,,
27.07.2020 00:00,15.6,757.8,762.1,,90,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,14.0,,,,,,
26.07.2020 23:00,15.6,757.5,761.8,,94,Wind blowing from the east,1,,,, ,,,,,,,,,,,14.7,,,,,,
26.07.2020 22:00,16.6,757.2,761.5,,89,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,14.7,,,,,,
26.07.2020 21:00,17.8,756.7,761.0,,88,Wind blowing from the south,2,,,, ,,,,,,,,,,,15.8,,,,,,
26.07.2020 20:00,18.0,756.0,760.3,,87,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,15.8,,,,,,
26.07.2020 19:00,18.8,755.6,759.9,,81,Wind blowing from the south-east,1,,,, ,,,17.3,23.5,,,,,,,15.4,10.0,12,,,,
26.07.2020 18:00,17.9,755.5,759.8,,80,Wind blowing from the north-northwest,9,,,, ,,,,,,,,,,,14.4,,,,,,
26.07.2020 17:00,22.9,754.6,758.9,,64,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,15.8,,,,,,
26.07.2020 16:00,21.5,754.4,758.7,,76,Wind blowing from the west,3,,,, ,,,,,,,,,,,17.1,,,,,,
26.07.2020 15:00,18.5,753.9,758.2,,87,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,16.2,,,,,,
26.07.2020 14:00,17.3,754.0,758.4,,93,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,16.1,,,,,,
26.07.2020 13:00,21.5,753.6,757.9,,67,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,15.2,0.5,6,,,,
26.07.2020 12:00,21.3,753.7,757.9,,72,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,16.0,,,,,,
26.07.2020 11:00,19.8,753.6,757.9,,77,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,15.7,,,,,,
26.07.2020 10:00,18.7,753.4,757.7,,82,Wind blowing from the south-west,3,,,, ,,,17.4,,,,,,,,15.5,,,,,,
26.07.2020 09:00,18.8,753.1,757.3,,81,Wind blowing from the west,3,,,, ,,,,,,,,,,,15.4,,,,,,
26.07.2020 08:00,19.3,752.6,756.9,,75,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,14.8,,,,,,
26.07.2020 07:00,19.8,751.9,756.1,,73,Wind blowing from the south-southeast,2,,,, ,,,17.4,25.7,,,,,,,14.8,Trace of precipitation,12,,,,
26.07.2020 06:00,18.7,751.9,756.2,,78,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.8,,,,,,
26.07.2020 05:00,17.8,752.2,756.4,,81,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.5,,,,,,
26.07.2020 04:00,17.6,752.5,756.8,,82,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.4,,,,,,
26.07.2020 03:00,17.9,752.9,757.2,,80,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.4,,,,,,
26.07.2020 02:00,18.3,753.4,757.6,,78,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.3,,,,,,
26.07.2020 01:00,18.9,753.7,757.9,,74,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,14.2,No precipitation,6,,,,
26.07.2020 00:00,19.7,754.0,758.2,,69,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.9,,,,,,
25.07.2020 23:00,20.5,754.1,758.4,,66,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.8,,,,,,
25.07.2020 22:00,21.6,754.3,758.5,,61,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,13.8,,,,,,
25.07.2020 21:00,22.4,754.2,758.5,,57,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.4,,,,,,
25.07.2020 20:00,24.4,754.1,758.3,,48,Wind blowing from the south,2,,,, ,,,,,,,,,,,12.7,,,,,,
25.07.2020 19:00,25.6,754.0,758.2,,44,Wind blowing from the south,1,,,, ,,,18.3,26.8,,,,,,,12.6,No precipitation,12,,,,
25.07.2020 18:00,26.2,754.3,758.5,,43,Wind blowing from the south,2,,,, ,,,,,,,,,,,12.7,,,,,,
25.07.2020 17:00,26.3,754.6,758.8,,42,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,12.3,,,,,,
25.07.2020 16:00,26.1,754.9,759.1,,43,Wind blowing from the west,3,,,, ,,,,,,,,,,,12.4,,,,,,
25.07.2020 15:00,25.7,755.1,759.3,,47,Wind blowing from the west,3,,,, ,,,,,,,,,,,13.5,,,,,,
25.07.2020 14:00,23.9,755.2,759.5,,52,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,13.5,,,,,,
25.07.2020 13:00,24.0,755.3,759.6,,50,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,13.0,Trace of precipitation,6,,,,
25.07.2020 12:00,23.7,755.6,759.9,,53,Wind blowing from the west,2,,,, ,,,,,,,,,,,13.6,,,,,,
25.07.2020 11:00,22.5,755.8,760.0,,56,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,13.3,,,,,,
25.07.2020 10:00,21.9,755.8,760.0,,55,Wind blowing from the west-northwest,2,,,, ,,,14.2,,,,,,,,12.5,,,,,,
25.07.2020 09:00,20.2,755.8,760.0,,63,Wind blowing from the north,1,,,, ,,,,,,,,,,,12.8,,,,,,
25.07.2020 08:00,19.2,755.6,759.9,,65,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.5,,,,,,
25.07.2020 07:00,18.3,755.4,759.7,,70,Wind blowing from the north-west,2,,,, ,,,14.2,24.0,,,,,,,12.7,No precipitation,12,,,,
25.07.2020 06:00,17.0,755.2,759.6,,79,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,13.4,,,,,,
25.07.2020 05:00,16.0,755.0,759.4,,83,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,13.1,,,,,,
25.07.2020 04:00,15.0,754.9,759.3,,82,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,11.9,,,,,,
25.07.2020 03:00,16.3,754.7,759.1,,78,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,12.5,,,,,,
25.07.2020 02:00,17.2,754.4,758.8,,74,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,12.5,,,,,,
25.07.2020 01:00,17.8,754.2,758.5,,67,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,11.6,No precipitation,6,,,,
25.07.2020 00:00,18.9,754.2,758.5,,64,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,11.9,,,,,,
24.07.2020 23:00,19.3,754.1,758.4,,62,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,11.8,,,,,,
24.07.2020 22:00,20.0,754.0,758.2,,62,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,12.4,,,,,,
24.07.2020 21:00,21.3,753.5,757.8,,56,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,12.1,,,,,,
24.07.2020 20:00,22.9,752.9,757.2,,50,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,12.0,,,,,,
24.07.2020 19:00,24.1,752.8,757.0,,47,Wind blowing from the west-northwest,5,,,, ,,,17.3,28.8,,,,,,,11.9,Trace of precipitation,12,,,,
24.07.2020 18:00,23.9,752.5,756.7,,45,Wind blowing from the north-west,7,,,, ,,,,,,,,,,,11.2,,,,,,
24.07.2020 17:00,27.4,751.9,756.1,,29,Wind blowing from the west-northwest,8,,,, ,,,,,,,,,,,7.9,,,,,,
24.07.2020 16:00,28.3,751.8,756.0,,26,Wind blowing from the west,7,,,, ,,,,,,,,,,,7.1,,,,,,
24.07.2020 15:00,28.4,751.8,756.0,,29,Wind blowing from the west,6,,,, ,,,,,,,,,,,8.8,,,,,,
24.07.2020 14:00,26.9,752.2,756.4,,32,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,8.8,,,,,,
24.07.2020 13:00,26.7,752.5,756.7,,32,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,8.7,No precipitation,6,,,,
24.07.2020 12:00,25.7,752.6,756.8,,34,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,8.5,,,,,,
24.07.2020 11:00,25.6,752.9,757.1,,36,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,9.6,,,,,,
24.07.2020 10:00,24.7,753.3,757.5,,38,Wind blowing from the south-west,4,,,, ,,,13.0,,,,,,,,9.3,,,,,,
24.07.2020 09:00,22.8,753.6,757.9,,43,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,9.5,,,,,,
24.07.2020 08:00,20.0,753.9,758.2,,52,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,9.7,,,,,,
24.07.2020 07:00,17.3,754.1,758.5,,60,Wind blowing from the south-southwest,3,,,, ,,,13.0,22.6,,,,,,,9.5,Trace of precipitation,12,,,,
24.07.2020 06:00,14.1,754.4,758.8,,71,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.9,,,,,,
24.07.2020 05:00,13.4,754.6,759.0,,74,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.8,,,,,,
24.07.2020 04:00,13.1,754.7,759.1,,73,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.4,,,,,,
24.07.2020 03:00,14.3,755.0,759.4,,68,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.4,,,,,,
24.07.2020 02:00,15.0,755.4,759.7,,64,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.2,,,,,,
24.07.2020 01:00,15.7,755.7,760.0,,58,Wind blowing from the south,2,,,, ,,,,,,,,,,,7.4,No precipitation,6,,,,
24.07.2020 00:00,16.4,756.0,760.3,,57,Wind blowing from the south,2,,,, ,,,,,,,,,,,7.7,,,,,,
23.07.2020 23:00,17.1,756.2,760.6,,55,Wind blowing from the south,2,,,, ,,,,,,,,,,,7.8,,,,,,
23.07.2020 22:00,16.5,756.3,760.6,,57,Calm no wind,0,,,, ,,,,,,,,,,,7.9,,,,,,
23.07.2020 21:00,18.7,756.4,760.8,,47,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,7.1,,,,,,
23.07.2020 20:00,21.2,756.4,760.6,,38,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,6.1,,,,,,
23.07.2020 19:00,22.6,756.7,760.9,,33,Wind blowing from the west,2,,,, ,,,15.1,24.0,,,,,,,5.5,Trace of precipitation,12,,,,
23.07.2020 18:00,22.9,756.9,761.2,,33,Wind blowing from the west,2,,,, ,,,,,,,,,,,5.6,,,,,,
23.07.2020 17:00,23.0,757.1,761.4,,31,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,5.0,,,,,,
23.07.2020 16:00,23.4,757.4,761.7,,29,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,4.3,,,,,,
23.07.2020 15:00,23.2,757.8,762.1,,33,Wind blowing from the west,3,,,, ,,,,,,,,,,,6.2,,,,,,
23.07.2020 14:00,21.8,758.2,762.4,,39,Wind blowing from the west,3,,,, ,,,,,,,,,,,7.0,,,,,,
23.07.2020 13:00,21.8,758.4,762.7,,41,Wind blowing from the west,4,,,, ,,,,,,,,,,,7.8,Trace of precipitation,6,,,,
23.07.2020 12:00,21.2,758.7,763.0,,42,Wind blowing from the west,4,,,, ,,,,,,,,,,,7.7,,,,,,
23.07.2020 11:00,19.7,759.1,763.5,,49,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,8.7,,,,,,
23.07.2020 10:00,19.0,759.3,763.6,,53,Wind blowing from the west-northwest,2,,,, ,,,14.3,,,,,,,,9.1,,,,,,
23.07.2020 09:00,17.5,759.4,763.8,,66,Wind blowing from the west,2,,,, ,,,,,,,,,,,11.1,,,,,,
23.07.2020 08:00,16.0,759.4,763.8,,75,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,11.5,,,,,,
23.07.2020 07:00,15.1,759.5,763.9,,77,Wind blowing from the north-west,2,,,, ,,,14.3,21.2,,,,,,,11.0,1.0,12,,,,
