Local time in Tirana (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
28.07.2020 02:20,19.0,757.6,760.5,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
28.07.2020 01:50,19.0,757.6,760.5,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
28.07.2020 01:20,19.0,757.6,760.5,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
28.07.2020 00:50,19.0,757.6,760.5,78,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
28.07.2020 00:20,19.0,757.6,760.5,83,Calm no wind,0,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 23:50,20.0,757.6,760.5,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 23:20,20.0,757.6,760.5,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 22:50,21.0,757.6,760.5,73,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 22:20,22.0,757.6,760.5,69,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 21:50,22.0,757.6,760.5,69,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 21:20,23.0,757.6,760.5,65,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 20:50,25.0,757.6,760.5,54,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 20:20,25.0,757.6,760.5,54,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 19:50,25.0,757.6,760.5,57,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 19:20,26.0,757.6,760.5,51,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 18:50,27.0,757.6,760.5,48,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 18:20,27.0,757.6,760.5,48,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 17:50,29.0,757.7,760.5,43,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 17:20,29.0,757.7,760.5,45,Wind blowing from the north-northwest,6,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 16:50,29.0,757.7,760.5,48,Wind blowing from the north,6,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 16:20,29.0,756.9,759.7,45,Wind blowing from the north,6,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 15:50,30.0,756.9,759.7,46,Wind blowing from the north,6,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 15:20,31.0,756.9,759.7,43,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 14:50,31.0,756.9,759.7,43,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 14:20,32.0,756.9,759.7,46,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,19.0,
27.07.2020 13:50,33.0,757.7,760.5,46,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,20.0,
27.07.2020 13:20,34.0,757.7,760.5,36,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 12:50,33.0,757.7,760.5,34,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,15.0,
27.07.2020 12:20,33.0,757.7,760.5,36,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,16.0,
27.07.2020 11:50,33.0,757.7,760.5,38,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 11:20,32.0,757.7,760.5,43,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 10:50,32.0,757.7,760.5,46,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
27.07.2020 10:20,31.0,758.4,761.2,43,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 09:50,30.0,758.4,761.2,49,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 09:20,28.0,758.4,761.2,55,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 08:50,27.0,758.3,761.2,54,variable wind direction,2,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 08:20,26.0,758.3,761.2,58,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 07:50,26.0,758.3,761.2,61,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 07:20,24.0,758.3,761.2,74,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
27.07.2020 06:50,23.0,758.3,761.2,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
27.07.2020 06:20,22.0,758.3,761.2,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 05:50,20.0,758.3,761.2,88,Wind blowing from the south-southwest,2,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 05:20,19.0,757.6,760.5,94,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 04:50,18.0,757.6,760.5,94,Wind blowing from the east,1,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 04:20,19.0,757.6,760.5,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 03:50,19.0,757.6,760.5,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 03:20,19.0,757.6,760.5,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 02:50,20.0,757.6,760.5,88,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 02:20,19.0,757.6,760.5,88,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
27.07.2020 01:50,20.0,757.6,760.5,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 01:20,20.0,757.6,760.5,88,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 00:50,20.0,757.6,760.5,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
27.07.2020 00:20,20.0,757.6,760.5,88,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 23:50,20.0,758.3,761.2,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 23:20,20.0,757.6,760.5,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 22:50,21.0,757.6,760.5,88,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 22:20,21.0,757.6,760.5,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 21:50,22.0,757.6,760.5,83,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 21:20,21.0,757.6,760.5,88,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 20:50,23.0,757.6,760.5,74,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 20:20,23.0,757.6,760.5,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 19:50,23.0,756.8,759.7,78,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 19:20,24.0,756.8,759.7,69,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 18:50,25.0,756.8,759.7,69,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 18:20,25.0,756.8,759.7,65,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 17:50,26.0,756.8,759.7,61,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 17:20,26.0,756.8,759.7,58,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,17.0,
26.07.2020 16:50,27.0,756.9,759.7,58,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 16:20,28.0,756.9,759.7,55,Wind blowing from the north,4,,,,Few clouds (10-30%) 960 m,10.0 and more,18.0,
26.07.2020 15:50,28.0,756.9,759.7,55,Wind blowing from the north-northwest,3,,,,Few clouds (10-30%) 960 m,10.0 and more,18.0,
26.07.2020 15:20,28.0,756.9,759.7,51,Wind blowing from the north-west,4,,,,Few clouds (10-30%) 1110 m,10.0 and more,17.0,
26.07.2020 14:50,28.0,756.9,759.7,51,Wind blowing from the west-northwest,5,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,17.0,
26.07.2020 14:20,30.0,756.2,759.0,49,Wind blowing from the west,5,,,,Scattered clouds (40-50%) 1260 m,10.0 and more,18.0,
26.07.2020 13:50,29.0,756.2,759.0,51,Wind blowing from the west,3,,,,Broken clouds (60-90%) 1260 m,10.0 and more,18.0,
26.07.2020 13:20,30.0,756.2,759.0,49,Wind blowing from the west-northwest,3,,,,Broken clouds (60-90%) 1350 m,10.0 and more,18.0,
26.07.2020 12:50,29.0,756.2,759.0,51,Wind blowing from the north-northwest,4,,,,Broken clouds (60-90%) 1350 m,10.0 and more,18.0,
26.07.2020 12:20,29.0,756.9,759.7,51,Wind blowing from the west-southwest,3,,,,Broken clouds (60-90%) 1350 m,10.0 and more,18.0,
26.07.2020 11:50,28.0,756.9,759.7,55,Wind blowing from the west-northwest,4,,,,Broken clouds (60-90%) 1350 m,10.0 and more,18.0,
26.07.2020 11:20,29.0,756.2,759.0,51,Wind blowing from the west-northwest,3,,,,Scattered clouds (40-50%) 1260 m,10.0 and more,18.0,
26.07.2020 10:50,28.0,756.9,759.7,51,variable wind direction,2,,,,Scattered clouds (40-50%) 1320 m,10.0 and more,17.0,
26.07.2020 10:20,30.0,756.2,759.0,46,Wind blowing from the north,1,,,,Scattered clouds (40-50%) 1320 m,10.0 and more,17.0,
26.07.2020 09:50,29.0,756.9,759.7,48,Calm no wind,0,,,,Few clouds (10-30%) 1260 m,10.0 and more,17.0,
26.07.2020 09:20,27.0,756.2,759.0,45,Wind blowing from the south-southeast,2,,,,Few clouds (10-30%) 810 m,10.0 and more,14.0,
26.07.2020 08:50,26.0,756.1,759.0,51,Wind blowing from the south,1,,,,Few clouds (10-30%) 810 m,10.0 and more,15.0,
26.07.2020 08:20,27.0,756.2,759.0,58,Calm no wind,0,,,,Few clouds (10-30%) 810 m,10.0 and more,18.0,
26.07.2020 07:50,25.0,756.1,759.0,61,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
26.07.2020 07:20,24.0,756.1,759.0,69,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,18.0,
26.07.2020 06:50,24.0,756.1,759.0,74,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 06:20,23.0,756.1,759.0,78,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 05:50,22.0,756.1,759.0,83,Wind blowing from the south,2,,,,Few clouds (10-30%) 600 m broken clouds (60-90%) 1920 m,10.0 and more,19.0,
26.07.2020 05:20,20.0,756.1,759.0,94,Wind blowing from the south,2,,,,Few clouds (10-30%) 600 m,10.0 and more,19.0,
26.07.2020 04:50,20.0,756.1,759.0,88,Wind blowing from the south,2,,,,Few clouds (10-30%) 600 m,10.0 and more,18.0,
26.07.2020 04:20,20.0,756.1,759.0,88,Wind blowing from the south-southeast,2,,,,Few clouds (10-30%) 750 m,10.0 and more,18.0,
26.07.2020 03:50,21.0,756.1,759.0,88,variable wind direction,1,,,,Few clouds (10-30%) 750 m,10.0 and more,19.0,
26.07.2020 03:20,21.0,756.1,759.0,88,Wind blowing from the south-east,1,,,,Few clouds (10-30%) 750 m scattered clouds (40-50%) 1050 m,10.0 and more,19.0,
26.07.2020 02:50,21.0,756.1,759.0,88,Wind blowing from the south,1,,,,Few clouds (10-30%) 750 m scattered clouds (40-50%) 1050 m,10.0 and more,19.0,
26.07.2020 02:20,21.0,756.1,759.0,94,variable wind direction,1,,,,Scattered clouds (40-50%) 750 m,10.0 and more,20.0,
26.07.2020 01:50,21.0,756.1,759.0,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
26.07.2020 01:20,22.0,756.1,759.0,83,variable wind direction,1,,,,Scattered clouds (40-50%) 600 m,10.0 and more,19.0,
26.07.2020 00:50,22.0,756.1,759.0,83,Wind blowing from the west-southwest,2,,,,Scattered clouds (40-50%) 570 m broken clouds (60-90%) 720 m,10.0 and more,19.0,
26.07.2020 00:20,23.0,756.1,759.0,78,Wind blowing from the west-southwest,1,,,,Few clouds (10-30%) 540 m scattered clouds (40-50%) 720 m,10.0 and more,19.0,
25.07.2020 23:50,23.0,756.1,759.0,78,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 570 m broken clouds (60-90%) 690 m,10.0 and more,19.0,
25.07.2020 23:20,23.0,756.1,759.0,78,variable wind direction,1,,,,Broken clouds (60-90%) 540 m,10.0 and more,19.0,
25.07.2020 22:50,23.0,756.1,759.0,78,Wind blowing from the east-southeast,2,,,,Broken clouds (60-90%) 540 m,10.0 and more,19.0,
25.07.2020 22:20,22.0,756.1,759.0,83,Wind blowing from the east-southeast,2,,,,Scattered clouds (40-50%) 2100 m,10.0 and more,19.0,
25.07.2020 21:50,23.0,756.1,759.0,78,Wind blowing from the south-east,2,,,,Broken clouds (60-90%) 2100 m,10.0 and more,19.0,
25.07.2020 21:20,22.0,756.1,759.0,83,Wind blowing from the west,1,,,,Few clouds (10-30%) 2400 m,10.0 and more,19.0,
25.07.2020 20:50,23.0,756.1,759.0,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 20:20,24.0,756.1,759.0,74,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 19:50,23.0,755.3,758.2,78,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 19:20,24.0,755.3,758.2,74,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 18:50,25.0,755.3,758.2,69,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 18:20,25.0,755.3,758.2,69,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 17:50,26.0,755.3,758.2,65,Wind blowing from the north,5,,,,Few clouds (10-30%) 1110 m,10.0 and more,19.0,
25.07.2020 17:20,27.0,754.9,757.7,62,Wind blowing from the north,5,,,,Few clouds (10-30%) 1110 m,10.0 and more,19.0,
25.07.2020 16:50,28.0,754.9,757.7,55,Wind blowing from the north,6,,,,Few clouds (10-30%) 1170 m,10.0 and more,18.0,
25.07.2020 16:20,29.0,754.9,757.7,43,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,15.0,
25.07.2020 15:50,28.0,754.9,757.7,48,Wind blowing from the north,4,,,,Few clouds (10-30%) 1200 m,10.0 and more,16.0,
25.07.2020 15:20,30.0,754.9,757.7,49,Wind blowing from the north,4,,,,Few clouds (10-30%) 1200 m,10.0 and more,18.0,
25.07.2020 14:50,29.0,754.9,757.7,48,Wind blowing from the north,6,,,,Few clouds (10-30%) 1350 m,10.0 and more,17.0,
25.07.2020 14:20,31.0,754.9,757.7,46,Wind blowing from the north-west,5,,,,Few clouds (10-30%) 1380 m,10.0 and more,18.0,
25.07.2020 13:50,32.0,754.9,757.7,49,Wind blowing from the west-northwest,5,,,,Few clouds (10-30%) 1380 m,10.0 and more,20.0,
25.07.2020 13:20,32.0,754.9,757.7,49,Wind blowing from the north-west,4,,,,Few clouds (10-30%) 1380 m,10.0 and more,20.0,
25.07.2020 12:50,33.0,754.1,756.9,49,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,21.0,
25.07.2020 12:20,32.0,754.1,756.9,46,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 11:50,32.0,754.1,756.9,49,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,20.0,
25.07.2020 11:20,33.0,754.9,757.7,52,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,22.0,
25.07.2020 10:50,31.0,754.9,757.7,52,variable wind direction,2,,,,No Significant Clouds,10.0 and more,20.0,
25.07.2020 10:20,32.0,754.9,757.7,52,variable wind direction,2,,,,No Significant Clouds,10.0 and more,21.0,
25.07.2020 09:50,31.0,754.9,757.7,59,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,22.0,
25.07.2020 09:20,31.0,754.9,757.7,55,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,21.0,
25.07.2020 08:50,28.0,754.9,757.7,58,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 08:20,28.0,754.9,757.7,58,Wind blowing from the north-east,1,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 07:50,27.0,754.9,757.7,62,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 07:20,26.0,754.9,757.7,65,variable wind direction,1,,,,Few clouds (10-30%) 2400 m,10.0 and more,19.0,
25.07.2020 06:50,25.0,754.8,757.7,74,Wind blowing from the north,2,,,,Scattered clouds (40-50%) 2400 m,10.0 and more,20.0,
25.07.2020 06:20,23.0,754.8,757.7,83,Wind blowing from the north-northwest,2,,,,Few clouds (10-30%) 2460 m,10.0 and more,20.0,
25.07.2020 05:50,23.0,754.0,756.9,83,variable wind direction,1,,,,Few clouds (10-30%) 2700 m,10.0 and more,20.0,
25.07.2020 05:20,23.0,754.0,756.9,78,variable wind direction,1,,,,Scattered clouds (40-50%) 2820 m,10.0 and more,19.0,
25.07.2020 04:50,22.0,754.0,756.9,83,Wind blowing from the south-southwest,2,,,,Scattered clouds (40-50%) 2850 m,10.0 and more,19.0,
25.07.2020 04:20,21.0,754.0,756.9,88,variable wind direction,1,,,,Few clouds (10-30%) 2880 m,10.0 and more,19.0,
25.07.2020 03:50,21.0,754.0,756.9,88,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 03:20,21.0,754.0,756.9,88,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
25.07.2020 02:50,22.0,754.0,756.9,88,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,20.0,
25.07.2020 02:20,22.0,754.0,756.9,88,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,20.0,
25.07.2020 01:50,24.0,754.0,756.9,83,Wind blowing from the west,2,,,,Scattered clouds (40-50%) 4800 m,10.0 and more,21.0,
25.07.2020 01:20,24.0,754.8,757.7,78,Wind blowing from the north-east,3,,,,Few clouds (10-30%) 750 m scattered clouds (40-50%) 1740 m,10.0 and more,20.0,
25.07.2020 00:50,22.0,755.3,758.2,83,Wind blowing from the north,3,,,,Few clouds (10-30%) 840 m,10.0 and more,19.0,
25.07.2020 00:20,22.0,755.3,758.2,88,variable wind direction,2,,,,Scattered clouds (40-50%) 2220 m,10.0 and more,20.0,
24.07.2020 23:50,21.0,754.8,757.7,88,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,19.0,
24.07.2020 23:20,22.0,754.8,757.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
24.07.2020 22:50,22.0,754.8,757.7,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 22:20,23.0,754.0,756.9,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 21:50,22.0,754.0,756.9,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 21:20,23.0,754.0,756.9,83,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 20:50,24.0,754.0,756.9,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0,
24.07.2020 20:20,25.0,754.0,756.9,79,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,21.0,
24.07.2020 19:50,25.0,754.0,756.9,74,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 19:20,25.0,754.0,756.9,74,Wind blowing from the north-northwest,1,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 18:50,25.0,753.3,756.2,69,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,19.0,
24.07.2020 18:20,28.0,754.1,756.9,66,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,21.0,
24.07.2020 17:50,30.0,753.4,756.2,59,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,21.0,
24.07.2020 17:20,30.0,754.1,756.9,55,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 16:50,31.0,754.1,756.9,52,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 16:20,32.0,754.1,756.9,49,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 15:50,33.0,754.1,756.9,46,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,20.0,
24.07.2020 15:20,33.0,754.1,756.9,41,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,18.0,
24.07.2020 14:50,34.0,754.1,756.9,34,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 14:20,34.0,754.1,756.9,34,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 13:50,34.0,754.1,756.9,34,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 13:20,34.0,754.1,756.9,34,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 12:50,34.0,754.9,757.7,39,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,18.0,
24.07.2020 12:20,34.0,754.9,757.7,41,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,19.0,
24.07.2020 11:50,33.0,754.9,757.7,41,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,18.0,
24.07.2020 11:20,33.0,754.9,757.7,36,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 10:50,33.0,754.9,757.7,38,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 10:20,32.0,754.9,757.7,43,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,18.0,
24.07.2020 09:50,32.0,754.9,757.7,43,variable wind direction,2,,,,No Significant Clouds,10.0 and more,18.0,
24.07.2020 09:20,31.0,754.9,757.7,43,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 08:50,30.0,754.9,757.7,43,Wind blowing from the south-west,1,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 08:20,28.0,754.9,757.7,48,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 07:50,27.0,754.9,757.7,48,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,15.0,
24.07.2020 07:20,26.0,754.9,757.7,54,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 06:50,24.0,754.8,757.7,65,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 06:20,22.0,754.8,757.7,69,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 05:50,21.0,754.8,757.7,73,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 05:20,19.0,754.8,757.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 04:50,18.0,754.8,757.7,83,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,15.0,
24.07.2020 04:20,18.0,754.8,757.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
24.07.2020 03:50,19.0,754.8,757.7,83,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 03:20,19.0,754.8,757.7,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,15.0,
24.07.2020 02:50,19.0,754.8,757.7,83,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 02:20,19.0,754.8,757.7,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,16.0,
24.07.2020 01:50,19.0,754.8,757.7,88,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 01:20,19.0,754.8,757.7,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 00:50,20.0,754.8,757.7,83,Calm no wind,0,,,,No Significant Clouds,10.0 and more,17.0,
24.07.2020 00:20,20.0,754.8,757.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 23:50,20.0,754.8,757.7,83,Wind blowing from the north-east,1,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 23:20,21.0,754.8,757.7,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 22:50,21.0,754.8,757.7,78,Wind blowing from the south-southwest,2,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 22:20,21.0,754.8,757.7,83,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,18.0,
23.07.2020 21:50,22.0,754.8,757.7,78,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,18.0,
23.07.2020 21:20,23.0,754.8,757.7,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,19.0,
23.07.2020 20:50,22.0,754.8,757.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
23.07.2020 20:20,23.0,754.8,757.7,78,Wind blowing from the east,1,,,,No Significant Clouds,10.0 and more,19.0,
23.07.2020 19:50,24.0,754.8,757.7,69,Calm no wind,0,,,,No Significant Clouds,10.0 and more,18.0,
23.07.2020 19:20,25.0,754.0,756.9,65,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,18.0,
23.07.2020 18:50,26.0,754.1,756.9,61,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
23.07.2020 18:20,27.0,754.9,757.7,54,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 17:50,29.0,754.9,757.7,45,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,16.0,
23.07.2020 17:20,30.0,754.9,757.7,40,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,15.0,
23.07.2020 16:50,31.0,754.1,756.9,40,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,16.0,
23.07.2020 16:20,31.0,754.1,756.9,40,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,16.0,
23.07.2020 15:50,32.0,754.1,756.9,41,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,17.0,
23.07.2020 15:20,34.0,754.9,757.7,41,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,19.0,
23.07.2020 14:50,33.0,754.9,757.7,44,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,19.0,
