,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1748,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3221,-3,-3,-2,-1,-1,1,1,2,3,3,3
3381,-3,-3,-2,-1,-1,1,1,2,3,3,3
3260,-3,-3,-3,-2,-1,-1,1,1,2,3,3
797,1,2,3,3,3,3,2,1,1,-1,-1
252,-3,-2,-1,-1,1,1,2,3,3,3,3
2015,-1,1,1,2,3,3,3,3,2,1,1
988,2,3,3,3,3,2,1,1,-1,-1,-2
1831,-3,-3,-2,-1,-1,1,1,2,3,3,3
551,3,3,2,1,1,-1,-1,-2,-3,-3,-3
157,1,2,3,3,3,3,2,1,1,-1,-1
2188,2,3,3,3,3,2,1,1,-1,-1,-2
2422,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1155,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2858,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1682,-3,-2,-1,-1,1,1,2,3,3,3,3
3472,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1391,-3,-3,-2,-1,-1,1,1,2,3,3,3
95,-1,1,1,2,3,3,3,3,2,1,1
1297,1,2,3,3,3,3,2,1,1,-1,-1
3050,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1046,1,1,2,3,3,3,3,2,1,1,-1
1737,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2509,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1148,2,3,3,3,3,2,1,1,-1,-1,-2
1473,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3060,3,3,3,2,1,1,-1,-1,-2,-3,-3
1161,3,3,2,1,1,-1,-1,-2,-3,-3,-3
82,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
46,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1701,-3,-3,-2,-1,-1,1,1,2,3,3,3
3226,1,1,2,3,3,3,3,2,1,1,-1
377,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2496,1,1,2,3,3,3,3,2,1,1,-1
489,3,3,3,3,2,1,1,-1,-1,-2,-3
2776,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2934,-1,-1,1,1,2,3,3,3,3,2,1
2314,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
608,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2972,-3,-2,-1,-1,1,1,2,3,3,3,3
1438,2,3,3,3,3,2,1,1,-1,-1,-2
928,2,3,3,3,3,2,1,1,-1,-1,-2
1872,-3,-2,-1,-1,1,1,2,3,3,3,3
732,-3,-2,-1,-1,1,1,2,3,3,3,3
1323,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3183,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2930,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2012,-3,-2,-1,-1,1,1,2,3,3,3,3
3368,2,3,3,3,3,2,1,1,-1,-1,-2
566,1,1,2,3,3,3,3,2,1,1,-1
1593,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
69,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
628,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2815,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
969,3,3,3,3,2,1,1,-1,-1,-2,-3
2916,1,1,2,3,3,3,3,2,1,1,-1
68,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2443,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2767,1,2,3,3,3,3,2,1,1,-1,-1
2789,3,3,3,3,2,1,1,-1,-1,-2,-3
2524,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
463,-2,-1,-1,1,1,2,3,3,3,3,2
1270,-3,-3,-3,-2,-1,-1,1,1,2,3,3
553,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1859,3,3,3,3,2,1,1,-1,-1,-2,-3
527,1,2,3,3,3,3,2,1,1,-1,-1
3077,1,2,3,3,3,3,2,1,1,-1,-1
880,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3022,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
357,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2735,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
953,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2008,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2062,-3,-2,-1,-1,1,1,2,3,3,3,3
2378,2,3,3,3,3,2,1,1,-1,-1,-2
1726,1,1,2,3,3,3,3,2,1,1,-1
1324,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
3042,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3460,-3,-3,-3,-2,-1,-1,1,1,2,3,3
317,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2140,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1166,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
3218,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
719,3,3,3,3,2,1,1,-1,-1,-2,-3
199,3,3,3,3,2,1,1,-1,-1,-2,-3
707,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
848,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2075,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
837,1,2,3,3,3,3,2,1,1,-1,-1
2059,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1707,1,2,3,3,3,3,2,1,1,-1,-1
271,-3,-3,-2,-1,-1,1,1,2,3,3,3
381,-3,-3,-2,-1,-1,1,1,2,3,3,3
1678,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
516,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1822,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1888,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2038,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
48,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2484,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2331,-3,-3,-2,-1,-1,1,1,2,3,3,3
2717,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1505,-1,1,1,2,3,3,3,3,2,1,1
25,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2249,3,3,3,3,2,1,1,-1,-1,-2,-3
1092,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
247,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
816,1,1,2,3,3,3,3,2,1,1,-1
2506,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1535,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1251,-3,-3,-2,-1,-1,1,1,2,3,3,3
1387,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
378,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3424,-1,-1,1,1,2,3,3,3,3,2,1
3453,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3334,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
802,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
646,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2656,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1023,-2,-1,-1,1,1,2,3,3,3,3,2
2330,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1820,3,3,3,2,1,1,-1,-1,-2,-3,-3
2993,-2,-1,-1,1,1,2,3,3,3,3,2
6,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2426,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1824,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2547,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2764,-1,-1,1,1,2,3,3,3,3,2,1
2153,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2945,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
972,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1237,1,2,3,3,3,3,2,1,1,-1,-1
499,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
3205,-1,1,1,2,3,3,3,3,2,1,1
2171,3,3,2,1,1,-1,-1,-2,-3,-3,-3
80,3,3,3,2,1,1,-1,-1,-2,-3,-3
2922,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
530,3,3,3,2,1,1,-1,-1,-2,-3,-3
3476,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1112,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1033,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
772,-3,-2,-1,-1,1,1,2,3,3,3,3
1170,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1856,1,1,2,3,3,3,3,2,1,1,-1
1005,-1,1,1,2,3,3,3,3,2,1,1
1751,-3,-3,-2,-1,-1,1,1,2,3,3,3
2553,-2,-1,-1,1,1,2,3,3,3,3,2
591,-3,-3,-2,-1,-1,1,1,2,3,3,3
3359,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2784,-1,-1,1,1,2,3,3,3,3,2,1
351,3,3,2,1,1,-1,-1,-2,-3,-3,-3
425,-1,1,1,2,3,3,3,3,2,1,1
1106,1,1,2,3,3,3,3,2,1,1,-1
1802,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3216,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2332,-3,-2,-1,-1,1,1,2,3,3,3,3
2294,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1559,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2596,1,1,2,3,3,3,3,2,1,1,-1
1150,3,3,3,2,1,1,-1,-1,-2,-3,-3
518,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2897,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1783,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2239,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
559,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1901,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1214,-1,-1,1,1,2,3,3,3,3,2,1
160,3,3,3,2,1,1,-1,-1,-2,-3,-3
1227,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2109,3,3,3,3,2,1,1,-1,-1,-2,-3
883,-2,-1,-1,1,1,2,3,3,3,3,2
1479,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1537,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1896,1,1,2,3,3,3,3,2,1,1,-1
3107,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
511,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2581,3,3,2,1,1,-1,-1,-2,-3,-3,-3
3383,-2,-1,-1,1,1,2,3,3,3,3,2
3132,-3,-2,-1,-1,1,1,2,3,3,3,3
609,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1878,2,3,3,3,3,2,1,1,-1,-1,-2
2494,-1,-1,1,1,2,3,3,3,3,2,1
1117,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2183,-2,-1,-1,1,1,2,3,3,3,3,2
968,2,3,3,3,3,2,1,1,-1,-1,-2
839,3,3,3,3,2,1,1,-1,-1,-2,-3
117,1,2,3,3,3,3,2,1,1,-1,-1
2009,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1426,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1898,2,3,3,3,3,2,1,1,-1,-1,-2
1105,-1,1,1,2,3,3,3,3,2,1,1
1731,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1961,3,3,2,1,1,-1,-1,-2,-3,-3,-3
3232,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2870,3,3,3,2,1,1,-1,-1,-2,-3,-3
913,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1526,1,1,2,3,3,3,3,2,1,1,-1
2154,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2135,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3342,-3,-2,-1,-1,1,1,2,3,3,3,3
2640,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2783,-2,-1,-1,1,1,2,3,3,3,3,2
1643,-2,-1,-1,1,1,2,3,3,3,3,2
358,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1349,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1926,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
755,-1,1,1,2,3,3,3,3,2,1,1
803,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2434,-1,-1,1,1,2,3,3,3,3,2,1
1016,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1441,3,3,2,1,1,-1,-1,-2,-3,-3,-3
817,1,2,3,3,3,3,2,1,1,-1,-1
359,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1343,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2775,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
327,1,2,3,3,3,3,2,1,1,-1,-1
1463,-2,-1,-1,1,1,2,3,3,3,3,2
1457,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1694,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1103,-2,-1,-1,1,1,2,3,3,3,3,2
412,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1763,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2632,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3421,-3,-3,-2,-1,-1,1,1,2,3,3,3
1001,-3,-3,-2,-1,-1,1,1,2,3,3,3
2699,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
3199,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1492,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1826,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1480,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1747,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2060,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1455,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2250,3,3,3,2,1,1,-1,-1,-2,-3,-3
1641,-3,-3,-2,-1,-1,1,1,2,3,3,3
808,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1664,-1,-1,1,1,2,3,3,3,3,2,1
1187,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2552,-3,-2,-1,-1,1,1,2,3,3,3,3
767,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1512,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1855,-1,1,1,2,3,3,3,3,2,1,1
938,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
774,-1,-1,1,1,2,3,3,3,3,2,1
3293,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1755,-1,1,1,2,3,3,3,3,2,1,1
3093,-2,-1,-1,1,1,2,3,3,3,3,2
3175,-1,1,1,2,3,3,3,3,2,1,1
102,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1276,1,1,2,3,3,3,3,2,1,1,-1
1545,-1,1,1,2,3,3,3,3,2,1,1
2830,3,3,3,2,1,1,-1,-1,-2,-3,-3
971,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2318,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
343,-2,-1,-1,1,1,2,3,3,3,3,2
461,-3,-3,-2,-1,-1,1,1,2,3,3,3
1955,-1,1,1,2,3,3,3,3,2,1,1
3162,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
685,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
863,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2145,-1,1,1,2,3,3,3,3,2,1,1
2277,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
486,1,1,2,3,3,3,3,2,1,1,-1
3063,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1429,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
213,-2,-1,-1,1,1,2,3,3,3,3,2
1446,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1996,1,1,2,3,3,3,3,2,1,1,-1
647,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
625,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1965,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1434,-1,-1,1,1,2,3,3,3,3,2,1
400,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2274,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1472,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
215,-1,1,1,2,3,3,3,3,2,1,1
2841,-3,-3,-2,-1,-1,1,1,2,3,3,3
1575,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2852,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3276,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1146,1,1,2,3,3,3,3,2,1,1,-1
136,1,1,2,3,3,3,3,2,1,1,-1
2112,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2981,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2529,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2853,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
338,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3340,-3,-3,-3,-2,-1,-1,1,1,2,3,3
679,3,3,3,3,2,1,1,-1,-1,-2,-3
1287,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1528,2,3,3,3,3,2,1,1,-1,-1,-2
402,-3,-2,-1,-1,1,1,2,3,3,3,3
2526,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
3005,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
952,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3090,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2095,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
374,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2759,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
584,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1651,3,3,2,1,1,-1,-1,-2,-3,-3,-3
964,-1,-1,1,1,2,3,3,3,3,2,1
585,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
678,2,3,3,3,3,2,1,1,-1,-1,-2
29,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2065,-1,1,1,2,3,3,3,3,2,1,1
1621,-3,-3,-2,-1,-1,1,1,2,3,3,3
1122,-3,-2,-1,-1,1,1,2,3,3,3,3
3422,-3,-2,-1,-1,1,1,2,3,3,3,3
2994,-1,-1,1,1,2,3,3,3,3,2,1
138,2,3,3,3,3,2,1,1,-1,-1,-2
1840,3,3,3,2,1,1,-1,-1,-2,-3,-3
866,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2215,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2200,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3206,1,1,2,3,3,3,3,2,1,1,-1
2253,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3181,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2564,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
3,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
578,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2042,-3,-2,-1,-1,1,1,2,3,3,3,3
1196,1,1,2,3,3,3,3,2,1,1,-1
2224,-1,-1,1,1,2,3,3,3,3,2,1
1065,-1,1,1,2,3,3,3,3,2,1,1
2589,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
844,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2338,2,3,3,3,3,2,1,1,-1,-1,-2
2695,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2163,-2,-1,-1,1,1,2,3,3,3,3,2
726,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
81,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2079,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
190,-3,-3,-3,-2,-1,-1,1,1,2,3,3
280,3,3,3,2,1,1,-1,-1,-2,-3,-3
3035,-1,1,1,2,3,3,3,3,2,1,1
1445,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1533,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2558,2,3,3,3,3,2,1,1,-1,-1,-2
2377,1,2,3,3,3,3,2,1,1,-1,-1
1162,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1465,-1,1,1,2,3,3,3,3,2,1,1
3374,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
956,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
3264,-1,-1,1,1,2,3,3,3,3,2,1
857,1,2,3,3,3,3,2,1,1,-1,-1
2689,3,3,3,3,2,1,1,-1,-1,-2,-3
2268,2,3,3,3,3,2,1,1,-1,-1,-2
1267,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1071,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1442,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1027,1,2,3,3,3,3,2,1,1,-1,-1
1004,-1,-1,1,1,2,3,3,3,3,2,1
3315,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1248,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1613,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2995,-1,1,1,2,3,3,3,3,2,1,1
1573,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2480,3,3,3,2,1,1,-1,-1,-2,-3,-3
1294,-1,-1,1,1,2,3,3,3,3,2,1
1376,1,1,2,3,3,3,3,2,1,1,-1
2654,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2058,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2394,-1,-1,1,1,2,3,3,3,3,2,1
3462,-3,-2,-1,-1,1,1,2,3,3,3,3
688,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
903,-2,-1,-1,1,1,2,3,3,3,3,2
1188,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1304,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
3277,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2693,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1470,3,3,3,2,1,1,-1,-1,-2,-3,-3
2136,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1984,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
949,3,3,3,3,2,1,1,-1,-1,-2,-3
1037,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1994,-1,-1,1,1,2,3,3,3,3,2,1
2709,3,3,3,3,2,1,1,-1,-1,-2,-3
2133,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2398,2,3,3,3,3,2,1,1,-1,-1,-2
2246,1,1,2,3,3,3,3,2,1,1,-1
3096,1,1,2,3,3,3,3,2,1,1,-1
407,1,2,3,3,3,3,2,1,1,-1,-1
205,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2851,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1794,-1,-1,1,1,2,3,3,3,3,2,1
1083,-2,-1,-1,1,1,2,3,3,3,3,2
41,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2212,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1024,-1,-1,1,1,2,3,3,3,3,2,1
1931,-3,-3,-2,-1,-1,1,1,2,3,3,3
1990,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1680,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2343,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3002,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2763,-2,-1,-1,1,1,2,3,3,3,3,2
1935,-1,1,1,2,3,3,3,3,2,1,1
636,1,1,2,3,3,3,3,2,1,1,-1
1233,-2,-1,-1,1,1,2,3,3,3,3,2
503,-2,-1,-1,1,1,2,3,3,3,3,2
43,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3079,3,3,3,3,2,1,1,-1,-1,-2,-3
2148,2,3,3,3,3,2,1,1,-1,-1,-2
3271,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1483,-2,-1,-1,1,1,2,3,3,3,3,2
339,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
398,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
206,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2016,1,1,2,3,3,3,3,2,1,1,-1
2574,-1,-1,1,1,2,3,3,3,3,2,1
2937,1,2,3,3,3,3,2,1,1,-1,-1
2029,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1411,-3,-3,-2,-1,-1,1,1,2,3,3,3
717,1,2,3,3,3,3,2,1,1,-1,-1
2261,-3,-3,-2,-1,-1,1,1,2,3,3,3
3357,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
485,-1,1,1,2,3,3,3,3,2,1,1
569,3,3,3,3,2,1,1,-1,-1,-2,-3
2047,1,2,3,3,3,3,2,1,1,-1,-1
1566,1,1,2,3,3,3,3,2,1,1,-1
2067,1,2,3,3,3,3,2,1,1,-1,-1
1846,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
589,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
535,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3369,3,3,3,3,2,1,1,-1,-1,-2,-3
2446,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2997,1,2,3,3,3,3,2,1,1,-1,-1
852,-3,-2,-1,-1,1,1,2,3,3,3,3
3319,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
851,-3,-3,-2,-1,-1,1,1,2,3,3,3
2711,3,3,2,1,1,-1,-1,-2,-3,-3,-3
524,-1,-1,1,1,2,3,3,3,3,2,1
2404,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
832,-3,-2,-1,-1,1,1,2,3,3,3,3
996,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1684,-1,-1,1,1,2,3,3,3,3,2,1
2817,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2973,-2,-1,-1,1,1,2,3,3,3,3,2
2835,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2954,-1,-1,1,1,2,3,3,3,3,2,1
3137,1,2,3,3,3,3,2,1,1,-1,-1
1452,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1913,-2,-1,-1,1,1,2,3,3,3,3,2
1810,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1017,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2455,-1,1,1,2,3,3,3,3,2,1,1
2143,-2,-1,-1,1,1,2,3,3,3,3,2
495,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1174,-1,-1,1,1,2,3,3,3,3,2,1
2838,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2383,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1138,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3040,3,3,3,2,1,1,-1,-1,-2,-3,-3
597,1,2,3,3,3,3,2,1,1,-1,-1
175,-1,1,1,2,3,3,3,3,2,1,1
2649,3,3,3,3,2,1,1,-1,-1,-2,-3
835,-1,1,1,2,3,3,3,3,2,1,1
899,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
132,-3,-2,-1,-1,1,1,2,3,3,3,3
