"# Weather station Chisinau, Moldova, WMO_ID=33815,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=33815&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Chisinau,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.07.2020 02:00,18.9,747.8,761.9,0.5,81,Wind blowing from the south-west,2,,,no clouds, ,,,,,,,,,,20.0,15.5,,,,,,
24.07.2020 23:00,19.7,747.3,761.6,0.5,77,Wind blowing from the south,1,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,15.5,,,,,,
24.07.2020 20:00,22.6,746.8,760.7,0.9,60,Wind blowing from the south-southeast,2,,,70 – 80%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Shower(s).,,27.0,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.5,Trace of precipitation,12,,,,
24.07.2020 17:00,26.7,745.9,760.6,-1.2,44,Wind blowing from the east,2,,,50%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.6,,,,,,
24.07.2020 14:00,25.0,747.1,758.9,0.3,55,Wind blowing from the south-southwest,4,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,15.4,,,,,,
24.07.2020 11:00,25.2,746.8,761.5,-0.5,55,Wind blowing from the north-east,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,15.6,,,,,,
24.07.2020 08:00,19.8,747.3,761.8,0.1,74,Wind blowing from the south-southwest,1,,,50%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,16.3,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,15.0,,,,,,
24.07.2020 05:00,16.9,747.2,761.8,0.4,89,Wind blowing from the east-northeast,1,,,70 – 80%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.1,,,,,,
24.07.2020 02:00,17.8,746.8,761.5,0.4,86,Wind blowing from the east-northeast,3,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,600-1000,,,20.0,15.5,,,,,,
23.07.2020 23:00,21.8,746.4,760.8,0.8,52,Wind blowing from the south-west,3,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,600-1000,,,20.0,11.6,,,,,,
23.07.2020 20:00,24.8,745.6,760.3,-1.2,47,Wind blowing from the south,1,,,100%., ,,,,28.0,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.8,,,,,,
23.07.2020 17:00,27.3,746.8,760.6,-1.2,39,Wind blowing from the south,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.3,,,,,,
23.07.2020 14:00,26.5,748.0,762.0,-1.2,35,Wind blowing from the south-southwest,3,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.6,,,,,,
23.07.2020 11:00,24.6,749.2,763.9,0.0,37,Wind blowing from the south,3,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,9.1,,,,,,
23.07.2020 08:00,20.2,749.2,763.7,-0.4,52,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,16.4,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.1,,,,,,
23.07.2020 05:00,18.2,749.6,764.5,0.3,57,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.4,,,,,,
23.07.2020 02:00,19.5,749.3,764.3,-0.1,52,Wind blowing from the north,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.3,,,,,,
22.07.2020 23:00,21.8,749.4,764.2,0.6,44,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,2000-2500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,8.8,,,,,,
22.07.2020 20:00,23.6,748.8,763.3,0.4,34,Wind blowing from the north,3,,,70 – 80%., ,,,,28.0,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,7.0,,,,,,
22.07.2020 17:00,26.6,748.4,763.3,-0.8,33,Wind blowing from the north-northwest,4,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,9.1,,,,,,
22.07.2020 14:00,27.1,749.2,764.2,-1.2,40,Wind blowing from the north,4,,,100%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.5,,,,,,
22.07.2020 11:00,24.8,750.4,765.1,1.7,50,Wind blowing from the north,3,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,13.5,,,,,,
22.07.2020 08:00,21.7,748.7,763.5,0.5,55,Wind blowing from the north,3,,,70 – 80%., ,,,18.9,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.3,,,,,,
22.07.2020 05:00,19.7,748.2,763.0,0.1,58,Wind blowing from the north-northwest,4,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.2,,,,,,
22.07.2020 02:00,19.8,748.1,763.4,0.5,57,Wind blowing from the north-northwest,3,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.1,,,,,,
21.07.2020 23:00,22.7,747.6,762.3,-0.8,58,Wind blowing from the north-northwest,3,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.0,,,,,,
21.07.2020 20:00,24.1,748.4,763.1,0.9,55,Wind blowing from the north-west,3,,,70 – 80%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,29.9,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,14.6,Trace of precipitation,12,,,,
21.07.2020 17:00,28.6,747.5,762.1,-0.7,36,Wind blowing from the west-northwest,5,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.0,,,,,,
21.07.2020 14:00,29.0,748.2,762.7,-0.6,37,Wind blowing from the north-west,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.7,,,,,,
21.07.2020 11:00,26.6,748.8,763.0,0.3,42,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,12.8,,,,,,
21.07.2020 08:00,21.4,748.5,763.1,-0.3,67,Wind blowing from the north,4,,,20–30%., ,,,17.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.9,,,,,,
21.07.2020 05:00,18.3,748.8,763.5,1.0,77,Wind blowing from the north-northwest,4,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.2,,,,,,
21.07.2020 02:00,18.7,747.8,763.0,-0.3,75,Wind blowing from the north-northwest,4,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.1,,,,,,
20.07.2020 23:00,19.1,748.1,762.8,1.1,73,Wind blowing from the west-northwest,1,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.1,,,,,,
20.07.2020 20:00,20.6,747.0,761.5,0.1,68,Wind blowing from the north-northwest,1,,,100%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,24.3,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.4,,,,,,
20.07.2020 17:00,22.8,746.9,761.3,2.0,59,Wind blowing from the east,4,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.3,,,,,,
20.07.2020 14:00,22.6,744.9,759.5,-1.6,58,Wind blowing from the north-west,5,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.9,,,,,,
20.07.2020 11:00,20.6,746.5,761.1,0.8,72,Wind blowing from the west,4,,,100%.,"Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,10.0,15.3,,,,,,
20.07.2020 08:00,21.4,745.7,760.4,0.4,62,Wind blowing from the north-east,2,,,100%., ,,,19.0,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%",2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,13.9,,,,,,
20.07.2020 05:00,19.0,745.3,760.4,-1.1,71,Wind blowing from the north-northeast,2,,,100%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,13.5,,,,,,
20.07.2020 02:00,20.1,746.4,760.9,0.2,66,Wind blowing from the north,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,13.6,,,,,,
19.07.2020 23:00,21.4,746.2,760.9,0.6,63,Wind blowing from the north,4,,,70 – 80%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.1,,,,,,
19.07.2020 20:00,22.5,745.6,760.9,-1.0,58,Wind blowing from the north,5,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,27.2,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.7,0.4,12,,,,
19.07.2020 17:00,22.1,746.6,761.1,-1.0,65,Wind blowing from the north,4,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.3,,,,,,
19.07.2020 14:00,26.7,747.6,761.2,0.4,37,Wind blowing from the south-east,3,,,100%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,11.0,,,,,,
19.07.2020 11:00,26.4,747.2,762.0,-0.8,50,Wind blowing from the east-southeast,2,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,15.1,,,,,,
19.07.2020 08:00,21.5,748.0,762.7,0.0,56,Wind blowing from the east-northeast,3,,,100%., ,,,20.2,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.4,,,,,,
19.07.2020 05:00,20.8,748.0,762.2,0.3,51,Wind blowing from the east-northeast,2,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.3,,,,,,
19.07.2020 02:00,22.5,747.7,762.4,-0.3,45,Wind blowing from the east-northeast,2,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.9,,,,,,
18.07.2020 23:00,23.3,748.0,757.8,1.3,42,Wind blowing from the north-east,1,,,70 – 80%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.6,,,,,,
18.07.2020 20:00,25.5,746.7,761.2,0.4,38,Wind blowing from the east-northeast,2,,,"90  or more, but not 100%", ,,,,28.6,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.1,,,,,,
18.07.2020 17:00,27.8,746.3,760.8,-1.2,28,Wind blowing from the east-northeast,2,,,100%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,7.9,,,,,,
18.07.2020 14:00,28.0,747.5,761.8,-0.8,32,Wind blowing from the east,4,,,100%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,9.6,,,,,,
18.07.2020 11:00,26.1,748.3,762.4,0.3,42,Wind blowing from the east,2,,,100%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.1,,,,,,
18.07.2020 08:00,21.2,748.0,762.5,0.0,52,Wind blowing from the north-east,2,,,70 – 80%., ,,,19.2,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.9,,,,,,
18.07.2020 05:00,19.4,748.0,762.0,1.2,49,Wind blowing from the east,2,,,70 – 80%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.3,,,,,,
18.07.2020 02:00,20.7,746.8,761.5,0.0,55,Wind blowing from the east,2,,,70 – 80%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.2,,,,,,
17.07.2020 23:00,22.7,746.8,761.0,1.2,47,Wind blowing from the east-southeast,1,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.7,,,,,,
17.07.2020 20:00,25.0,745.6,759.6,0.6,43,Wind blowing from the north-northeast,1,,,"90  or more, but not 100%", ,,,,27.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.4,,,,,,
17.07.2020 17:00,27.8,745.0,759.6,-1.1,32,Wind blowing from the east-northeast,1,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.6,,,,,,
17.07.2020 14:00,26.5,746.1,759.8,-0.5,34,Wind blowing from the east-southeast,1,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.4,,,,,,
17.07.2020 11:00,24.2,746.6,760.2,1.0,48,Wind blowing from the east,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.5,,,,,,
17.07.2020 08:00,19.7,745.6,760.3,0.7,65,Wind blowing from the north,1,,,20–30%., ,,,15.0,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.8,,,,,,
17.07.2020 05:00,15.1,744.9,760.2,-0.5,91,Wind blowing from the north-northeast,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,13.7,,,,,,
17.07.2020 02:00,16.5,745.4,759.8,0.1,84,Wind blowing from the north-northwest,2,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,13.8,,,,,,
16.07.2020 23:00,18.8,745.3,760.4,0.2,67,Wind blowing from the north-west,2,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.6,,,,,,
16.07.2020 20:00,17.3,745.1,759.7,0.1,85,Wind blowing from the south-southeast,2,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Shower(s).,,26.0,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.7,5,12,,,,
16.07.2020 17:00,17.5,745.0,759.8,0.2,79,Wind blowing from the west-northwest,4,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.7,,,,,,
16.07.2020 14:00,25.0,744.8,759.6,-1.2,43,Wind blowing from the north-northwest,3,,,100%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.6,,,,,,
16.07.2020 11:00,23.7,746.0,760.6,-0.7,48,Wind blowing from the south,2,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.0,,,,,,
