"# Weather station Rome / Fiumicino (airport), Italy, METAR=LIRF,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LIRF&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Rome / Fiumicino (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
19.08.2020 21:20,25.0,757.5,757.7,74,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 20:50,26.0,757.5,757.7,70,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 20:20,26.0,757.5,757.7,70,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 19:50,26.0,757.5,757.7,65,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 19:20,26.0,757.5,757.7,70,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 18:50,27.0,757.5,757.7,66,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 18:20,27.0,757.5,757.7,66,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 17:50,28.0,756.7,756.9,62,Wind blowing from the west-northwest,7,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 17:20,28.0,757.5,757.7,62,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 16:50,28.0,757.5,757.7,58,Wind blowing from the west-northwest,7,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 16:20,29.0,757.5,757.7,55,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 15:50,29.0,757.5,757.7,55,Wind blowing from the west,8,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 15:20,29.0,757.5,757.7,55,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 14:50,30.0,757.5,757.7,49,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,18.0
19.08.2020 14:20,30.0,757.5,757.7,49,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,18.0
19.08.2020 13:50,30.0,757.5,757.7,46,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 13:20,30.0,757.5,757.7,46,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 12:50,31.0,757.5,757.7,40,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 12:20,31.0,757.5,757.7,43,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 11:50,30.0,757.5,757.7,49,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,18.0
19.08.2020 11:20,32.0,757.5,757.7,38,variable wind direction,3,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 10:50,31.0,757.5,757.7,35,variable wind direction,4,,,,No Significant Clouds,10.0 and more,14.0
19.08.2020 10:20,30.0,758.0,758.2,40,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,15.0
19.08.2020 09:50,30.0,758.0,758.2,43,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 09:20,29.0,758.0,758.2,43,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,15.0
19.08.2020 08:50,27.0,758.0,758.2,51,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 08:20,27.0,758.0,758.2,51,Wind blowing from the north-northeast,4,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 07:50,24.0,758.0,758.2,61,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 07:20,23.0,758.0,758.2,65,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 06:50,21.0,758.0,758.2,78,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 06:20,19.0,758.0,758.2,88,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 05:50,18.0,757.5,757.7,88,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 05:20,19.0,757.5,757.7,88,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 04:50,19.0,757.5,757.7,88,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 04:20,19.0,757.5,757.7,83,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,16.0
19.08.2020 03:50,19.0,757.5,757.7,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 03:20,20.0,757.5,757.7,83,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,17.0
19.08.2020 02:50,20.0,757.5,757.7,94,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 02:20,21.0,757.5,757.7,88,Wind blowing from the north-northwest,1,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 01:50,21.0,757.5,757.7,88,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,19.0
19.08.2020 01:20,22.0,758.0,758.2,88,Wind blowing from the north-northwest,1,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 00:50,23.0,758.0,758.2,83,Wind blowing from the north-northwest,1,,,,No Significant Clouds,10.0 and more,20.0
19.08.2020 00:20,23.0,758.0,758.2,83,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 23:50,23.0,758.0,758.2,83,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 23:20,25.0,758.0,758.2,79,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 22:50,24.0,758.0,758.2,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 22:20,25.0,758.0,758.2,83,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 21:50,25.0,758.0,758.2,74,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 21:20,25.0,758.0,758.2,69,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0
18.08.2020 20:50,25.0,758.0,758.2,74,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 20:20,26.0,757.5,757.7,79,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 19:50,26.0,757.5,757.7,74,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 19:20,26.0,757.5,757.7,79,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 18:50,27.0,757.5,757.7,70,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 18:20,27.0,757.5,757.7,70,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 17:50,28.0,757.5,757.7,62,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 17:20,28.0,757.5,757.7,62,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 16:50,28.0,757.5,757.7,62,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,20.0
18.08.2020 16:20,29.0,757.5,757.7,62,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 15:50,29.0,757.5,757.7,62,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 15:20,29.0,757.5,757.7,62,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 14:50,29.0,757.5,757.7,62,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 14:20,29.0,757.5,757.7,62,Wind blowing from the west-southwest,7,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 13:50,29.0,757.5,757.7,62,Wind blowing from the west-southwest,7,,,,Few clouds (10-30%) 900 m,10.0 and more,21.0
18.08.2020 13:20,29.0,757.5,757.7,66,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
18.08.2020 12:50,29.0,758.0,758.2,62,Wind blowing from the west-southwest,6,,,,Few clouds (10-30%) 900 m,10.0 and more,21.0
18.08.2020 12:20,29.0,758.0,758.2,62,Wind blowing from the west-southwest,5,,,,Few clouds (10-30%) 900 m,10.0 and more,21.0
18.08.2020 11:50,29.0,758.0,758.2,58,Wind blowing from the west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,20.0
18.08.2020 11:20,30.0,758.0,758.2,55,Wind blowing from the west-southwest,5,,,,Few clouds (10-30%) 900 m,10.0 and more,20.0
18.08.2020 10:50,29.0,758.0,758.2,62,Wind blowing from the south-west,4,,,,Few clouds (10-30%) 1050 m,10.0 and more,21.0
18.08.2020 10:20,29.0,758.0,758.2,62,Wind blowing from the south-west,3,,,,Few clouds (10-30%) 600 m,10.0 and more,21.0
18.08.2020 09:50,28.0,758.0,758.2,66,variable wind direction,2,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 09:20,27.0,758.0,758.2,70,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 08:50,27.0,758.0,758.2,70,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 08:20,25.0,758.0,758.2,79,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 07:50,24.0,758.0,758.2,89,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 07:20,23.0,758.0,758.2,94,Wind blowing from the north,1,,,,No Significant Clouds,8,22.0
18.08.2020 06:50,22.0,757.5,757.7,100,variable wind direction,1,,,,No Significant Clouds,7,22.0
18.08.2020 06:20,22.0,758.0,758.2,94,Wind blowing from the north-east,2,,,,No Significant Clouds,7,21.0
18.08.2020 05:50,21.0,758.0,758.2,100,variable wind direction,1,,,,No Significant Clouds,6,21.0
18.08.2020 05:20,21.0,758.0,758.2,94,Wind blowing from the north-northeast,2,,,,No Significant Clouds,6,20.0
18.08.2020 04:50,21.0,758.0,758.2,100,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,21.0
18.08.2020 04:20,21.0,758.0,758.2,94,Wind blowing from the north,2,,,,No Significant Clouds,8,20.0
18.08.2020 03:50,21.0,758.0,758.2,100,Wind blowing from the north,2,,,,Scattered clouds (40-50%) 450 m,10.0 and more,21.0
18.08.2020 03:20,21.0,758.0,758.2,100,Wind blowing from the north,1,,,,Few clouds (10-30%) 450 m,10.0 and more,21.0
18.08.2020 02:50,22.0,758.0,758.2,100,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 02:20,23.0,758.0,758.2,94,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 01:50,23.0,758.0,758.2,94,Wind blowing from the east,2,,,,Scattered clouds (40-50%) 450 m,10.0 and more,22.0
18.08.2020 01:20,23.0,758.0,758.2,94,Wind blowing from the east-northeast,2,,,,Scattered clouds (40-50%) 390 m,10.0 and more,22.0
18.08.2020 00:50,24.0,758.0,758.2,89,variable wind direction,1,,,,No Significant Clouds,10.0 and more,22.0
18.08.2020 00:20,24.0,758.8,759.0,94,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 23:50,25.0,758.8,759.0,89,Wind blowing from the west,2,,,,Few clouds (10-30%) 450 m,10.0 and more,23.0
17.08.2020 23:20,24.0,758.8,759.0,94,Wind blowing from the west-southwest,2,,,,Scattered clouds (40-50%) 450 m,10.0 and more,23.0
17.08.2020 22:50,24.0,758.8,759.0,94,Wind blowing from the west-southwest,2,,,,Scattered clouds (40-50%) 360 m,10.0 and more,23.0
17.08.2020 22:20,25.0,758.8,759.0,89,Wind blowing from the west-northwest,2,,,,Scattered clouds (40-50%) 450 m,10.0 and more,23.0
17.08.2020 21:50,24.0,758.8,759.0,94,Wind blowing from the west-northwest,1,,,,Scattered clouds (40-50%) 450 m,10.0 and more,23.0
17.08.2020 21:20,25.0,758.8,759.0,89,Wind blowing from the west,2,,,,Scattered clouds (40-50%) 450 m,10.0 and more,23.0
17.08.2020 20:50,25.0,758.0,758.2,89,variable wind direction,1,,,,Scattered clouds (40-50%) 300 m,10.0 and more,23.0
17.08.2020 20:20,26.0,758.0,758.2,84,Wind blowing from the west,3,,,,Scattered clouds (40-50%) 300 m,10.0 and more,23.0
17.08.2020 19:50,26.0,758.0,758.2,84,Wind blowing from the west,4,,,,Scattered clouds (40-50%) 300 m,10.0 and more,23.0
17.08.2020 19:20,26.0,758.0,758.2,89,Wind blowing from the west-southwest,3,,,,Scattered clouds (40-50%) 300 m,10.0 and more,24.0
17.08.2020 18:50,26.0,757.5,757.7,84,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 18:20,27.0,757.5,757.7,74,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 17:50,27.0,757.5,757.7,74,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 17:20,28.0,757.5,757.7,70,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 16:50,28.0,758.0,758.2,74,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 16:20,28.0,757.5,757.7,74,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 15:50,28.0,758.0,758.2,70,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 15:20,28.0,758.0,758.2,74,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 14:50,29.0,758.0,758.2,66,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 14:20,29.0,758.0,758.2,70,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,23.0
17.08.2020 13:50,30.0,758.0,758.2,66,Wind blowing from the south-west,5,,,,Few clouds (10-30%) 600 m,10.0 and more,23.0
17.08.2020 13:20,30.0,758.8,759.0,62,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,22.0
17.08.2020 12:50,30.0,758.0,758.2,55,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 12:20,30.0,758.0,758.2,59,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,21.0
17.08.2020 11:50,31.0,758.0,758.2,55,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,21.0
17.08.2020 11:20,30.0,758.0,758.2,55,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 10:50,30.0,758.0,758.2,52,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 10:20,29.0,758.0,758.2,58,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 09:50,30.0,758.8,759.0,52,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 09:20,29.0,758.0,758.2,58,variable wind direction,2,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 08:50,28.0,758.0,758.2,62,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 08:20,27.0,758.0,758.2,66,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 07:50,26.0,758.0,758.2,70,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 07:20,25.0,758.0,758.2,69,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 06:50,23.0,758.0,758.2,78,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 06:20,21.0,758.0,758.2,88,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 05:50,20.0,758.0,758.2,94,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 05:20,20.0,758.0,758.2,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 04:50,20.0,758.0,758.2,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 04:20,20.0,758.0,758.2,94,Wind blowing from the east-northeast,1,,,,Few clouds (10-30%) 450 m,8,19.0
17.08.2020 03:50,20.0,758.0,758.2,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 03:20,20.0,758.0,758.2,94,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 02:50,21.0,758.0,758.2,88,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 02:20,21.0,758.0,758.2,94,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 01:50,21.0,758.0,758.2,88,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
17.08.2020 01:20,21.0,758.0,758.2,94,Wind blowing from the east,1,,,,No Significant Clouds,10.0 and more,20.0
17.08.2020 00:50,21.0,758.0,758.2,94,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 23:50,22.0,758.0,758.2,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 23:20,23.0,758.0,758.2,89,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 22:50,22.0,758.0,758.2,94,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 22:20,22.0,758.0,758.2,88,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 21:50,23.0,758.0,758.2,83,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 21:20,24.0,758.0,758.2,78,Wind blowing from the north-east,1,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 20:50,25.0,758.0,758.2,79,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 20:20,26.0,758.0,758.2,70,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 19:50,26.0,758.0,758.2,74,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 18:50,27.0,758.0,758.2,70,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 18:20,28.0,758.0,758.2,70,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,22.0
16.08.2020 17:50,28.0,758.0,758.2,70,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,22.0
16.08.2020 16:20,29.0,758.0,758.2,62,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 15:50,30.0,758.0,758.2,52,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,19.0
16.08.2020 15:20,30.0,758.0,758.2,52,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,19.0
16.08.2020 14:50,30.0,758.0,758.2,52,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,19.0
16.08.2020 14:20,30.0,758.0,758.2,55,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 13:50,31.0,758.0,758.2,52,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,20.0
16.08.2020 13:20,31.0,758.8,759.0,55,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 12:50,31.0,758.8,759.0,55,Wind blowing from the south-southwest,5,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 12:20,31.0,758.8,759.0,55,Wind blowing from the south-southwest,6,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 11:50,31.0,758.8,759.0,49,Wind blowing from the south-southwest,6,,,,No Significant Clouds,10.0 and more,19.0
16.08.2020 11:20,31.0,758.8,759.0,55,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,21.0
16.08.2020 10:50,32.0,758.8,759.0,55,Wind blowing from the south-southwest,5,,,,No Significant Clouds,10.0 and more,22.0
16.08.2020 10:20,32.0,758.8,759.0,41,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 09:50,31.0,758.8,759.0,46,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 09:20,30.0,758.8,759.0,49,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 08:50,29.0,758.8,759.0,51,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 08:20,27.0,758.8,759.0,58,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 07:50,25.0,758.8,759.0,65,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 07:20,24.0,758.8,759.0,69,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 06:50,21.0,758.8,759.0,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0
16.08.2020 06:20,19.0,758.0,758.2,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0
16.08.2020 05:50,18.0,758.0,758.2,94,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 05:20,19.0,758.0,758.2,88,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 04:50,19.0,758.0,758.2,88,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 04:20,19.0,758.0,758.2,88,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 03:50,19.0,758.0,758.2,83,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,16.0
16.08.2020 03:20,19.0,758.0,758.2,83,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,16.0
16.08.2020 02:50,20.0,758.0,758.2,83,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 02:20,21.0,758.0,758.2,78,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 01:50,22.0,758.0,758.2,73,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 01:20,23.0,758.0,758.2,69,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,17.0
16.08.2020 00:50,22.0,758.0,758.2,78,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,18.0
15.08.2020 23:50,23.0,758.8,759.0,74,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,18.0
15.08.2020 22:50,25.0,758.8,759.0,79,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,21.0
15.08.2020 22:20,25.0,758.8,759.0,79,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,21.0
15.08.2020 21:50,25.0,758.8,759.0,79,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,21.0
15.08.2020 21:20,25.0,758.0,758.2,83,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,22.0
15.08.2020 20:50,26.0,758.0,758.2,79,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,22.0
15.08.2020 20:20,26.0,758.0,758.2,89,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,24.0
15.08.2020 19:50,26.0,758.0,758.2,89,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,24.0
15.08.2020 19:20,26.0,758.0,758.2,84,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 18:50,27.0,758.0,758.2,74,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,22.0
15.08.2020 18:20,27.0,758.0,758.2,70,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,21.0
15.08.2020 17:50,28.0,758.0,758.2,70,Wind blowing from the west,5,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
15.08.2020 17:20,28.0,758.0,758.2,70,Wind blowing from the west,5,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
15.08.2020 16:50,28.0,758.0,758.2,70,Wind blowing from the west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
15.08.2020 16:20,29.0,758.0,758.2,70,Wind blowing from the west,6,,,,"Few clouds (10-30%) 600 m, cumulus congestus of great vertical extent",10.0 and more,23.0
15.08.2020 15:50,29.0,758.0,758.2,62,Wind blowing from the west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,21.0
15.08.2020 15:20,29.0,758.0,758.2,70,Wind blowing from the west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,23.0
15.08.2020 14:50,29.0,758.0,758.2,66,Wind blowing from the west,7,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
15.08.2020 14:20,29.0,758.0,758.2,66,Wind blowing from the west,6,,,,Few clouds (10-30%) 900 m,10.0 and more,22.0
15.08.2020 13:50,30.0,758.8,759.0,66,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 13:20,30.0,758.8,759.0,66,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 12:50,31.0,758.0,758.2,59,Wind blowing from the west-southwest,7,,,,No Significant Clouds,10.0 and more,22.0
15.08.2020 12:20,30.0,758.0,758.2,62,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,22.0
15.08.2020 11:50,30.0,758.8,759.0,66,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 11:20,31.0,758.8,759.0,62,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 10:50,30.0,758.8,759.0,66,variable wind direction,2,,,,No Significant Clouds,10.0 and more,23.0
15.08.2020 10:20,30.0,758.8,759.0,66,Wind blowing from the west,3,,,,Few clouds (10-30%) 750 m,10.0 and more,23.0
15.08.2020 09:50,28.0,758.8,759.0,74,Wind blowing from the west,3,,,,Few clouds (10-30%) 600 m,10.0 and more,23.0
15.08.2020 09:20,29.0,758.8,759.0,74,Wind blowing from the west,2,,,,Few clouds (10-30%) 600 m,10.0 and more,24.0
15.08.2020 08:50,28.0,758.8,759.0,74,variable wind direction,1,,,,Scattered clouds (40-50%) 450 m,10.0 and more,23.0
15.08.2020 08:20,26.0,758.8,759.0,89,variable wind direction,1,,,,Scattered clouds (40-50%) 300 m,6,24.0
15.08.2020 07:50,25.0,758.8,759.0,94,Wind blowing from the west,2,,Patches fog,,Scattered clouds (40-50%) 300 m,4,24.0
15.08.2020 07:20,24.0,758.8,759.0,100,variable wind direction,1,,Patches fog,,Broken clouds (60-90%) 60 m,2.5,24.0
15.08.2020 06:50,23.0,758.8,759.0,100,variable wind direction,1,,Patches fog,,Broken clouds (60-90%) 60 m,2,23.0
15.08.2020 06:20,23.0,758.8,759.0,94,Wind blowing from the east-northeast,2,,Patches fog,,No Significant Clouds,2.2,22.0
15.08.2020 05:50,22.0,758.8,759.0,94,Wind blowing from the east,1,,Patches fog,,No Significant Clouds,3.5,21.0
