"# Weather station Ljubljana, Slovenia, WMO_ID=14015,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=14015&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Ljubljana,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.07.2020 04:00,19.7,738.2,763.9,-0.2,92,Wind blowing from the west,1,,,40%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",Thunderstorm(s) with or without precipitation.,Shower(s).,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,100-200,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",6.0,18.3,,,,,,
30.07.2020 03:00,20.2,738.0,763.7,,92,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,18.9,,,,,,
30.07.2020 02:00,20.4,738.1,763.8,,93,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,19.2,,,,,,
30.07.2020 01:00,20.4,738.4,764.2,-0.8,92,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,19.0,,,,,,
30.07.2020 00:00,20.6,738.9,764.6,,91,Wind blowing from the west,1,,,, ,,,,,,,,,,,19.0,,,,,,
29.07.2020 23:00,20.7,739.1,764.8,,92,Wind blowing from the north-northwest,0,,,, ,,,,,,,,,,,19.4,,,,,,
29.07.2020 22:00,20.6,739.2,764.9,3.5,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,19.0,,,,,,
29.07.2020 21:00,23.9,737.8,763.2,,70,Wind blowing from the north-northwest,4,,,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ",,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,18.0,,,,,,
29.07.2020 20:00,28.2,736.1,761.0,,62,Wind blowing from the east,2,,,70 – 80%.,"Thunderstorm, but no precipitation at the time of observation. ",,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,20.2,,,,,,
29.07.2020 19:00,28.9,735.7,760.5,-0.1,61,Wind blowing from the east-southeast,2,,,70 – 80%.,"Thunderstorm, but no precipitation at the time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,32.1,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,20.6,No precipitation,12,,,,
29.07.2020 18:00,29.9,735.7,760.4,,57,Wind blowing from the south-east,2,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,20.6,,,,,,
29.07.2020 17:00,31.2,735.6,760.3,,55,Wind blowing from the south-east,3,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,21.1,,,,,,
29.07.2020 16:00,31.3,735.8,760.5,-0.8,51,Wind blowing from the south-east,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,20.1,,,,,,
29.07.2020 15:00,31.5,736.0,760.7,,50,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,19.9,,,,,,
29.07.2020 14:00,30.9,736.3,761.0,,52,Wind blowing from the south-east,1,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,19.9,,,,,,
29.07.2020 13:00,30.6,736.6,761.3,-0.4,52,Wind blowing from the east-southeast,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,19.8,No precipitation,6,,,,
29.07.2020 12:00,30.2,736.7,761.5,,53,Wind blowing from the east,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,19.5,,,,,,
29.07.2020 11:00,29.2,736.9,761.8,,54,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,18.9,,,,,,
29.07.2020 10:00,28.1,737.0,762.0,0.2,56,Wind blowing from the east-northeast,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",50.0,18.4,,,,,,
29.07.2020 09:00,26.9,737.1,762.2,,62,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",50.0,18.9,,,,,,
29.07.2020 08:00,24.0,736.9,762.2,,69,Wind blowing from the south-southwest,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",50.0,17.9,,,,,,
29.07.2020 07:00,22.8,736.8,762.2,1.1,73,Wind blowing from the north,1,,,"10%  or less, but not 0", ,,,20.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",50.0,17.6,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,16.0,,
29.07.2020 06:00,21.2,736.5,762.1,,79,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40.0,17.4,,,,,,
29.07.2020 05:00,20.2,736.0,761.7,,87,"Calm, no wind",0,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,Altocumulus translucidus at a single level.,Cirrostratus not progressively invading the sky and not entirely covering it.,40.0,18.0,,,,,,
29.07.2020 04:00,20.6,735.7,761.2,0.6,87,Wind blowing from the north-northeast,0,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,Cirrostratus not progressively invading the sky and not entirely covering it.,40.0,18.3,,,,,,
29.07.2020 03:00,21.1,735.4,761.0,,82,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,17.9,,,,,,
29.07.2020 02:00,21.6,735.2,760.7,,80,Wind blowing from the east,1,,,, ,,,,,,,,,,,18.0,,,,,,
29.07.2020 01:00,22.6,735.1,760.5,-0.1,76,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,18.2,,,,,,
29.07.2020 00:00,23.2,734.7,760.0,,70,Wind blowing from the south,1,,,, ,,,,,,,,,,,17.3,,,,,,
28.07.2020 23:00,24.4,735.3,760.6,,64,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,17.2,,,,,,
28.07.2020 22:00,25.3,735.2,760.4,1.0,62,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,17.6,,,,,,
28.07.2020 21:00,26.7,735.4,760.4,,59,Wind blowing from the south-west,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",40.0,18.0,,,,,,
28.07.2020 20:00,27.8,734.5,759.5,,56,Wind blowing from the south-west,2,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,18.2,,,,,,
28.07.2020 19:00,29.5,734.2,758.9,-0.3,53,Wind blowing from the south-west,2,,,"10%  or less, but not 0", ,,,,33.4,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40.0,18.8,No precipitation,12,,,,
28.07.2020 18:00,31.4,734.2,758.8,,45,Wind blowing from the west-southwest,4,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",50.0,18.1,,,,,,
28.07.2020 17:00,32.1,734.5,759.1,,44,Wind blowing from the west-southwest,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",40.0,18.3,,,,,,
28.07.2020 16:00,32.9,734.5,759.1,,40,Wind blowing from the south-west,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",50.0,17.6,,,,,,
28.07.2020 15:00,33.0,734.7,759.2,,40,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,17.6,,,,,,
28.07.2020 14:00,32.5,734.8,759.4,,43,Wind blowing from the west-southwest,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,18.2,,,,,,
28.07.2020 13:00,31.9,735.1,759.7,-1.0,43,Wind blowing from the south-west,3,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,17.8,No precipitation,6,,,,
28.07.2020 12:00,30.5,735.5,760.3,,53,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,19.8,,,,,,
28.07.2020 11:00,29.2,736.0,760.9,,54,Wind blowing from the north-west,1,,,no clouds, ,,,,,,,,,,50.0,18.9,,,,,,
28.07.2020 10:00,27.1,736.1,761.2,-0.5,56,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,50.0,17.5,,,,,,
28.07.2020 09:00,25.0,736.3,761.6,,64,Wind blowing from the north-northeast,1,,,no clouds, ,,,,,,,,,,50.0,17.7,,,,,,
28.07.2020 08:00,22.8,736.6,762.0,,73,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,50.0,17.6,,,,,,
28.07.2020 07:00,20.8,736.6,762.3,0.2,80,Wind blowing from the east-northeast,1,,,no clouds, ,,,18.1,,,,,,,50.0,17.3,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,14.0,,
28.07.2020 06:00,19.2,736.7,762.5,,84,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,50.0,16.5,,,,,,
28.07.2020 05:00,18.1,736.6,762.4,,87,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,50.0,15.9,,,,,,
28.07.2020 04:00,18.5,736.4,762.2,-0.2,86,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,50.0,16.1,,,,,,
28.07.2020 03:00,19.0,736.4,762.2,,87,Wind blowing from the north,0,,,, ,,,,,,,,,,,16.7,,,,,,
28.07.2020 02:00,19.7,736.5,762.2,,83,Wind blowing from the west-northwest,0,,,, ,,,,,,,,,,,16.8,,,,,,
28.07.2020 01:00,20.3,736.6,762.2,-0.1,81,Wind blowing from the west,0,,,, ,,,,,,,,,,,17.0,,,,,,
28.07.2020 00:00,21.1,736.7,762.3,,79,Wind blowing from the west-northwest,0,,,, ,,,,,,,,,,,17.3,,,,,,
27.07.2020 23:00,22.0,736.7,762.2,,78,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,17.9,,,,,,
27.07.2020 22:00,23.1,736.7,762.1,0.6,71,Wind blowing from the west,1,,,, ,,,,,,,,,,,17.6,,,,,,
27.07.2020 21:00,24.7,736.7,762.0,,66,Wind blowing from the south-west,1,,,no clouds, ,,,,,,,,,,40.0,17.8,,,,,,
27.07.2020 20:00,26.0,736.4,761.5,,61,Wind blowing from the south-west,1,,,no clouds, ,,,,,,,,,,40.0,18.0,,,,,,
27.07.2020 19:00,27.5,736.1,761.2,-0.2,54,Wind blowing from the south-southeast,2,,,"10%  or less, but not 0", ,,,,30.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,17.5,No precipitation,12,,,,
27.07.2020 18:00,29.0,736.0,760.9,,51,Wind blowing from the south-southeast,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,17.8,,,,,,
27.07.2020 17:00,29.6,736.1,760.9,,48,Wind blowing from the south,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,17.3,,,,,,
27.07.2020 16:00,30.0,736.3,761.2,-1.2,44,Wind blowing from the south-southwest,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,16.6,,,,,,
27.07.2020 15:00,29.9,736.6,761.5,,46,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,17.1,,,,,,
27.07.2020 14:00,29.0,737.2,762.1,,47,Wind blowing from the north-east,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,16.7,,,,,,
27.07.2020 13:00,28.5,737.5,762.5,-1.1,49,Wind blowing from the north-northeast,2,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,16.8,No precipitation,6,,,,
27.07.2020 12:00,27.4,737.8,763.0,,49,Wind blowing from the east-southeast,2,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,15.9,,,,,,
27.07.2020 11:00,26.8,738.4,763.6,,52,Wind blowing from the east-southeast,1,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,16.2,,,,,,
27.07.2020 10:00,24.9,738.6,763.9,-0.2,62,Wind blowing from the north,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,17.1,,,,,,
27.07.2020 09:00,23.0,738.8,764.3,,67,Wind blowing from the north-east,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,,"No Cirrus, Cirrocumulus or Cirrostratus.",50.0,16.5,,,,,,
27.07.2020 08:00,21.2,738.9,764.6,,70,Wind blowing from the north-northwest,0,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",2000-2500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,15.5,,,,,,
27.07.2020 07:00,20.1,738.8,764.6,,75,Wind blowing from the north-west,0,,,no clouds, ,,,17.2,,,,,,,50.0,15.6,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,13.0,,
27.07.2020 06:00,18.1,738.4,764.3,,81,Wind blowing from the south-west,1,,,no clouds, ,,,,,,,,,,50.0,14.7,,,,,,
27.07.2020 05:00,17.3,738.2,764.2,,87,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",50.0,15.1,,,,,,
27.07.2020 04:00,17.6,737.9,763.9,0.4,83,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,50.0,14.7,,,,,,
27.07.2020 03:00,18.5,737.8,763.6,,84,Wind blowing from the west,1,,,, ,,,,,,,,,,,15.8,,,,,,
27.07.2020 02:00,19.0,737.4,763.2,,81,"Calm, no wind",0,,,, ,,,,,,,,,,,15.7,,,,,,
27.07.2020 01:00,19.9,737.5,763.3,0.7,79,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,16.1,,,,,,
27.07.2020 00:00,20.6,737.3,763.0,,75,Wind blowing from the north,0,,,, ,,,,,,,,,,,16.0,,,,,,
26.07.2020 23:00,21.1,737.2,762.8,,74,Wind blowing from the north,0,,,, ,,,,,,,,,,,16.2,,,,,,
26.07.2020 22:00,21.9,736.8,762.4,1.6,69,Wind blowing from the north,1,,,, ,,,,,,,,,,,16.0,,,,,,
26.07.2020 21:00,22.6,736.5,762.0,,66,"Calm, no wind",0,,,70 – 80%., ,,,,,,,,,,40.0,16.0,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
26.07.2020 20:00,23.2,735.7,761.2,,67,Wind blowing from the north,2,,,60%., ,,,,,,,,,,50.0,16.8,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
26.07.2020 19:00,25.2,735.2,760.4,0.7,57,Wind blowing from the north-west,2,,,70 – 80%., ,,,,29.2,,,,,,40.0,16.1,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
26.07.2020 18:00,27.3,734.9,760.0,,43,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,13.8,,,,,,
26.07.2020 17:00,27.8,734.5,759.5,,42,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,13.6,,,,,,
26.07.2020 16:00,29.0,734.5,759.4,-0.1,38,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,13.3,,,,,,
26.07.2020 15:00,28.5,734.6,759.6,,38,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,12.9,,,,,,
26.07.2020 14:00,28.4,734.6,759.6,,37,Wind blowing from the west,3,,,40%., ,,,,,,,,,,30.0,12.2,,,Surface of ground moist.,,,
26.07.2020 13:00,27.5,734.6,759.7,-0.8,41,Wind blowing from the west-northwest,3,,,70 – 80%., ,,,,,,,,,,40.0,13.0,No precipitation,12,Surface of ground moist.,,,
26.07.2020 12:00,25.9,734.8,760.0,,58,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,17.0,,,,,,
26.07.2020 11:00,24.1,734.9,760.2,,67,Wind blowing from the east-southeast,1,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.",Cirrostratus not progressively invading the sky and not entirely covering it.,40.0,17.5,,,,,,
26.07.2020 10:00,22.8,735.4,760.8,-0.1,67,Wind blowing from the north-east,1,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.",Cirrostratus not progressively invading the sky and not entirely covering it.,40.0,16.3,,,,,,
26.07.2020 09:00,20.5,735.2,760.8,,77,Wind blowing from the east-northeast,1,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.",Cirrostratus not progressively invading the sky and not entirely covering it.,50.0,16.4,,,,,,
26.07.2020 08:00,18.7,735.4,761.2,,83,"Calm, no wind",0,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,100-200,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,15.7,,,,,,
26.07.2020 07:00,16.4,735.5,761.5,0.4,94,Wind blowing from the east-northeast,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",,,15.6,,,Sky obscured by fog and/or other meteorological phenomena.,,,,0.8,15.5,1,12,Surface of ground moist.,12.0,,
26.07.2020 06:00,16.1,735.4,761.5,,95,Wind blowing from the north-east,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",,,,,,,,,,0.8,15.3,,,,,,
26.07.2020 05:00,15.6,735.2,761.3,,96,Wind blowing from the north-northeast,0,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ",,,,,,,,,,0.8,14.9,,,,,,
26.07.2020 04:00,16.1,735.1,761.1,-0.5,93,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,15.0,,,,,,
26.07.2020 03:00,16.5,735.4,761.3,,93,Wind blowing from the north,0,,,, ,,,,,,,,,,,15.4,,,,,,
26.07.2020 02:00,17.0,735.4,761.4,,92,"Calm, no wind",0,,,, ,,,,,,,,,,,15.7,,,,,,
26.07.2020 01:00,17.6,735.6,761.5,0.5,91,"Calm, no wind",0,,,, ,,,,,,,,,,,16.1,,,,,,
26.07.2020 00:00,18.2,735.7,761.5,,90,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,16.5,,,,,,
25.07.2020 23:00,18.7,735.5,761.3,,90,Wind blowing from the north,0,,,, ,,,,,,,,,,,17.1,,,,,,
25.07.2020 22:00,19.1,735.1,760.9,0.9,90,"Calm, no wind",0,,,, ,,,,,,,,,,,17.4,,,,,,
25.07.2020 21:00,19.9,734.8,760.5,,87,Wind blowing from the north-east,2,,,no clouds, ,,,,,,,,,,30.0,17.7,,,Surface of ground wet (standing water in small or large pools on surface).,,,
25.07.2020 20:00,21.3,734.4,759.9,,81,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,,,,,,,30.0,17.8,,,Surface of ground wet (standing water in small or large pools on surface).,,,
25.07.2020 19:00,25.2,734.2,759.4,0.4,56,Wind blowing from the east-northeast,1,,,70 – 80%.,"Rain shower(s), slight. ",,,,28.0,,,,,,30.0,15.9,0.3,12,Surface of ground wet (standing water in small or large pools on surface).,,,
25.07.2020 18:00,26.8,733.6,758.7,,41,Wind blowing from the south,2,,,, ,,,,,,,,,,,12.6,,,,,,
25.07.2020 17:00,27.2,733.7,758.8,,41,Wind blowing from the south,2,,,, ,,,,,,,,,,,12.9,,,,,,
25.07.2020 16:00,27.1,733.8,758.8,-0.5,42,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,13.1,,,,,,
25.07.2020 15:00,27.2,734.0,759.1,,41,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,12.9,,,,,,
25.07.2020 14:00,26.3,734.1,759.2,,46,Wind blowing from the north,2,,,40%., ,,,,,,,,,,30.0,13.6,,,Surface of ground moist.,,,
25.07.2020 13:00,25.0,734.3,759.5,-0.2,52,Wind blowing from the east,1,,,50%., ,Rain.,,,,,,,,,30.0,14.3,0.3,6,Surface of ground moist.,,,
25.07.2020 12:00,23.7,734.4,759.7,,60,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,15.4,,,,,,
25.07.2020 11:00,22.1,734.5,759.9,,68,Wind blowing from the east,2,,,60%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,100-200,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.8,,,,,,
