"# Weather station London / St. James's Park, UK, WMO_ID=3770,selection from 03.04.2020 till 01.09.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3770&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in London / St. James's Park,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
24.07.2020 05:00,16.9,,,,80,,,,,, ,,,,,,,,,,,13.4,,,,,,
24.07.2020 04:00,17.0,,,,78,,,,,, ,,,,,,,,,,,13.2,,,,,,
24.07.2020 03:00,17.1,,,,79,,,,,, ,,,,,,,,,,,13.4,,,,,,
24.07.2020 02:00,17.7,,,,78,,,,,, ,,,,,,,,,,,13.8,,,,,,
24.07.2020 01:00,17.7,,,,79,,,,,, ,,,,,,,,,,,14.0,,,,,,
24.07.2020 00:00,18.3,,,,76,,,,,, ,,,,,,,,,,,13.9,No precipitation,6,,,,
23.07.2020 23:00,19.0,,,,72,,,,,, ,,,,,,,,,,,13.8,,,,,,
23.07.2020 22:00,19.7,,,,69,,,,,, ,,,,,,,,,,,13.9,,,,,,
23.07.2020 21:00,20.0,,,,67,,,,,, ,,,,,,,,,,,13.6,,,,,,
23.07.2020 20:00,21.1,,,,57,,,,,, ,,,,,,,,,,,12.2,,,,,,
23.07.2020 19:00,21.5,,,,52,,,,,, ,,,,,,,,,,,11.1,,,,,,
23.07.2020 18:00,22.5,,,,39,,,,,, ,,,,26.6,,,,,,,7.9,No precipitation,12,,,,
23.07.2020 17:00,24.2,,,,33,,,,,, ,,,,,,,,,,,7.0,,,,,,
23.07.2020 16:00,23.8,,,,38,,,,,, ,,,,,,,,,,,8.6,,,,,,
23.07.2020 15:00,24.2,,,,36,,,,,, ,,,,,,,,,,,8.1,,,,,,
23.07.2020 14:00,25.3,,,,35,,,,,, ,,,,,,,,,,,8.9,,,,,,
23.07.2020 13:00,23.8,,,,37,,,,,, ,,,,,,,,,,,8.1,,,,,,
23.07.2020 12:00,22.5,,,,41,,,,,, ,,,,,,,,,,,8.4,No precipitation,6,,,,
23.07.2020 11:00,22.2,,,,48,,,,,, ,,,,,,,,,,,10.7,,,,,,
23.07.2020 10:00,20.8,,,,57,,,,,, ,,,,,,,,,,,11.9,,,,,,
23.07.2020 09:00,19.4,,,,63,,,,,, ,,,,,,,,,,,12.1,,,,,,
23.07.2020 08:00,16.9,,,,69,,,,,, ,,,,,,,,,,,11.1,,,,,,
23.07.2020 07:00,15.6,,,,71,,,,,, ,,,,,,,,,,,10.4,,,,,,
23.07.2020 06:00,15.8,,,,70,,,,,, ,,,14.2,,,,,,,,10.2,No precipitation,12,,,,
23.07.2020 05:00,15.2,,,,71,,,,,, ,,,,,,,,,,,9.9,,,,,,
23.07.2020 04:00,14.3,,,,74,,,,,, ,,,,,,,,,,,9.6,,,,,,
23.07.2020 03:00,14.7,,,,70,,,,,, ,,,,,,,,,,,9.2,,,,,,
23.07.2020 02:00,15.5,,,,66,,,,,, ,,,,,,,,,,,9.2,,,,,,
23.07.2020 01:00,16.2,,,,63,,,,,, ,,,,,,,,,,,9.0,,,,,,
23.07.2020 00:00,17.1,,,,57,,,,,, ,,,,,,,,,,,8.5,No precipitation,6,,,,
22.07.2020 23:00,18.2,,,,53,,,,,, ,,,,,,,,,,,8.4,,,,,,
22.07.2020 22:00,18.5,,,,51,,,,,, ,,,,,,,,,,,8.1,,,,,,
22.07.2020 21:00,19.7,,,,49,,,,,, ,,,,,,,,,,,8.7,,,,,,
22.07.2020 20:00,21.0,,,,47,,,,,, ,,,,,,,,,,,9.3,,,,,,
22.07.2020 19:00,22.3,,,,44,,,,,, ,,,,,,,,,,,9.4,,,,,,
22.07.2020 18:00,23.7,,,,40,,,,,, ,,,,25.5,,,,,,,9.3,No precipitation,12,,,,
22.07.2020 17:00,24.5,,,,38,,,,,, ,,,,,,,,,,,9.1,,,,,,
22.07.2020 16:00,25.3,,,,35,,,,,, ,,,,,,,,,,,8.9,,,,,,
22.07.2020 15:00,24.7,,,,35,,,,,, ,,,,,,,,,,,8.3,,,,,,
22.07.2020 14:00,24.6,,,,36,,,,,, ,,,,,,,,,,,8.4,,,,,,
22.07.2020 13:00,23.3,,,,39,,,,,, ,,,,,,,,,,,8.7,,,,,,
22.07.2020 12:00,22.6,,,,37,,,,,, ,,,,,,,,,,,7.1,No precipitation,6,,,,
22.07.2020 11:00,23.2,,,,41,,,,,, ,,,,,,,,,,,9.3,,,,,,
22.07.2020 10:00,21.1,,,,46,,,,,, ,,,,,,,,,,,8.9,,,,,,
22.07.2020 09:00,19.8,,,,51,,,,,, ,,,,,,,,,,,9.2,,,,,,
22.07.2020 08:00,17.8,,,,55,,,,,, ,,,,,,,,,,,8.7,,,,,,
22.07.2020 07:00,17.0,,,,59,,,,,, ,,,,,,,,,,,9.0,,,,,,
22.07.2020 06:00,15.5,,,,66,,,,,, ,,,14.9,,,,,,,,9.1,No precipitation,12,,,,
22.07.2020 05:00,15.4,,,,69,,,,,, ,,,,,,,,,,,9.6,,,,,,
22.07.2020 04:00,15.9,,,,61,,,,,, ,,,,,,,,,,,8.3,,,,,,
22.07.2020 03:00,16.2,,,,58,,,,,, ,,,,,,,,,,,7.8,,,,,,
22.07.2020 02:00,16.3,,,,63,,,,,, ,,,,,,,,,,,9.1,,,,,,
22.07.2020 01:00,16.3,,,,66,,,,,, ,,,,,,,,,,,9.8,,,,,,
22.07.2020 00:00,16.9,,,,60,,,,,, ,,,,,,,,,,,9.1,No precipitation,6,,,,
21.07.2020 23:00,17.5,,,,52,,,,,, ,,,,,,,,,,,7.5,,,,,,
21.07.2020 22:00,17.0,,,,49,,,,,, ,,,,,,,,,,,6.2,,,,,,
21.07.2020 21:00,17.8,,,,46,,,,,, ,,,,,,,,,,,6.0,,,,,,
21.07.2020 20:00,18.7,,,,43,,,,,, ,,,,,,,,,,,5.7,,,,,,
21.07.2020 19:00,20.0,,,,38,,,,,, ,,,,,,,,,,,5.2,,,,,,
21.07.2020 18:00,20.7,,,,35,,,,,, ,,,,23.0,,,,,,,4.8,No precipitation,12,,,,
21.07.2020 17:00,21.8,,,,32,,,,,, ,,,,,,,,,,,4.2,,,,,,
21.07.2020 16:00,21.1,,,,33,,,,,, ,,,,,,,,,,,4.3,,,,,,
21.07.2020 15:00,22.6,,,,33,,,,,, ,,,,,,,,,,,5.4,,,,,,
21.07.2020 14:00,22.1,,,,36,,,,,, ,,,,,,,,,,,6.2,,,,,,
21.07.2020 13:00,20.2,,,,36,,,,,, ,,,,,,,,,,,4.4,,,,,,
21.07.2020 12:00,19.6,,,,38,,,,,, ,,,,,,,,,,,4.9,No precipitation,6,,,,
21.07.2020 11:00,19.1,,,,40,,,,,, ,,,,,,,,,,,5.2,,,,,,
21.07.2020 10:00,18.8,,,,45,,,,,, ,,,,,,,,,,,6.4,,,,,,
21.07.2020 09:00,18.2,,,,48,,,,,, ,,,,,,,,,,,7.0,,,,,,
21.07.2020 08:00,16.7,,,,53,,,,,, ,,,,,,,,,,,6.9,,,,,,
21.07.2020 07:00,14.6,,,,62,,,,,, ,,,,,,,,,,,7.4,,,,,,
21.07.2020 06:00,13.4,,,,67,,,,,, ,,,13.0,,,,,,,,7.3,No precipitation,12,,,,
21.07.2020 05:00,13.5,,,,65,,,,,, ,,,,,,,,,,,7.0,,,,,,
21.07.2020 04:00,13.3,,,,64,,,,,, ,,,,,,,,,,,6.6,,,,,,
21.07.2020 03:00,14.0,,,,62,,,,,, ,,,,,,,,,,,6.7,,,,,,
21.07.2020 02:00,14.3,,,,64,,,,,, ,,,,,,,,,,,7.5,,,,,,
21.07.2020 01:00,14.3,,,,69,,,,,, ,,,,,,,,,,,8.6,,,,,,
21.07.2020 00:00,16.9,,,,60,,,,,, ,,,,,,,,,,,9.1,No precipitation,6,,,,
20.07.2020 23:00,15.6,,,,56,,,,,, ,,,,,,,,,,,6.8,,,,,,
20.07.2020 22:00,16.5,,,,52,,,,,, ,,,,,,,,,,,6.6,,,,,,
20.07.2020 21:00,17.7,,,,47,,,,,, ,,,,,,,,,,,6.2,,,,,,
20.07.2020 20:00,18.6,,,,44,,,,,, ,,,,,,,,,,,6.1,,,,,,
20.07.2020 19:00,19.7,,,,41,,,,,, ,,,,,,,,,,,6.1,,,,,,
20.07.2020 18:00,20.6,,,,38,,,,,, ,,,,23.0,,,,,,,5.6,No precipitation,12,,,,
20.07.2020 17:00,21.6,,,,34,,,,,, ,,,,,,,,,,,5.2,,,,,,
20.07.2020 16:00,22.1,,,,35,,,,,, ,,,,,,,,,,,5.7,,,,,,
20.07.2020 15:00,22.9,,,,32,,,,,, ,,,,,,,,,,,5.4,,,,,,
20.07.2020 14:00,22.1,,,,33,,,,,, ,,,,,,,,,,,5.2,,,,,,
20.07.2020 13:00,21.2,,,,33,,,,,, ,,,,,,,,,,,4.3,,,,,,
20.07.2020 12:00,21.4,,,,39,,,,,, ,,,,,,,,,,,7.0,No precipitation,6,,,,
20.07.2020 11:00,19.4,,,,44,,,,,, ,,,,,,,,,,,6.7,,,,,,
20.07.2020 10:00,18.9,,,,47,,,,,, ,,,,,,,,,,,7.2,,,,,,
20.07.2020 09:00,17.5,,,,51,,,,,, ,,,,,,,,,,,7.3,,,,,,
20.07.2020 08:00,15.9,,,,60,,,,,, ,,,,,,,,,,,8.1,,,,,,
20.07.2020 07:00,13.7,,,,69,,,,,, ,,,,,,,,,,,8.1,,,,,,
20.07.2020 06:00,12.8,,,,72,,,,,, ,,,12.3,,,,,,,,7.8,No precipitation,12,,,,
20.07.2020 05:00,12.7,,,,73,,,,,, ,,,,,,,,,,,7.9,,,,,,
20.07.2020 04:00,12.5,,,,73,,,,,, ,,,,,,,,,,,7.7,,,,,,
20.07.2020 03:00,13.3,,,,69,,,,,, ,,,,,,,,,,,7.7,,,,,,
20.07.2020 02:00,13.6,,,,67,,,,,, ,,,,,,,,,,,7.5,,,,,,
20.07.2020 01:00,14.6,,,,64,,,,,, ,,,,,,,,,,,7.8,,,,,,
20.07.2020 00:00,15.2,,,,62,,,,,, ,,,,,,,,,,,7.8,No precipitation,6,,,,
19.07.2020 23:00,16.7,,,,61,,,,,, ,,,,,,,,,,,9.1,,,,,,
19.07.2020 22:00,16.3,,,,79,,,,,, ,,,,,,,,,,,12.6,,,,,,
19.07.2020 21:00,16.7,,,,56,,,,,, ,,,,,,,,,,,7.7,,,,,,
19.07.2020 20:00,18.1,,,,53,,,,,, ,,,,,,,,,,,8.4,,,,,,
19.07.2020 19:00,19.1,,,,51,,,,,, ,,,,,,,,,,,8.8,,,,,,
19.07.2020 18:00,19.4,,,,52,,,,,, ,,,,20.4,,,,,,,9.1,0.4,12,,,,
19.07.2020 17:00,19.9,,,,51,,,,,, ,,,,,,,,,,,9.3,,,,,,
19.07.2020 16:00,19.8,,,,53,,,,,, ,,,,,,,,,,,9.9,,,,,,
19.07.2020 15:00,19.3,,,,55,,,,,, ,,,,,,,,,,,9.9,,,,,,
19.07.2020 14:00,19.3,,,,58,,,,,, ,,,,,,,,,,,10.8,,,,,,
19.07.2020 13:00,18.2,,,,66,,,,,, ,,,,,,,,,,,11.8,,,,,,
19.07.2020 12:00,17.1,,,,71,,,,,, ,,,,,,,,,,,11.7,0.4,6,,,,
19.07.2020 11:00,15.9,,,,83,,,,,, ,,,,,,,,,,,12.9,,,,,,
19.07.2020 10:00,15.3,,,,87,,,,,, ,,,,,,,,,,,13.1,,,,,,
19.07.2020 09:00,15.1,,,,88,,,,,, ,,,,,,,,,,,13.1,,,,,,
19.07.2020 08:00,15.0,,,,90,,,,,, ,,,,,,,,,,,13.3,,,,,,
19.07.2020 07:00,15.9,,,,83,,,,,, ,,,,,,,,,,,13.0,,,,,,
19.07.2020 06:00,16.9,,,,84,,,,,, ,,,16.6,,,,,,,,14.2,No precipitation,12,,,,
19.07.2020 05:00,16.7,,,,84,,,,,, ,,,,,,,,,,,13.9,,,,,,
19.07.2020 04:00,17.2,,,,78,,,,,, ,,,,,,,,,,,13.3,,,,,,
19.07.2020 03:00,17.1,,,,76,,,,,, ,,,,,,,,,,,12.8,,,,,,
19.07.2020 02:00,17.9,,,,73,,,,,, ,,,,,,,,,,,12.9,,,,,,
19.07.2020 01:00,18.2,,,,72,,,,,, ,,,,,,,,,,,13.0,,,,,,
19.07.2020 00:00,18.7,,,,69,,,,,, ,,,,,,,,,,,12.9,No precipitation,6,,,,
18.07.2020 23:00,19.4,,,,65,,,,,, ,,,,,,,,,,,12.7,,,,,,
18.07.2020 22:00,19.9,,,,64,,,,,, ,,,,,,,,,,,12.9,,,,,,
18.07.2020 21:00,21.0,,,,57,,,,,, ,,,,,,,,,,,12.2,,,,,,
18.07.2020 20:00,21.5,,,,56,,,,,, ,,,,,,,,,,,12.2,,,,,,
18.07.2020 19:00,23.2,,,,47,,,,,, ,,,,,,,,,,,11.1,,,,,,
18.07.2020 18:00,24.4,,,,43,,,,,, ,,,,25.8,,,,,,,10.9,No precipitation,12,,,,
18.07.2020 17:00,24.3,,,,43,,,,,, ,,,,,,,,,,,10.8,,,,,,
18.07.2020 16:00,24.9,,,,40,,,,,, ,,,,,,,,,,,10.4,,,,,,
18.07.2020 15:00,24.8,,,,43,,,,,, ,,,,,,,,,,,11.2,,,,,,
18.07.2020 14:00,23.8,,,,49,,,,,, ,,,,,,,,,,,12.4,,,,,,
18.07.2020 13:00,23.0,,,,50,,,,,, ,,,,,,,,,,,12.1,,,,,,
18.07.2020 12:00,22.0,,,,50,,,,,, ,,,,,,,,,,,11.1,No precipitation,6,,,,
18.07.2020 11:00,21.3,,,,56,,,,,, ,,,,,,,,,,,12.2,,,,,,
18.07.2020 10:00,19.2,,,,63,,,,,, ,,,,,,,,,,,12.0,,,,,,
18.07.2020 09:00,18.7,,,,65,,,,,, ,,,,,,,,,,,11.9,,,,,,
18.07.2020 08:00,18.4,,,,68,,,,,, ,,,,,,,,,,,12.4,,,,,,
18.07.2020 07:00,16.9,,,,75,,,,,, ,,,,,,,,,,,12.5,,,,,,
18.07.2020 06:00,16.7,,,,78,,,,,, ,,,15.5,,,,,,,,12.9,No precipitation,12,,,,
18.07.2020 05:00,16.0,,,,80,,,,,, ,,,,,,,,,,,12.6,,,,,,
18.07.2020 04:00,15.7,,,,82,,,,,, ,,,,,,,,,,,12.6,,,,,,
18.07.2020 03:00,15.7,,,,83,,,,,, ,,,,,,,,,,,12.8,,,,,,
18.07.2020 02:00,16.3,,,,79,,,,,, ,,,,,,,,,,,12.7,,,,,,
18.07.2020 01:00,16.7,,,,77,,,,,, ,,,,,,,,,,,12.7,,,,,,
18.07.2020 00:00,17.7,,,,74,,,,,, ,,,,,,,,,,,12.9,No precipitation,6,,,,
17.07.2020 23:00,18.6,,,,69,,,,,, ,,,,,,,,,,,12.8,,,,,,
17.07.2020 22:00,19.8,,,,62,,,,,, ,,,,,,,,,,,12.2,,,,,,
17.07.2020 21:00,21.0,,,,57,,,,,, ,,,,,,,,,,,12.0,,,,,,
17.07.2020 20:00,22.6,,,,53,,,,,, ,,,,,,,,,,,12.4,,,,,,
17.07.2020 19:00,24.2,,,,48,,,,,, ,,,,,,,,,,,12.6,,,,,,
17.07.2020 18:00,25.8,,,,44,,,,,, ,,,,27.7,,,,,,,12.5,No precipitation,12,,,,
17.07.2020 17:00,27.0,,,,38,,,,,, ,,,,,,,,,,,11.6,,,,,,
17.07.2020 16:00,27.2,,,,38,,,,,, ,,,,,,,,,,,11.7,,,,,,
17.07.2020 15:00,26.4,,,,40,,,,,, ,,,,,,,,,,,11.8,,,,,,
17.07.2020 14:00,26.0,,,,40,,,,,, ,,,,,,,,,,,11.4,,,,,,
17.07.2020 13:00,25.3,,,,42,,,,,, ,,,,,,,,,,,11.3,,,,,,
17.07.2020 12:00,24.9,,,,45,,,,,, ,,,,,,,,,,,12.1,No precipitation,6,,,,
17.07.2020 11:00,23.5,,,,51,,,,,, ,,,,,,,,,,,12.9,,,,,,
17.07.2020 10:00,23.6,,,,51,,,,,, ,,,,,,,,,,,12.9,,,,,,
17.07.2020 09:00,22.5,,,,58,,,,,, ,,,,,,,,,,,13.9,,,,,,
17.07.2020 08:00,21.4,,,,70,,,,,, ,,,,,,,,,,,15.7,,,,,,
17.07.2020 07:00,19.7,,,,75,,,,,, ,,,,,,,,,,,15.2,,,,,,
17.07.2020 06:00,18.6,,,,84,,,,,, ,,,17.5,,,,,,,,15.8,No precipitation,12,,,,
17.07.2020 05:00,17.6,,,,84,,,,,, ,,,,,,,,,,,14.8,,,,,,
17.07.2020 04:00,17.8,,,,80,,,,,, ,,,,,,,,,,,14.3,,,,,,
17.07.2020 03:00,18.4,,,,82,,,,,, ,,,,,,,,,,,15.3,,,,,,
17.07.2020 02:00,18.6,,,,78,,,,,, ,,,,,,,,,,,14.6,,,,,,
17.07.2020 01:00,19.0,,,,77,,,,,, ,,,,,,,,,,,14.8,,,,,,
17.07.2020 00:00,19.5,,,,76,,,,,, ,,,,,,,,,,,15.2,No precipitation,6,,,,
16.07.2020 23:00,19.9,,,,74,,,,,, ,,,,,,,,,,,15.0,,,,,,
16.07.2020 22:00,20.2,,,,72,,,,,, ,,,,,,,,,,,14.9,,,,,,
16.07.2020 21:00,20.8,,,,68,,,,,, ,,,,,,,,,,,14.6,,,,,,
16.07.2020 20:00,21.6,,,,63,,,,,, ,,,,,,,,,,,14.3,,,,,,
16.07.2020 19:00,22.1,,,,59,,,,,, ,,,,,,,,,,,13.8,,,,,,
16.07.2020 18:00,22.2,,,,59,,,,,, ,,,,22.9,,,,,,,13.9,No precipitation,12,,,,
16.07.2020 17:00,22.3,,,,58,,,,,, ,,,,,,,,,,,13.6,,,,,,
16.07.2020 16:00,22.3,,,,58,,,,,, ,,,,,,,,,,,13.5,,,,,,
16.07.2020 15:00,22.7,,,,55,,,,,, ,,,,,,,,,,,13.3,,,,,,
16.07.2020 14:00,21.5,,,,59,,,,,, ,,,,,,,,,,,13.1,,,,,,
16.07.2020 13:00,20.1,,,,63,,,,,, ,,,,,,,,,,,12.8,,,,,,
16.07.2020 12:00,20.2,,,,64,,,,,, ,,,,,,,,,,,13.1,No precipitation,6,,,,
16.07.2020 11:00,18.4,,,,68,,,,,, ,,,,,,,,,,,12.4,,,,,,
16.07.2020 10:00,17.6,,,,71,,,,,, ,,,,,,,,,,,12.2,,,,,,
16.07.2020 09:00,17.6,,,,71,,,,,, ,,,,,,,,,,,12.2,,,,,,
16.07.2020 08:00,17.2,,,,73,,,,,, ,,,,,,,,,,,12.2,,,,,,
16.07.2020 07:00,16.6,,,,76,,,,,, ,,,,,,,,,,,12.4,,,,,,
16.07.2020 06:00,16.3,,,,78,,,,,, ,,,16.2,,,,,,,,12.4,No precipitation,12,,,,
16.07.2020 05:00,16.3,,,,77,,,,,, ,,,,,,,,,,,12.2,,,,,,
16.07.2020 04:00,16.3,,,,77,,,,,, ,,,,,,,,,,,12.2,,,,,,
16.07.2020 03:00,16.3,,,,78,,,,,, ,,,,,,,,,,,12.4,,,,,,
16.07.2020 02:00,16.6,,,,77,,,,,, ,,,,,,,,,,,12.5,,,,,,
16.07.2020 01:00,16.7,,,,76,,,,,, ,,,,,,,,,,,12.4,,,,,,
16.07.2020 00:00,19.5,,,,76,,,,,, ,,,,,,,,,,,15.2,No precipitation,6,,,,
15.07.2020 23:00,17.1,,,,73,,,,,, ,,,,,,,,,,,12.2,,,,,,
15.07.2020 22:00,17.2,,,,75,,,,,, ,,,,,,,,,,,12.6,,,,,,
15.07.2020 21:00,17.2,,,,74,,,,,, ,,,,,,,,,,,12.4,,,,,,
15.07.2020 20:00,17.3,,,,73,,,,,, ,,,,,,,,,,,12.3,,,,,,
15.07.2020 19:00,17.8,,,,69,,,,,, ,,,,,,,,,,,12.1,,,,,,
15.07.2020 18:00,18.1,,,,67,,,,,, ,,,,19.5,,,,,,,11.9,No precipitation,12,,,,
15.07.2020 17:00,18.8,,,,64,,,,,, ,,,,,,,,,,,11.7,,,,,,
15.07.2020 16:00,18.7,,,,62,,,,,, ,,,,,,,,,,,11.2,,,,,,
15.07.2020 15:00,18.8,,,,62,,,,,, ,,,,,,,,,,,11.2,,,,,,
15.07.2020 14:00,18.4,,,,62,,,,,, ,,,,,,,,,,,11.0,,,,,,
15.07.2020 13:00,17.9,,,,66,,,,,, ,,,,,,,,,,,11.4,,,,,,
15.07.2020 12:00,17.3,,,,67,,,,,, ,,,,,,,,,,,11.0,No precipitation,6,,,,
15.07.2020 11:00,18.5,,,,66,,,,,, ,,,,,,,,,,,11.9,,,,,,
15.07.2020 10:00,17.0,,,,67,,,,,, ,,,,,,,,,,,10.7,,,,,,
15.07.2020 09:00,17.3,,,,62,,,,,, ,,,,,,,,,,,10.0,,,,,,
15.07.2020 08:00,17.3,,,,65,,,,,, ,,,,,,,,,,,10.5,,,,,,
15.07.2020 07:00,15.1,,,,71,,,,,, ,,,,,,,,,,,9.9,,,,,,
15.07.2020 06:00,13.8,,,,77,,,,,, ,,,13.8,,,,,,,,9.8,No precipitation,12,,,,
15.07.2020 05:00,13.9,,,,72,,,,,, ,,,,,,,,,,,8.8,,,,,,
15.07.2020 04:00,14.5,,,,67,,,,,, ,,,,,,,,,,,8.4,,,,,,
15.07.2020 03:00,14.6,,,,66,,,,,, ,,,,,,,,,,,8.2,,,,,,
15.07.2020 02:00,14.6,,,,68,,,,,, ,,,,,,,,,,,8.7,,,,,,
15.07.2020 01:00,15.2,,,,65,,,,,, ,,,,,,,,,,,8.6,,,,,,
15.07.2020 00:00,16.0,,,,63,,,,,, ,,,,,,,,,,,9.0,No precipitation,6,,,,
14.07.2020 23:00,15.9,,,,64,,,,,, ,,,,,,,,,,,9.1,,,,,,
14.07.2020 22:00,17.3,,,,58,,,,,, ,,,,,,,,,,,8.8,,,,,,
14.07.2020 21:00,17.9,,,,56,,,,,, ,,,,,,,,,,,9.0,,,,,,
14.07.2020 20:00,18.4,,,,56,,,,,, ,,,,,,,,,,,9.3,,,,,,
14.07.2020 19:00,18.9,,,,55,,,,,, ,,,,,,,,,,,9.7,,,,,,
14.07.2020 18:00,19.6,,,,54,,,,,, ,,,,21.4,,,,,,,10.1,No precipitation,12,,,,
14.07.2020 17:00,20.3,,,,56,,,,,, ,,,,,,,,,,,11.2,,,,,,
14.07.2020 16:00,20.6,,,,53,,,,,, ,,,,,,,,,,,10.5,,,,,,
14.07.2020 15:00,20.8,,,,54,,,,,, ,,,,,,,,,,,11.0,,,,,,
14.07.2020 14:00,20.1,,,,55,,,,,, ,,,,,,,,,,,10.6,,,,,,
14.07.2020 13:00,20.1,,,,56,,,,,, ,,,,,,,,,,,11.0,,,,,,
14.07.2020 12:00,20.5,,,,58,,,,,, ,,,,,,,,,,,11.9,No precipitation,6,,,,
14.07.2020 11:00,19.6,,,,56,,,,,, ,,,,,,,,,,,10.6,,,,,,
14.07.2020 10:00,19.6,,,,64,,,,,, ,,,,,,,,,,,12.5,,,,,,
14.07.2020 09:00,19.0,,,,71,,,,,, ,,,,,,,,,,,13.5,,,,,,
14.07.2020 08:00,17.7,,,,79,,,,,, ,,,,,,,,,,,14.0,,,,,,
14.07.2020 07:00,16.9,,,,79,,,,,, ,,,,,,,,,,,13.2,,,,,,
14.07.2020 06:00,16.4,,,,89,,,,,, ,,,15.5,,,,,,,,14.5,1,12,,,,
14.07.2020 05:00,16.1,,,,92,,,,,, ,,,,,,,,,,,14.8,,,,,,
14.07.2020 04:00,15.7,,,,96,,,,,, ,,,,,,,,,,,15.0,,,,,,
14.07.2020 03:00,15.7,,,,95,,,,,, ,,,,,,,,,,,14.9,,,,,,
14.07.2020 02:00,15.6,,,,94,,,,,, ,,,,,,,,,,,14.7,,,,,,
14.07.2020 01:00,15.7,,,,91,,,,,, ,,,,,,,,,,,14.3,,,,,,
14.07.2020 00:00,16.8,,,,82,,,,,, ,,,,,,,,,,,13.6,No precipitation,6,,,,
13.07.2020 23:00,17.5,,,,77,,,,,, ,,,,,,,,,,,13.3,,,,,,
13.07.2020 22:00,19.1,,,,70,,,,,, ,,,,,,,,,,,13.4,,,,,,
13.07.2020 21:00,19.6,,,,64,,,,,, ,,,,,,,,,,,12.5,,,,,,
13.07.2020 20:00,20.5,,,,59,,,,,, ,,,,,,,,,,,12.3,,,,,,
13.07.2020 19:00,21.6,,,,54,,,,,, ,,,,,,,,,,,11.9,,,,,,
13.07.2020 18:00,21.8,,,,53,,,,,, ,,,,25.3,,,,,,,11.8,No precipitation,12,,,,
13.07.2020 17:00,23.5,,,,45,,,,,, ,,,,,,,,,,,10.9,,,,,,
13.07.2020 16:00,24.8,,,,39,,,,,, ,,,,,,,,,,,9.9,,,,,,
13.07.2020 15:00,24.6,,,,42,,,,,, ,,,,,,,,,,,10.8,,,,,,
13.07.2020 14:00,24.2,,,,34,,,,,, ,,,,,,,,,,,7.3,,,,,,
13.07.2020 13:00,24.6,,,,32,,,,,, ,,,,,,,,,,,6.7,,,,,,
13.07.2020 12:00,23.7,,,,36,,,,,, ,,,,,,,,,,,7.6,No precipitation,6,,,,
13.07.2020 11:00,22.8,,,,28,,,,,, ,,,,,,,,,,,3.4,,,,,,
13.07.2020 10:00,21.8,,,,34,,,,,, ,,,,,,,,,,,5.0,,,,,,
13.07.2020 09:00,20.4,,,,44,,,,,, ,,,,,,,,,,,7.8,,,,,,
13.07.2020 08:00,18.4,,,,54,,,,,, ,,,,,,,,,,,8.8,,,,,,
13.07.2020 07:00,16.0,,,,63,,,,,, ,,,,,,,,,,,8.8,,,,,,
13.07.2020 06:00,14.9,,,,71,,,,,, ,,,13.4,,,,,,,,9.6,No precipitation,12,,,,
13.07.2020 05:00,14.1,,,,72,,,,,, ,,,,,,,,,,,9.0,,,,,,
13.07.2020 04:00,13.7,,,,72,,,,,, ,,,,,,,,,,,8.6,,,,,,
13.07.2020 03:00,13.8,,,,67,,,,,, ,,,,,,,,,,,7.8,,,,,,
13.07.2020 02:00,13.9,,,,65,,,,,, ,,,,,,,,,,,7.3,,,,,,
13.07.2020 01:00,14.7,,,,61,,,,,, ,,,,,,,,,,,7.2,,,,,,
13.07.2020 00:00,16.8,,,,82,,,,,, ,,,,,,,,,,,13.6,No precipitation,6,,,,
12.07.2020 23:00,16.5,,,,56,,,,,, ,,,,,,,,,,,7.6,,,,,,
12.07.2020 22:00,17.0,,,,55,,,,,, ,,,,,,,,,,,7.7,,,,,,
12.07.2020 21:00,18.1,,,,53,,,,,, ,,,,,,,,,,,8.3,,,,,,
12.07.2020 20:00,19.6,,,,51,,,,,, ,,,,,,,,,,,9.1,,,,,,
12.07.2020 19:00,22.0,,,,40,,,,,, ,,,,,,,,,,,7.9,,,,,,
12.07.2020 18:00,22.7,,,,33,,,,,, ,,,,24.8,,,,,,,5.7,No precipitation,12,,,,
12.07.2020 17:00,23.5,,,,34,,,,,, ,,,,,,,,,,,6.5,,,,,,
12.07.2020 16:00,24.1,,,,31,,,,,, ,,,,,,,,,,,5.7,,,,,,
12.07.2020 15:00,23.8,,,,30,,,,,, ,,,,,,,,,,,5.1,,,,,,
12.07.2020 14:00,23.4,,,,33,,,,,, ,,,,,,,,,,,6.1,,,,,,
12.07.2020 13:00,22.2,,,,38,,,,,, ,,,,,,,,,,,7.2,,,,,,
