"# Weather station Bratislava (airport), Slovakia, METAR=LZIB,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LZIB&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Bratislava (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
19.07.2020 12:30,19.0,749.8,761.2,88,Wind blowing from the north-west,4,,"Light shower(s), rain",,"Few clouds (10-30%) 240 m, few clouds (10-30%) 600 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 1260 m",10.0 and more,17.0
19.07.2020 12:00,21.0,749.9,761.2,78,Wind blowing from the west,3,,"In the vicinity shower(s), rain",,"Scattered clouds (40-50%) 600 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 1080 m",10.0 and more,17.0
19.07.2020 11:30,20.0,749.8,761.2,78,Wind blowing from the north-west,3,,,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 630 m, broken clouds (60-90%) 1110 m",10.0 and more,16.0
19.07.2020 11:00,21.0,749.9,761.2,73,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 690 m, broken clouds (60-90%) 1290 m",10.0 and more,16.0
19.07.2020 10:30,21.0,750.7,762.0,73,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 960 m",10.0 and more,16.0
19.07.2020 10:00,21.0,750.7,762.0,73,variable wind direction,1,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1620 m, broken clouds (60-90%) 2100 m",10.0 and more,16.0
19.07.2020 09:30,20.0,750.6,762.0,78,variable wind direction,1,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 510 m, broken clouds (60-90%) 2130 m",10.0 and more,16.0
19.07.2020 09:00,20.0,750.6,762.0,73,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 1620 m",10.0 and more,15.0
19.07.2020 08:30,19.0,750.6,762.0,78,Wind blowing from the west,2,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 420 m",10.0 and more,15.0
19.07.2020 08:00,18.0,750.6,762.0,83,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 1680 m",10.0 and more,15.0
19.07.2020 07:30,18.0,750.6,762.0,83,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 1290 m, broken clouds (60-90%) 1860 m",10.0 and more,15.0
19.07.2020 07:00,18.0,750.6,762.0,83,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 750 m",10.0 and more,15.0
19.07.2020 06:30,17.0,750.5,762.0,88,Wind blowing from the west-northwest,3,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 780 m, broken clouds (60-90%) 1350 m",10.0 and more,15.0
19.07.2020 06:00,17.0,750.5,762.0,88,Wind blowing from the west-northwest,3,,,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 840 m",10.0 and more,15.0
19.07.2020 05:30,17.0,750.5,762.0,88,Wind blowing from the west,4,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 1440 m",10.0 and more,15.0
19.07.2020 05:00,16.0,750.5,762.0,94,Wind blowing from the west,4,,,,"Few clouds (10-30%) 210 m, broken clouds (60-90%) 870 m",10.0 and more,15.0
19.07.2020 04:30,16.0,750.5,762.0,94,Wind blowing from the west,3,,,,"Few clouds (10-30%) 210 m, broken clouds (60-90%) 810 m",10.0 and more,15.0
19.07.2020 04:00,16.0,750.5,762.0,88,Wind blowing from the west,3,,,,"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 630 m",10.0 and more,14.0
19.07.2020 03:30,16.0,750.5,762.0,94,Wind blowing from the west,3,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 660 m, broken clouds (60-90%) 2250 m",10.0 and more,15.0
19.07.2020 03:00,16.0,750.5,762.0,94,Wind blowing from the west,3,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 2220 m",10.0 and more,15.0
19.07.2020 02:30,16.0,750.5,762.0,88,Wind blowing from the west,3,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 2220 m",10.0 and more,14.0
19.07.2020 02:00,16.0,750.5,762.0,88,Wind blowing from the west-northwest,3,,,,Few clouds (10-30%) 270 m,10.0 and more,14.0
19.07.2020 01:30,16.0,750.5,762.0,88,Wind blowing from the west-northwest,3,,,,Few clouds (10-30%) 270 m,10.0 and more,14.0
19.07.2020 01:00,16.0,751.3,762.8,94,Wind blowing from the west,3,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 2340 m",10.0 and more,15.0
19.07.2020 00:00,16.0,751.3,762.8,88,variable wind direction,1,,,,Few clouds (10-30%) 270 m,10.0 and more,14.0
18.07.2020 23:30,17.0,751.3,762.8,88,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 2490 m",10.0 and more,15.0
18.07.2020 23:00,17.0,751.3,762.8,88,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 2490 m",10.0 and more,15.0
18.07.2020 22:30,17.0,751.3,762.8,88,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1950 m",10.0 and more,15.0
18.07.2020 22:00,18.0,751.3,762.8,83,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 390 m, scattered clouds (40-50%) 1980 m",10.0 and more,15.0
18.07.2020 21:30,18.0,751.3,762.8,83,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 1020 m, scattered clouds (40-50%) 1890 m, broken clouds (60-90%) 2040 m",10.0 and more,15.0
18.07.2020 21:00,18.0,751.3,762.8,83,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 1020 m, broken clouds (60-90%) 1950 m, broken clouds (60-90%) 2100 m",10.0 and more,15.0
18.07.2020 20:30,18.0,751.3,762.8,83,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 1020 m, broken clouds (60-90%) 2580 m",10.0 and more,15.0
18.07.2020 20:00,18.0,750.6,762.0,83,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 1020 m, broken clouds (60-90%) 2670 m",10.0 and more,15.0
18.07.2020 19:30,18.0,750.6,762.0,83,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 1020 m, broken clouds (60-90%) 2670 m",10.0 and more,15.0
18.07.2020 19:00,19.0,750.6,762.0,78,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 2700 m",10.0 and more,15.0
18.07.2020 18:30,19.0,749.8,761.2,78,Wind blowing from the west-northwest,2,,,,"Few clouds (10-30%) 270 m, broken clouds (60-90%) 2490 m",10.0 and more,15.0
18.07.2020 18:00,19.0,749.8,761.2,78,Wind blowing from the west-southwest,2,,,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%) 2580 m",10.0 and more,15.0
18.07.2020 17:30,20.0,749.8,761.2,69,Wind blowing from the east-northeast,2,,"Light shower(s), rain",,"Few clouds (10-30%) 1290 m, few clouds (10-30%) 1560 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 1710 m",10.0 and more,14.0
18.07.2020 17:00,21.0,749.9,761.2,60,variable wind direction,1,,,,"Few clouds (10-30%) 1350 m, broken clouds (60-90%) 1500 m, broken clouds (60-90%) 2310 m",10.0 and more,13.0
18.07.2020 16:30,21.0,749.9,761.2,60,variable wind direction,1,,,,"Few clouds (10-30%) 1320 m, broken clouds (60-90%) 1890 m",10.0 and more,13.0
18.07.2020 16:00,20.0,749.8,761.2,69,Wind blowing from the north-east,2,,,,"Few clouds (10-30%) 1170 m, scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 1620 m",10.0 and more,14.0
18.07.2020 15:30,21.0,749.9,761.2,60,Wind blowing from the east,2,,,,"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 1320 m, broken clouds (60-90%) 1560 m",10.0 and more,13.0
18.07.2020 15:00,21.0,749.9,761.2,64,Wind blowing from the north-northeast,2,,,,"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 1560 m",10.0 and more,14.0
18.07.2020 14:30,20.0,749.8,761.2,69,Wind blowing from the north-northeast,2,,,,"Few clouds (10-30%) 840 m, scattered clouds (40-50%) 1530 m, broken clouds (60-90%) 1950 m",10.0 and more,14.0
18.07.2020 14:00,20.0,749.8,761.2,69,Wind blowing from the east-southeast,2,,"Light shower(s), rain",,"Few clouds (10-30%) 870 m, scattered clouds (40-50%) 1080 m, broken clouds (60-90%) 1500 m",10.0 and more,14.0
18.07.2020 13:30,20.0,749.8,761.2,64,Wind blowing from the north-east,2,,,,"Scattered clouds (40-50%) 990 m, broken clouds (60-90%) 1620 m",10.0 and more,13.0
18.07.2020 13:00,20.0,749.8,761.2,69,Wind blowing from the south-east,2,,,,"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1440 m",10.0 and more,14.0
18.07.2020 12:30,20.0,749.8,761.2,64,variable wind direction,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 810 m, broken clouds (60-90%) 960 m",10.0 and more,13.0
18.07.2020 12:00,19.0,749.8,761.2,78,variable wind direction,2,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 510 m, broken clouds (60-90%) 660 m",10.0 and more,15.0
18.07.2020 11:30,18.0,749.8,761.2,78,variable wind direction,1,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 510 m, broken clouds (60-90%) 1050 m",10.0 and more,14.0
18.07.2020 11:21,18.0,749.8,761.2,78,variable wind direction,1,,,,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 510 m, broken clouds (60-90%) 1050 m",10.0 and more,14.0
18.07.2020 11:00,17.0,749.7,761.2,83,Wind blowing from the north-east,2,,,,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 300 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 360 m",10.0 and more,14.0
18.07.2020 10:42,17.0,749.7,761.2,83,Wind blowing from the north-northwest,2,,"Light shower(s), rain",,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 330 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 420 m",10.0 and more,14.0
18.07.2020 10:30,18.0,749.8,761.2,83,Wind blowing from the north-northwest,2,,,,"Few clouds (10-30%) 150 m, scattered clouds (40-50%) 420 m, cumulus congestus of great vertical extent , broken clouds (60-90%) 480 m",10.0 and more,15.0
18.07.2020 10:00,17.0,749.7,761.2,83,Wind blowing from the west,3,,,,"Few clouds (10-30%) 180 m, broken clouds (60-90%) 540 m",10.0 and more,14.0
18.07.2020 09:30,16.0,749.7,761.2,88,Wind blowing from the west,3,,,,"Few clouds (10-30%) 180 m, broken clouds (60-90%) 540 m",10.0 and more,14.0
18.07.2020 09:00,15.0,749.6,761.2,94,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 210 m, broken clouds (60-90%) 600 m",10.0 and more,14.0
18.07.2020 08:30,15.0,749.0,760.5,88,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 240 m, broken clouds (60-90%) 600 m",10.0 and more,13.0
18.07.2020 08:00,15.0,749.6,761.2,88,Wind blowing from the west-northwest,3,,Light rain,,"Few clouds (10-30%) 240 m, broken clouds (60-90%) 660 m",10.0 and more,13.0
18.07.2020 07:30,14.0,749.6,761.2,94,Wind blowing from the west-northwest,4,,Light rain,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 660 m, broken clouds (60-90%) 780 m",10.0 and more,13.0
18.07.2020 07:00,14.0,749.6,761.2,88,Wind blowing from the west-northwest,4,,Light rain,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 660 m, broken clouds (60-90%) 750 m",10.0 and more,12.0
18.07.2020 06:30,14.0,749.6,761.2,88,Wind blowing from the north-west,4,,Light rain,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 690 m, broken clouds (60-90%) 750 m",10.0 and more,12.0
18.07.2020 06:00,14.0,749.6,761.2,88,Wind blowing from the west-northwest,6,,Light rain,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 720 m, broken clouds (60-90%) 780 m",10.0 and more,12.0
18.07.2020 05:30,14.0,749.6,761.2,88,Wind blowing from the north-west,7,,Light rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 840 m, broken clouds (60-90%) 1590 m",10.0 and more,12.0
18.07.2020 05:00,15.0,749.6,761.2,82,Wind blowing from the north-west,4,,Light rain,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1680 m",10.0 and more,12.0
18.07.2020 04:30,15.0,749.6,761.2,82,Wind blowing from the north-west,6,,Light rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m, broken clouds (60-90%) 1590 m",10.0 and more,12.0
18.07.2020 04:00,15.0,749.6,761.2,82,Wind blowing from the north-west,5,,Light rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m, broken clouds (60-90%) 1680 m",10.0 and more,12.0
18.07.2020 03:30,15.0,750.4,762.0,82,Wind blowing from the north-west,6,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 450 m, broken clouds (60-90%) 1920 m",10.0 and more,12.0
18.07.2020 03:00,15.0,750.4,762.0,77,Wind blowing from the north-west,6,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 2520 m",10.0 and more,11.0
18.07.2020 02:30,15.0,750.4,762.0,77,Wind blowing from the north-west,5,,,,"Few clouds (10-30%) 330 m, broken clouds (60-90%) 2340 m",10.0 and more,11.0
18.07.2020 02:00,15.0,750.4,762.0,77,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,11.0
18.07.2020 01:30,15.0,750.4,762.0,77,Wind blowing from the north-west,6,,,,No Significant Clouds,10.0 and more,11.0
18.07.2020 01:00,16.0,750.5,762.0,68,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,10.0
18.07.2020 00:30,16.0,750.5,762.0,68,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,10.0
18.07.2020 00:00,16.0,751.3,762.8,68,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 23:30,16.0,751.3,762.8,68,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 23:00,16.0,751.3,762.8,68,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 22:30,17.0,751.3,762.8,64,Wind blowing from the west-northwest,4,,,,Broken clouds (60-90%) 1380 m,10.0 and more,10.0
17.07.2020 22:00,17.0,751.3,762.8,64,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 21:30,17.0,751.3,762.8,64,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 21:00,18.0,751.3,762.8,56,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 20:30,18.0,750.6,762.0,56,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 20:00,18.0,750.6,762.0,56,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 19:30,19.0,750.6,762.0,52,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 19:00,20.0,750.6,762.0,49,Wind blowing from the north-northwest,6,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 18:30,21.0,750.7,762.0,50,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,10.0
17.07.2020 18:00,20.0,749.8,761.2,49,Wind blowing from the north-west,6,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 17:30,21.0,749.9,761.2,46,Wind blowing from the north-west,7,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 17:00,22.0,749.9,761.2,41,Wind blowing from the north-northwest,7,,,,No Significant Clouds,10.0 and more,8.0
17.07.2020 16:30,22.0,749.9,761.2,41,Wind blowing from the north-northwest,7,12,,,No Significant Clouds,10.0 and more,8.0
17.07.2020 16:00,22.0,749.9,761.2,41,Wind blowing from the north-northwest,8,,,,No Significant Clouds,10.0 and more,8.0
17.07.2020 15:30,22.0,749.9,761.2,41,Wind blowing from the north-west,8,,,,No Significant Clouds,10.0 and more,8.0
17.07.2020 15:00,22.0,750.7,762.0,44,Wind blowing from the north-west,10,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 14:30,22.0,749.9,761.2,44,Wind blowing from the north-west,8,13,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 14:00,23.0,750.0,761.2,38,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,8.0
17.07.2020 13:30,23.0,750.0,761.2,36,Wind blowing from the north-northwest,6,,,,No Significant Clouds,10.0 and more,7.0
17.07.2020 13:00,23.0,750.0,761.2,41,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 12:30,23.0,750.7,762.0,41,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,9.0
17.07.2020 12:00,22.0,750.7,762.0,44,Wind blowing from the north,6,,,,Few clouds (10-30%) 1440 m,10.0 and more,9.0
17.07.2020 11:30,22.0,750.7,762.0,44,Wind blowing from the north,5,,,,Scattered clouds (40-50%) 1440 m,10.0 and more,9.0
17.07.2020 11:00,22.0,750.7,762.0,44,Wind blowing from the north,5,,,,Scattered clouds (40-50%) 1440 m,10.0 and more,9.0
17.07.2020 10:30,20.0,750.6,762.0,49,Wind blowing from the north-northwest,6,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,9.0
17.07.2020 10:00,20.0,750.6,762.0,53,Wind blowing from the north,5,,,,Scattered clouds (40-50%) 1140 m,10.0 and more,10.0
17.07.2020 09:30,20.0,751.4,762.8,53,Wind blowing from the north-northwest,5,,,,Few clouds (10-30%) 990 m,10.0 and more,10.0
17.07.2020 09:02,20.0,751.4,762.8,56,Wind blowing from the north-northwest,5,,,,Scattered clouds (40-50%) 900 m,10.0 and more,11.0
17.07.2020 09:00,18.0,751.3,762.8,60,Wind blowing from the north-west,4,,,,Few clouds (10-30%) 900 m,10.0 and more,10.0
17.07.2020 08:30,18.0,751.3,762.8,68,Wind blowing from the north-west,4,,,,Few clouds (10-30%) 450 m,10.0 and more,12.0
17.07.2020 08:00,17.0,751.3,762.8,73,Wind blowing from the west-northwest,6,,,,Few clouds (10-30%) 300 m,10.0 and more,12.0
17.07.2020 07:30,17.0,750.5,762.0,73,Wind blowing from the west-northwest,5,,,,Few clouds (10-30%) 300 m,10.0 and more,12.0
17.07.2020 07:00,16.0,750.5,762.0,72,Wind blowing from the west-northwest,4,,,,Few clouds (10-30%) 300 m,10.0 and more,11.0
17.07.2020 06:30,16.0,750.5,762.0,77,Wind blowing from the west-northwest,4,,,,Few clouds (10-30%) 300 m,10.0 and more,12.0
17.07.2020 06:00,16.0,750.5,762.0,72,Wind blowing from the north-west,3,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 2490 m",10.0 and more,11.0
17.07.2020 05:30,15.0,749.6,761.2,82,Wind blowing from the north-west,5,,,,"Few clouds (10-30%) 360 m, broken clouds (60-90%) 2880 m",10.0 and more,12.0
17.07.2020 05:00,15.0,749.6,761.2,77,variable wind direction,1,,,,"Few clouds (10-30%) 270 m, scattered clouds (40-50%) 2100 m, broken clouds (60-90%) 2640 m",10.0 and more,11.0
17.07.2020 04:30,15.0,749.6,761.2,77,variable wind direction,1,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 2640 m",10.0 and more,11.0
17.07.2020 04:00,15.0,749.6,761.2,77,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1320 m, broken clouds (60-90%) 2460 m",10.0 and more,11.0
17.07.2020 03:30,15.0,749.6,761.2,77,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 2580 m",10.0 and more,11.0
17.07.2020 03:00,16.0,749.7,761.2,72,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 2970 m",10.0 and more,11.0
17.07.2020 02:30,15.0,749.6,761.2,82,variable wind direction,1,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 2250 m",10.0 and more,12.0
17.07.2020 02:00,15.0,749.6,761.2,88,variable wind direction,2,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 2550 m",10.0 and more,13.0
17.07.2020 01:30,15.0,749.6,761.2,88,variable wind direction,1,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 2400 m",10.0 and more,13.0
17.07.2020 01:00,15.0,749.6,761.2,88,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 2190 m",10.0 and more,13.0
17.07.2020 00:30,15.0,749.6,761.2,88,Wind blowing from the west-northwest,5,,Light rain,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 1920 m",10.0 and more,13.0
17.07.2020 00:00,15.0,750.4,762.0,88,Wind blowing from the west-northwest,3,,Light rain,,"Few clouds (10-30%) 360 m, broken clouds (60-90%) 1710 m",10.0 and more,13.0
16.07.2020 23:30,16.0,750.5,762.0,77,Wind blowing from the west-northwest,4,,Light rain,,No Significant Clouds,10.0 and more,12.0
16.07.2020 23:00,16.0,749.7,761.2,77,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 22:30,16.0,749.7,761.2,72,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,11.0
16.07.2020 22:00,16.0,749.7,761.2,72,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,11.0
16.07.2020 21:30,17.0,749.7,761.2,73,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 21:00,17.0,749.7,761.2,77,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,13.0
16.07.2020 20:30,18.0,749.8,761.2,73,Wind blowing from the west-northwest,6,,Light rain,,No Significant Clouds,10.0 and more,13.0
16.07.2020 20:00,18.0,749.8,761.2,68,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 19:30,18.0,749.8,761.2,73,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,13.0
16.07.2020 19:00,19.0,749.1,760.5,68,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,13.0
16.07.2020 18:30,19.0,749.1,760.5,73,Wind blowing from the west-northwest,5,,,,Few clouds (10-30%) 1350 m,10.0 and more,14.0
16.07.2020 18:00,20.0,749.2,760.5,64,Wind blowing from the west-northwest,6,,,,Few clouds (10-30%) 1350 m,10.0 and more,13.0
16.07.2020 17:30,20.0,749.2,760.5,60,Wind blowing from the north-west,7,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 17:00,21.0,749.2,760.5,57,Wind blowing from the north-west,6,,,,Few clouds (10-30%) 1410 m,10.0 and more,12.0
16.07.2020 16:30,21.0,749.2,760.5,57,Wind blowing from the west-northwest,8,,,,Few clouds (10-30%) 1350 m,10.0 and more,12.0
16.07.2020 16:00,23.0,749.3,760.5,50,Wind blowing from the west,7,,,,Scattered clouds (40-50%) 1320 m,10.0 and more,12.0
16.07.2020 15:30,23.0,749.3,760.5,50,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 15:00,23.0,749.3,760.5,47,Wind blowing from the west-northwest,7,,,,No Significant Clouds,10.0 and more,11.0
16.07.2020 14:30,23.0,749.3,760.5,50,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,12.0
16.07.2020 14:00,23.0,749.3,760.5,50,Wind blowing from the west,7,,,,Few clouds (10-30%) 1410 m,10.0 and more,12.0
16.07.2020 13:30,23.0,749.3,760.5,53,Wind blowing from the west,7,,,,Scattered clouds (40-50%) 1380 m,10.0 and more,13.0
16.07.2020 13:00,23.0,749.3,760.5,47,Wind blowing from the west,8,,In the vicinity shower(s),,"Few clouds (10-30%) 1350 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 1410 m",10.0 and more,11.0
16.07.2020 12:30,23.0,750.0,761.2,47,Wind blowing from the west-northwest,7,,,,Scattered clouds (40-50%) 1380 m,10.0 and more,11.0
16.07.2020 12:00,22.0,749.9,761.2,53,Wind blowing from the north-west,5,,,,Scattered clouds (40-50%) 1110 m,10.0 and more,12.0
16.07.2020 11:30,22.0,749.9,761.2,61,Wind blowing from the west-northwest,3,,,,Scattered clouds (40-50%) 960 m,10.0 and more,14.0
16.07.2020 11:00,20.0,749.8,761.2,69,Wind blowing from the west,3,,,,"Scattered clouds (40-50%) 750 m, scattered clouds (40-50%) 2400 m",10.0 and more,14.0
16.07.2020 10:30,19.0,749.8,761.2,73,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 630 m, scattered clouds (40-50%) 2250 m",10.0 and more,14.0
16.07.2020 10:19,20.0,749.8,761.2,73,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 540 m, scattered clouds (40-50%) 2280 m",10.0 and more,15.0
16.07.2020 10:00,18.0,750.6,762.0,83,Wind blowing from the west-northwest,5,,Light rain,,"Few clouds (10-30%) 390 m, scattered clouds (40-50%) 1290 m, broken clouds (60-90%) 2760 m",10.0 and more,15.0
16.07.2020 09:30,18.0,749.8,761.2,78,Wind blowing from the west-northwest,7,,Light rain,,"Few clouds (10-30%) 330 m, scattered clouds (40-50%) 960 m, broken clouds (60-90%) 2160 m",10.0 and more,14.0
16.07.2020 09:00,19.0,749.8,761.2,73,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 540 m, scattered clouds (40-50%) 990 m, broken clouds (60-90%) 1830 m",10.0 and more,14.0
16.07.2020 08:30,18.0,749.8,761.2,83,Wind blowing from the west-northwest,4,,,,"Scattered clouds (40-50%) 510 m, broken clouds (60-90%) 1830 m, broken clouds (60-90%) 2370 m",10.0 and more,15.0
16.07.2020 08:00,18.0,749.8,761.2,78,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 2130 m, broken clouds (60-90%) 2820 m",10.0 and more,14.0
16.07.2020 07:30,18.0,749.8,761.2,78,Wind blowing from the west,4,,,,"Few clouds (10-30%) 330 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 2730 m",10.0 and more,14.0
16.07.2020 07:00,17.0,749.7,761.2,83,Wind blowing from the west-northwest,4,,Light rain,,"Few clouds (10-30%) 330 m, broken clouds (60-90%) 1980 m, broken clouds (60-90%) 2610 m",10.0 and more,14.0
16.07.2020 06:30,17.0,749.7,761.2,83,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 360 m, broken clouds (60-90%) 2700 m",10.0 and more,14.0
16.07.2020 06:00,17.0,749.0,760.5,88,Wind blowing from the west-northwest,3,,,,"Few clouds (10-30%) 360 m, scattered clouds (40-50%) 2640 m, broken clouds (60-90%) 3000 m",10.0 and more,15.0
16.07.2020 05:30,17.0,749.0,760.5,83,Wind blowing from the west-northwest,3,,Light rain,,"Few clouds (10-30%) 330 m, scattered clouds (40-50%) 540 m, broken clouds (60-90%) 3000 m",10.0 and more,14.0
