"# Weather station Madrid / Cuatro Vientos (airport), Spain, METAR=LEVS,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LEVS&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Madrid / Cuatro Vientos (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
03.08.2020 23:00,26.0,704.5,762.0,34,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 22:30,27.0,704.7,762.0,30,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 22:00,27.0,704.7,762.0,30,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 21:30,28.0,704.1,761.2,26,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 21:00,28.0,704.1,761.2,26,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 20:30,29.0,704.3,761.2,25,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 20:00,30.0,703.8,760.5,24,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 19:30,31.0,704.0,760.5,21,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,6.0
03.08.2020 19:00,32.0,704.2,760.5,21,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 18:30,33.0,704.4,760.5,20,variable wind direction,2,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 18:00,33.0,704.4,760.5,20,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 17:30,33.0,704.4,760.5,20,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 17:00,33.0,704.4,760.5,21,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 16:30,33.0,705.0,761.2,21,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 16:00,33.0,705.0,761.2,21,variable wind direction,2,7,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 15:30,33.0,705.0,761.2,21,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 15:00,32.0,705.6,762.0,21,variable wind direction,2,,,,No Significant Clouds,10.0 and more,7.0
03.08.2020 14:30,33.0,705.8,762.0,23,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 14:00,31.0,705.4,762.0,24,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 13:30,31.0,706.2,762.8,24,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 13:00,30.0,706.0,762.8,25,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
03.08.2020 12:30,30.0,706.0,762.8,27,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 12:00,29.0,706.4,763.5,29,variable wind direction,1,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 11:30,28.0,706.3,763.5,30,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 11:00,28.0,706.3,763.5,30,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 10:30,26.0,705.9,763.5,37,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 10:00,25.0,705.7,763.5,36,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 09:30,25.0,705.7,763.5,36,variable wind direction,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 09:00,24.0,705.5,763.5,39,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 08:30,23.0,705.3,763.5,44,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 08:00,22.0,704.5,762.8,44,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 07:30,22.0,704.5,762.8,47,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 07:00,21.0,704.3,762.8,50,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 06:30,21.0,704.3,762.8,50,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 06:00,21.0,704.3,762.8,50,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 05:30,21.0,704.3,762.8,50,variable wind direction,2,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 05:00,21.0,704.3,762.8,53,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,11.0
03.08.2020 04:30,21.0,704.3,762.8,53,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,11.0
03.08.2020 04:00,22.0,703.8,762.0,50,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,11.0
03.08.2020 03:30,22.0,704.5,762.8,50,Wind blowing from the east-northeast,3,,,,No Significant Clouds,9,11.0
03.08.2020 03:00,22.0,704.5,762.8,50,variable wind direction,2,,,,No Significant Clouds,10.0 and more,11.0
03.08.2020 02:30,23.0,704.7,762.8,44,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 02:00,23.0,704.7,762.8,44,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 01:30,24.0,704.9,762.8,39,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 01:00,25.0,705.1,762.8,36,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,9.0
03.08.2020 00:30,25.0,705.1,762.8,39,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,10.0
03.08.2020 00:00,25.0,705.1,762.8,36,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 23:30,26.0,705.2,762.8,37,Wind blowing from the north-east,4,,,,No Significant Clouds,9,10.0
02.08.2020 23:00,26.0,705.2,762.8,37,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 22:30,27.0,704.7,762.0,37,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 22:00,28.0,704.9,762.0,35,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 21:30,28.0,704.9,762.0,35,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 21:00,29.0,704.3,761.2,33,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 20:30,30.0,704.5,761.2,33,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,12.0
02.08.2020 20:00,31.0,704.7,761.2,27,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 19:30,31.0,704.0,760.5,25,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 19:00,33.0,704.4,760.5,21,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 18:30,33.0,704.4,760.5,20,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,7.0
02.08.2020 18:00,33.0,704.4,760.5,23,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 17:30,34.0,705.2,761.2,20,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 17:00,35.0,705.4,761.2,18,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,7.0
02.08.2020 16:30,36.0,705.6,761.2,14,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,5.0
02.08.2020 16:00,37.0,705.7,761.2,12,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,3.0
02.08.2020 15:30,37.0,705.7,761.2,11,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,2.0
02.08.2020 15:00,36.0,705.6,761.2,17,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,7.0
02.08.2020 14:30,35.0,706.1,762.0,18,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
02.08.2020 14:00,36.0,706.3,762.0,18,variable wind direction,3,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 13:30,35.0,706.9,762.8,20,variable wind direction,3,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 13:00,34.0,706.7,762.8,20,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 12:30,35.0,706.9,762.8,23,variable wind direction,3,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 12:00,33.0,707.2,763.5,24,variable wind direction,3,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 11:30,32.0,707.0,763.5,27,variable wind direction,3,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 11:00,31.0,706.8,763.5,33,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,13.0
02.08.2020 10:30,31.0,706.8,763.5,33,variable wind direction,1,,,,No Significant Clouds,10.0 and more,13.0
02.08.2020 10:00,29.0,706.4,763.5,43,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
02.08.2020 09:30,28.0,706.3,763.5,42,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
02.08.2020 09:00,27.0,706.1,763.5,45,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
02.08.2020 08:30,27.0,706.1,763.5,45,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
02.08.2020 08:00,25.0,705.7,763.5,51,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,14.0
02.08.2020 07:30,25.0,705.7,763.5,51,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
02.08.2020 07:00,23.0,705.3,763.5,53,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,13.0
02.08.2020 06:30,23.0,705.3,763.5,53,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,13.0
02.08.2020 06:00,23.0,705.3,763.5,50,variable wind direction,1,,,,No Significant Clouds,10.0 and more,12.0
02.08.2020 05:30,23.0,705.3,763.5,47,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
02.08.2020 05:00,23.0,705.3,763.5,44,variable wind direction,1,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 04:30,24.0,705.5,763.5,41,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 04:00,24.0,705.5,763.5,41,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10.0
02.08.2020 03:30,23.0,705.3,763.5,38,Wind blowing from the south-west,1,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 03:00,25.0,705.1,762.8,36,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 02:30,26.0,705.9,763.5,32,variable wind direction,1,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 02:00,26.0,705.9,763.5,32,variable wind direction,1,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 01:30,28.0,706.3,763.5,28,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,8.0
02.08.2020 01:00,28.0,706.3,763.5,30,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 00:30,28.0,706.3,763.5,30,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,9.0
02.08.2020 00:00,28.0,706.3,763.5,30,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,9.0
01.08.2020 23:30,29.0,706.4,763.5,27,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 23:00,28.0,706.3,763.5,28,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 22:30,29.0,706.4,763.5,27,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 22:00,30.0,706.6,763.5,27,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,9.0
01.08.2020 21:30,31.0,706.8,763.5,22,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 21:00,32.0,706.3,762.8,22,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 20:30,33.0,706.5,762.8,20,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 20:00,34.0,706.7,762.8,17,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 19:30,35.0,706.9,762.8,16,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 19:00,36.0,707.0,762.8,13,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,4.0
01.08.2020 18:30,36.0,707.0,762.8,14,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,5.0
01.08.2020 18:00,38.0,707.4,762.8,12,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,4.0
01.08.2020 17:30,38.0,707.4,762.8,10,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,2.0
01.08.2020 17:00,39.0,707.6,762.8,11,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,3.0
01.08.2020 16:30,38.0,707.4,762.8,10,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,2.0
01.08.2020 16:00,38.0,707.4,762.8,10,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,1.0
01.08.2020 15:30,38.0,707.4,762.8,9,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,0.0
01.08.2020 15:00,38.0,708.0,763.5,8,Wind blowing from the south-west,5,11,,,No Significant Clouds,10.0 and more,-2.0
01.08.2020 14:30,38.0,708.0,763.5,9,Wind blowing from the south-west,5,10,,,No Significant Clouds,10.0 and more,0.0
01.08.2020 14:00,38.0,708.0,763.5,9,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,0.0
01.08.2020 13:30,37.0,708.6,764.3,9,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,-1.0
01.08.2020 13:00,37.0,708.6,764.3,9,Wind blowing from the south,6,,,,No Significant Clouds,10.0 and more,-1.0
01.08.2020 12:30,36.0,708.4,764.3,12,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,2.0
01.08.2020 12:00,35.0,708.3,764.3,15,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,5.0
01.08.2020 11:30,35.0,708.3,764.3,16,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 11:00,34.0,708.7,765.0,20,Wind blowing from the south-southwest,5,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 10:30,33.0,707.9,764.3,20,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 10:00,32.0,707.7,764.3,22,Wind blowing from the south-southwest,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 09:30,31.0,707.5,764.3,22,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 09:00,29.0,707.2,764.3,23,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 08:30,28.0,707.0,764.3,28,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 08:00,26.0,706.6,764.3,32,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 07:30,26.0,706.6,764.3,30,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 07:00,24.0,706.3,764.3,36,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 06:30,21.0,705.7,764.3,43,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 06:00,22.0,705.1,763.5,38,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 05:30,22.0,705.1,763.5,38,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 05:00,24.0,705.5,763.5,34,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 04:30,23.0,705.3,763.5,36,variable wind direction,1,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 04:00,24.0,704.9,762.8,34,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 03:30,24.0,704.9,762.8,36,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,8.0
01.08.2020 03:00,24.0,704.9,762.8,31,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 02:30,26.0,705.2,762.8,28,Wind blowing from the south-southwest,1,,,,No Significant Clouds,10.0 and more,6.0
01.08.2020 02:00,26.0,705.2,762.8,26,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,5.0
01.08.2020 01:30,27.0,706.1,763.5,28,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 01:00,26.0,705.9,763.5,30,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,7.0
01.08.2020 00:00,27.0,706.1,763.5,30,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,8.0
31.07.2020 23:30,27.0,706.1,763.5,28,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 23:00,28.0,706.3,763.5,26,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 22:30,28.0,706.3,763.5,26,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 22:00,29.0,705.8,762.8,25,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 21:30,30.0,706.0,762.8,22,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,6.0
31.07.2020 21:00,30.0,706.0,762.8,20,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,5.0
31.07.2020 20:30,33.0,706.5,762.8,17,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,5.0
31.07.2020 20:00,35.0,706.9,762.8,14,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,4.0
31.07.2020 19:30,37.0,706.5,762.0,12,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,3.0
31.07.2020 19:00,38.0,706.6,762.0,10,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,2.0
31.07.2020 18:30,38.0,706.6,762.0,12,Wind blowing from the south-southwest,5,10,,,No Significant Clouds,10.0 and more,4.0
31.07.2020 18:00,38.0,706.6,762.0,10,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,1.0
31.07.2020 17:30,38.0,707.4,762.8,12,Wind blowing from the south-west,6,,,,No Significant Clouds,10.0 and more,4.0
31.07.2020 17:00,38.0,707.4,762.8,9,Wind blowing from the south-southwest,6,,,,No Significant Clouds,10.0 and more,0.0
31.07.2020 16:30,38.0,707.4,762.8,12,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,4.0
31.07.2020 16:00,38.0,707.4,762.8,13,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,5.0
31.07.2020 15:30,39.0,707.6,762.8,11,Wind blowing from the south-southwest,5,,,,No Significant Clouds,10.0 and more,4.0
31.07.2020 15:00,38.0,708.0,763.5,15,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 14:30,37.0,707.9,763.5,16,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 14:00,37.0,707.9,763.5,15,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,6.0
31.07.2020 13:30,36.0,707.7,763.5,17,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 13:00,36.0,707.7,763.5,17,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
31.07.2020 12:30,35.0,707.5,763.5,22,variable wind direction,4,,,,No Significant Clouds,10.0 and more,10.0
31.07.2020 12:00,34.0,707.3,763.5,24,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 11:30,34.0,707.3,763.5,24,variable wind direction,2,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 11:00,34.0,708.1,764.3,23,variable wind direction,2,,,,No Significant Clouds,10.0 and more,10.0
31.07.2020 10:30,33.0,707.9,764.3,26,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 10:00,32.0,707.7,764.3,27,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 09:30,30.0,707.4,764.3,33,variable wind direction,2,,,,No Significant Clouds,10.0 and more,12.0
31.07.2020 09:00,29.0,706.4,763.5,35,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,12.0
31.07.2020 08:30,29.0,706.4,763.5,33,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 08:00,27.0,706.1,763.5,39,variable wind direction,1,,,,No Significant Clouds,10.0 and more,12.0
31.07.2020 07:30,27.0,706.1,763.5,39,variable wind direction,1,,,,No Significant Clouds,10.0 and more,12.0
31.07.2020 07:00,25.0,705.7,763.5,42,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 06:30,23.0,704.7,762.8,47,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 06:00,23.0,704.7,762.8,50,variable wind direction,1,,,,No Significant Clouds,10.0 and more,12.0
31.07.2020 05:30,23.0,704.7,762.8,47,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 05:00,24.0,704.9,762.8,44,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 04:30,24.0,704.9,762.8,44,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 04:00,24.0,704.9,762.8,44,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,11.0
31.07.2020 03:30,22.0,704.5,762.8,47,Wind blowing from the west-southwest,1,,,,No Significant Clouds,10.0 and more,10.0
31.07.2020 03:00,25.0,705.1,762.8,36,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,9.0
31.07.2020 02:30,26.0,704.5,762.0,37,variable wind direction,1,,,,No Significant Clouds,10.0 and more,10.0
31.07.2020 02:00,26.0,704.5,762.0,34,variable wind direction,1,,,,No Significant Clouds,10.0 and more,9.0
31.07.2020 01:30,24.0,704.1,762.0,36,variable wind direction,1,,,,No Significant Clouds,10.0 and more,8.0
31.07.2020 01:00,28.0,704.9,762.0,32,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,10.0
31.07.2020 00:30,26.0,704.5,762.0,34,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,9.0
31.07.2020 00:00,26.0,704.5,762.0,34,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 23:30,27.0,704.7,762.0,32,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 23:00,27.0,704.7,762.0,32,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 22:30,28.0,704.9,762.0,30,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 22:00,28.0,704.1,761.2,30,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 21:30,31.0,704.7,761.2,25,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 21:00,32.0,704.2,760.5,24,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 20:30,34.0,704.6,760.5,21,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,9.0
30.07.2020 20:00,36.0,704.2,759.7,14,Wind blowing from the south-southwest,7,,,,No Significant Clouds,10.0 and more,5.0
30.07.2020 19:30,37.0,704.3,759.7,15,Wind blowing from the south-southwest,8,,,,No Significant Clouds,10.0 and more,6.0
30.07.2020 19:00,38.0,703.9,759.0,14,Wind blowing from the south-southwest,7,,,,No Significant Clouds,10.0 and more,6.0
30.07.2020 18:30,38.0,703.9,759.0,14,Wind blowing from the south,9,14,,,No Significant Clouds,10.0 and more,6.0
30.07.2020 18:00,40.0,704.2,759.0,13,Wind blowing from the south-southwest,7,,,,"Few clouds (10-30%) 600 m, cumulus congestus of great vertical extent",10.0 and more,7.0
30.07.2020 17:30,39.0,704.0,759.0,17,Wind blowing from the south,6,,,,"Scattered clouds (40-50%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,10.0
30.07.2020 17:00,39.0,704.0,759.0,17,Wind blowing from the south-southwest,7,,,,"Scattered clouds (40-50%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,10.0
30.07.2020 16:30,39.0,704.7,759.7,16,Wind blowing from the south-southwest,5,,,,"Few clouds (10-30%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,9.0
30.07.2020 16:00,39.0,704.7,759.7,17,Wind blowing from the south,6,11,,,"Few clouds (10-30%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,10.0
30.07.2020 15:30,38.0,705.3,760.5,18,Wind blowing from the south,7,,,,No Significant Clouds,10.0 and more,10.0
30.07.2020 15:00,39.0,705.4,760.5,17,Wind blowing from the south-southeast,6,11,,,"Few clouds (10-30%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,10.0
30.07.2020 14:30,39.0,706.1,761.2,18,Wind blowing from the south-southeast,6,11,,,"Few clouds (10-30%) 1950 m, cumulus congestus of great vertical extent",10.0 and more,11.0
30.07.2020 14:00,38.0,705.9,761.2,21,Wind blowing from the east-southeast,4,,,,No Significant Clouds,10.0 and more,12.0
30.07.2020 13:30,37.0,706.5,762.0,21,Wind blowing from the south-southeast,5,,,,"Few clouds (10-30%) 1800 m, cumulus congestus of great vertical extent",10.0 and more,11.0
30.07.2020 13:00,36.0,706.3,762.0,23,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 1800 m, cumulus congestus of great vertical extent",10.0 and more,12.0
30.07.2020 12:30,36.0,707.0,762.8,22,variable wind direction,4,,,,"Few clouds (10-30%) 1740 m, cumulus congestus of great vertical extent",10.0 and more,11.0
30.07.2020 12:00,34.0,706.7,762.8,24,variable wind direction,3,,,,No Significant Clouds,10.0 and more,11.0
30.07.2020 11:30,35.0,706.9,762.8,26,variable wind direction,2,,,,No Significant Clouds,10.0 and more,13.0
30.07.2020 11:00,32.0,706.3,762.8,29,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,12.0
30.07.2020 10:30,32.0,706.3,762.8,33,variable wind direction,2,,,,"Few clouds (10-30%) 1050 m, cumulus congestus of great vertical extent",10.0 and more,14.0
30.07.2020 10:00,31.0,706.2,762.8,33,variable wind direction,2,,,,"Few clouds (10-30%) 750 m, cumulus congestus of great vertical extent",10.0 and more,13.0
30.07.2020 09:30,30.0,706.0,762.8,35,Wind blowing from the east-northeast,2,,,,"Few clouds (10-30%) 540 m, cumulus congestus of great vertical extent",10.0 and more,13.0
