# Weather station Cardiff (airport), UK, METAR=EGFF,selection from 27.02.2020 till 11.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGFF&lang=en
#
"Local time in Cardiff (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"16.09.2020 11:20";"21.0";"762.1";"768.1";"83";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"18.0";
"16.09.2020 10:50";"19.0";"762.1";"768.1";"88";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"16.09.2020 10:20";"18.0";"762.1";"768.1";"100";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"18.0";
"16.09.2020 09:50";"18.0";"762.1";"768.1";"100";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"18.0";
"16.09.2020 09:20";"17.0";"762.1";"768.1";"100";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 90 m";"10.0 and more";"17.0";
"16.09.2020 08:50";"16.0";"762.0";"768.1";"100";"variable wind direction";"1";"";"Mist";"";"Overcast (100%) 30 m";"4.7";"16.0";
"16.09.2020 08:20";"16.0";"762.0";"768.1";"100";"variable wind direction";"1";"";"Mist";"";"Overcast (100%) 30 m";"1.0";"16.0";
"16.09.2020 07:50";"16.0";"762.0";"768.1";"100";"Wind blowing from the north-west";"2";"";"Mist";"";"Vertical visibility";"1.2";"16.0";
"16.09.2020 07:20";"15.0";"761.2";"767.3";"100";"Wind blowing from the north-west";"3";"";"Fog";"";"Vertical visibility";"0.3";"15.0";
"16.09.2020 06:50";"15.0";"761.2";"767.3";"100";"Wind blowing from the west-northwest";"4";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 06:20";"15.0";"761.2";"767.3";"100";"Wind blowing from the north-west";"3";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 05:50";"15.0";"761.2";"767.3";"100";"Wind blowing from the west-northwest";"3";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 05:20";"15.0";"760.5";"766.6";"100";"Wind blowing from the west";"2";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 04:50";"15.0";"760.5";"766.6";"100";"Wind blowing from the west-northwest";"2";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 04:20";"15.0";"760.5";"766.6";"100";"Wind blowing from the west-northwest";"3";"";"Fog";"";"Vertical visibility";"0.2";"15.0";
"16.09.2020 03:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"4";"";"Fog";"";"Vertical visibility";"0.3";"16.0";
"16.09.2020 03:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"3";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 02:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"4";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 02:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 01:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 01:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"4";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 00:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the north-west";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"16.09.2020 00:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 23:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 23:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 22:50";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 22:20";"16.0";"760.6";"766.6";"100";"Wind blowing from the west-northwest";"4";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 21:50";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.2";"16.0";
"15.09.2020 21:20";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"5";"";"Fog";"";"Vertical visibility";"0.3";"16.0";
"15.09.2020 20:50";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"6";"";"Fog";"";"Vertical visibility";"0.3";"16.0";
"15.09.2020 20:20";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"5";"";"Mist";"";"Overcast (100%) 30 m";"1.0";"16.0";
"15.09.2020 19:50";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"6";"";"Mist";"";"Overcast (100%) 30 m";"1.4";"16.0";
"15.09.2020 19:20";"16.0";"759.8";"765.8";"100";"Wind blowing from the west-northwest";"6";"";"Mist";"";"Overcast (100%) 30 m";"5.0";"16.0";
"15.09.2020 18:50";"16.0";"759.0";"765.0";"100";"Wind blowing from the west-northwest";"5";"";"Mist";"";"Overcast (100%) 30 m";"2.8";"16.0";
"15.09.2020 18:20";"17.0";"759.0";"765.0";"94";"Wind blowing from the west-northwest";"5";"";"";"";"Scattered clouds (40-50%) 120 m";"9.0";"16.0";
"15.09.2020 17:50";"18.0";"759.0";"765.0";"88";"Wind blowing from the west-northwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 17:20";"19.0";"759.0";"765.0";"78";"Wind blowing from the west-northwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 16:50";"19.0";"758.3";"764.3";"83";"Wind blowing from the west-northwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 16:20";"19.0";"758.3";"764.3";"83";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 15:50";"20.0";"758.4";"764.3";"78";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 15:20";"20.0";"758.4";"764.3";"73";"Wind blowing from the west-northwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 14:50";"20.0";"758.4";"764.3";"73";"Wind blowing from the west-northwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 14:20";"20.0";"758.4";"764.3";"78";"Wind blowing from the west-northwest";"4";"";"";"";"Few clouds (10-30%) 1440 m";"10.0 and more";"16.0";
"15.09.2020 13:50";"19.0";"758.3";"764.3";"83";"Wind blowing from the west-northwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 13:20";"20.0";"758.4";"764.3";"78";"Wind blowing from the north-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 12:50";"20.0";"758.4";"764.3";"78";"Wind blowing from the north-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 12:20";"20.0";"758.4";"764.3";"78";"Wind blowing from the west-northwest";"7";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"15.09.2020 11:50";"21.0";"758.4";"764.3";"69";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 11:20";"21.0";"758.4";"764.3";"69";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 10:50";"22.0";"758.4";"764.3";"65";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 10:20";"22.0";"758.4";"764.3";"61";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"15.09.2020 09:50";"20.0";"758.4";"764.3";"73";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 09:20";"20.0";"758.4";"764.3";"73";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"15.09.2020 08:50";"20.0";"758.4";"764.3";"69";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"15.09.2020 08:20";"19.0";"757.5";"763.5";"73";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"15.09.2020 07:50";"18.0";"757.5";"763.5";"78";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"15.09.2020 07:20";"18.0";"757.5";"763.5";"73";"Wind blowing from the north-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"15.09.2020 06:50";"18.0";"757.5";"763.5";"68";"Wind blowing from the north-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 06:20";"17.0";"757.5";"763.5";"77";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"15.09.2020 05:50";"16.0";"756.8";"762.8";"77";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 05:20";"17.0";"756.8";"762.8";"73";"Wind blowing from the north-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 04:50";"17.0";"756.8";"762.8";"73";"Wind blowing from the north-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 04:20";"17.0";"756.8";"762.8";"73";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 03:50";"17.0";"756.8";"762.8";"73";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 03:20";"17.0";"756.8";"762.8";"73";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 02:50";"17.0";"756.8";"762.8";"73";"Wind blowing from the north-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 02:20";"18.0";"757.5";"763.5";"68";"Wind blowing from the north-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 01:50";"18.0";"757.5";"763.5";"68";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 01:20";"19.0";"757.5";"763.5";"60";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"15.09.2020 00:50";"19.0";"757.5";"763.5";"64";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"15.09.2020 00:20";"19.0";"757.5";"763.5";"64";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 23:50";"20.0";"757.6";"763.5";"60";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 23:20";"20.0";"757.6";"763.5";"60";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 22:50";"19.0";"757.5";"763.5";"68";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 22:20";"19.0";"757.5";"763.5";"68";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 21:50";"19.0";"757.5";"763.5";"68";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 21:20";"21.0";"757.6";"763.5";"57";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 20:50";"20.0";"757.6";"763.5";"64";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 20:20";"20.0";"757.6";"763.5";"64";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 19:50";"21.0";"757.6";"763.5";"60";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 19:20";"22.0";"757.6";"763.5";"57";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 18:50";"22.0";"757.6";"763.5";"57";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 18:20";"22.0";"757.6";"763.5";"57";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 17:50";"23.0";"757.6";"763.5";"53";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 17:20";"23.0";"757.6";"763.5";"50";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 16:50";"25.0";"757.7";"763.5";"44";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 16:20";"25.0";"757.7";"763.5";"44";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 15:50";"26.0";"757.7";"763.5";"42";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 15:20";"26.0";"758.5";"764.3";"45";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 14:50";"26.0";"758.5";"764.3";"48";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 14:20";"26.0";"758.5";"764.3";"51";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 13:50";"26.0";"758.5";"764.3";"51";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 13:20";"25.0";"759.2";"765.0";"57";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"14.09.2020 12:50";"24.0";"759.1";"765.0";"57";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 12:20";"24.0";"759.1";"765.0";"57";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 11:50";"22.0";"759.1";"765.0";"65";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 11:20";"22.0";"759.9";"765.8";"65";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 10:50";"21.0";"759.9";"765.8";"64";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 10:20";"20.0";"759.8";"765.8";"73";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 09:50";"19.0";"759.8";"765.8";"73";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 09:20";"18.0";"759.8";"765.8";"78";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 08:50";"17.0";"759.8";"765.8";"88";"Wind blowing from the east-northeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 08:20";"16.0";"759.8";"765.8";"94";"Wind blowing from the east-northeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"14.09.2020 07:50";"15.0";"759.7";"765.8";"94";"Wind blowing from the east-northeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 07:20";"14.0";"759.7";"765.8";"100";"Wind blowing from the east-northeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"14.09.2020 06:50";"13.0";"759.7";"765.8";"100";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 06:20";"12.0";"759.7";"765.8";"100";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 05:50";"12.0";"759.7";"765.8";"100";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 05:20";"12.0";"759.7";"765.8";"100";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 04:50";"12.0";"759.7";"765.8";"100";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 04:20";"12.0";"759.7";"765.8";"100";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"14.09.2020 03:50";"13.0";"759.7";"765.8";"100";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 03:20";"12.0";"759.7";"765.8";"100";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"7.0";"12.0";
"14.09.2020 02:50";"13.0";"760.5";"766.6";"100";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"9.0";"13.0";
"14.09.2020 02:20";"13.0";"760.5";"766.6";"100";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 01:50";"13.0";"760.5";"766.6";"100";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 01:20";"13.0";"760.5";"766.6";"100";"Wind blowing from the east-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 00:50";"13.0";"760.5";"766.6";"100";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"14.09.2020 00:20";"13.0";"760.5";"766.6";"100";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"13.09.2020 23:50";"13.0";"761.2";"767.3";"100";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"13.09.2020 23:20";"15.0";"761.2";"767.3";"94";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 22:50";"14.0";"761.2";"767.3";"100";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 22:20";"15.0";"760.5";"766.6";"94";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 21:50";"15.0";"760.5";"766.6";"100";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 21:20";"15.0";"761.2";"767.3";"94";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 20:50";"16.0";"761.3";"767.3";"88";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 20:20";"15.0";"760.5";"766.6";"94";"Wind blowing from the east-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 19:50";"16.0";"760.6";"766.6";"83";"Wind blowing from the east-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"13.09.2020 19:20";"16.0";"760.6";"766.6";"83";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"13.09.2020 18:50";"17.0";"760.6";"766.6";"83";"Wind blowing from the south-southwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 18:20";"18.0";"760.6";"766.6";"78";"Wind blowing from the south-southwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 17:50";"19.0";"760.6";"766.6";"78";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 17:20";"19.0";"760.6";"766.6";"78";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 16:50";"20.0";"760.6";"766.6";"73";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 16:20";"20.0";"760.6";"766.6";"73";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 15:50";"21.0";"761.4";"767.3";"69";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 15:20";"21.0";"761.4";"767.3";"69";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 14:50";"20.0";"761.3";"767.3";"73";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"13.09.2020 14:20";"21.0";"761.4";"767.3";"64";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 13:50";"21.0";"761.4";"767.3";"64";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 13:20";"21.0";"762.1";"768.1";"64";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 12:50";"20.0";"762.1";"768.1";"69";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 12:20";"20.0";"762.1";"768.1";"69";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 11:50";"19.0";"762.1";"768.1";"73";"Wind blowing from the west-northwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 11:20";"19.0";"762.1";"768.1";"73";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 10:50";"19.0";"762.1";"768.1";"73";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 10:20";"18.0";"762.1";"768.1";"78";"Wind blowing from the west";"6";"";"";"";"Scattered clouds (40-50%) 450 m";"10.0 and more";"14.0";
"13.09.2020 09:50";"18.0";"762.1";"768.1";"78";"Wind blowing from the west";"6";"";"";"";"Scattered clouds (40-50%) 360 m";"10.0 and more";"14.0";
"13.09.2020 09:20";"17.0";"762.1";"768.1";"83";"Wind blowing from the west";"5";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"14.0";
"13.09.2020 08:50";"17.0";"762.1";"768.1";"83";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 08:20";"16.0";"761.3";"767.3";"88";"Wind blowing from the west";"5";"";"";"";"Broken clouds (60-90%) 330 m";"10.0 and more";"14.0";
"13.09.2020 07:50";"16.0";"761.3";"767.3";"88";"Wind blowing from the west";"4";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"14.0";
"13.09.2020 07:20";"16.0";"761.3";"767.3";"88";"Wind blowing from the west";"5";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"14.0";
"13.09.2020 06:50";"15.0";"761.2";"767.3";"94";"Wind blowing from the south-west";"3";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"14.0";
"13.09.2020 06:20";"14.0";"761.2";"767.3";"100";"Wind blowing from the west-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"13.09.2020 05:50";"15.0";"760.5";"766.6";"88";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"13.09.2020 05:20";"15.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"3";"";"";"";"Scattered clouds (40-50%) 300 m";"10.0 and more";"14.0";
"13.09.2020 04:50";"15.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"3";"";"In the vicinity thunderstorm";"";"Broken clouds (60-90%) 330 m, cumulonimbus clouds";"10.0 and more";"14.0";
"13.09.2020 04:20";"15.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"3";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"14.0";
"13.09.2020 03:50";"15.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"4";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"14.0";
"13.09.2020 03:20";"15.0";"760.5";"766.6";"94";"Wind blowing from the west";"4";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"14.0";
"13.09.2020 02:50";"15.0";"760.5";"766.6";"94";"Wind blowing from the west";"4";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"14.0";
"13.09.2020 02:20";"15.0";"760.5";"766.6";"88";"Wind blowing from the west";"5";"";"";"";"Broken clouds (60-90%) 330 m";"10.0 and more";"13.0";
"13.09.2020 01:50";"14.0";"760.5";"766.6";"88";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"13.09.2020 01:20";"14.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"13.09.2020 00:50";"15.0";"760.5";"766.6";"77";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"13.09.2020 00:20";"15.0";"760.5";"766.6";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 23:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 23:20";"15.0";"760.5";"766.6";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 22:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 22:20";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 21:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 21:20";"15.0";"761.2";"767.3";"82";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 20:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 510 m";"10.0 and more";"12.0";
"12.09.2020 20:20";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 19:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"12.0";
"12.09.2020 19:20";"15.0";"760.5";"766.6";"77";"Wind blowing from the west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"12.09.2020 18:50";"15.0";"760.5";"766.6";"82";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"12.09.2020 18:20";"15.0";"759.7";"765.8";"82";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
