"# Weather station Shoreham-by-Sea (airport), UK, WMO_ID=3876,selection from 05.02.2020 till 11.11.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3876&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Shoreham-by-Sea (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
26.08.2020 17:00,19.9,763.0,763.2,0.9,69,Wind blowing from the west-southwest,7,,13,, ,,,,,,,,,,,14.1,,,,,,
26.08.2020 16:00,19.9,762.9,763.0,1.4,72,Wind blowing from the west-southwest,10,,14,, ,,,,,,,,,,,14.6,,,,,,
26.08.2020 15:00,20.4,762.7,762.8,1.5,72,Wind blowing from the south-west,11,16,16,, ,,,,,,,,,,,15.2,,,,,,
26.08.2020 14:00,19.8,762.1,762.3,1.2,73,Wind blowing from the west-southwest,11,16,16,, ,,,,,,,,,,,14.7,,,,,,
26.08.2020 13:00,21.1,761.5,761.8,1.1,69,Wind blowing from the west-southwest,9,,,, ,,,,,,,,,,,15.1,,,,,,
26.08.2020 12:00,20.2,761.2,761.4,1.5,62,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,12.6,No precipitation,6,,,,
26.08.2020 11:00,20.7,760.9,761.1,2.0,60,Wind blowing from the west,8,,,, ,,,,,,,,,,,12.7,,,,,,
26.08.2020 10:00,19.8,760.4,760.6,2.2,68,Wind blowing from the west,6,,,, ,,,,,,,,,,,13.6,,,,,,
26.08.2020 09:00,18.5,759.7,760.0,2.2,70,Wind blowing from the west,6,,,, ,,,,,,,,,,,12.9,,,,,,
26.08.2020 08:00,17.2,758.9,759.1,2.5,72,Wind blowing from the west,7,12,,, ,,,,,,,,,,,12.1,,,,,,
26.08.2020 07:00,16.6,758.2,758.3,3.1,73,Wind blowing from the west,5,,,, ,,,,,,,,,,,11.6,,,,,,
26.08.2020 06:00,15.9,757.5,757.6,2.5,75,Wind blowing from the west,5,,,, ,,,15.6,,,,,,,,11.5,0.2,12,,,,
26.08.2020 05:00,16.2,756.4,756.5,1.7,74,Wind blowing from the west,8,,14,, ,,,,,,,,,,,11.5,,,,,,
26.08.2020 04:00,16.5,755.1,755.2,1.1,72,Wind blowing from the west-southwest,10,16,16,, ,,,,,,,,,,,11.5,,,,,,
26.08.2020 03:00,16.5,755.0,755.2,1.6,73,Wind blowing from the west-southwest,10,15,15,, ,,,,,,,,,,,11.6,,,,,,
26.08.2020 02:00,16.6,754.7,754.9,1.9,74,Wind blowing from the west-southwest,8,,17,, ,,,,,,,,,,,11.9,,,,,,
26.08.2020 01:00,16.9,754.0,754.2,1.5,76,Wind blowing from the west-southwest,11,17,20,, ,,,,,,,,,,,12.7,,,,,,
26.08.2020 00:00,17.5,753.4,753.5,1.5,77,Wind blowing from the west-southwest,12,19,21,, ,,,,,,,,,,,13.4,0.2,6,,,,
25.08.2020 23:00,17.4,752.8,752.9,1.2,78,Wind blowing from the west-southwest,13,19,19,, ,,,,,,,,,,,13.5,,,,,,
25.08.2020 22:00,17.1,752.5,752.6,1.2,83,Wind blowing from the west-southwest,14,,22,, ,,,,,,,,,,,14.1,,,,,,
25.08.2020 21:00,17.7,751.9,752.1,1.0,80,Wind blowing from the west-southwest,14,22,22,, ,,,,,,,,,,,14.1,,,,,,
25.08.2020 20:00,17.9,751.6,751.8,0.7,80,Wind blowing from the west-southwest,14,19,21,, ,,,,,,,,,,,14.3,,,,,,
25.08.2020 19:00,18.1,751.3,751.4,0.6,81,Wind blowing from the south-west,13,20,23,, ,,,,,,,,,,,14.7,,,,,,
25.08.2020 18:00,18.2,750.9,751.0,0.5,81,Wind blowing from the south-west,14,20,22,, ,,,,20.3,,,,,,,14.9,3,12,,,,
25.08.2020 17:00,18.5,750.9,751.0,0.3,82,Wind blowing from the south-west,14,21,23,, ,,,,,,,,,,,15.3,,,,,,
25.08.2020 16:00,18.9,750.7,750.9,,81,Wind blowing from the south-west,15,,45,, ,,,,,,,,,,,15.6,,,,,,
25.08.2020 15:00,19.3,750.4,750.5,0.0,79,Wind blowing from the south-west,15,22,26,, ,,,,,,,,,,,15.6,,,,,,
25.08.2020 14:00,19.2,750.6,750.7,0.2,80,Wind blowing from the south-west,15,22,22,, ,,,,,,,,,,,15.7,,,,,,
25.08.2020 13:00,19.0,750.7,750.8,-0.3,80,Wind blowing from the south-west,13,21,21,, ,,,,,,,,,,,15.5,,,,,,
25.08.2020 12:00,19.9,750.4,750.7,-1.5,84,Wind blowing from the south-west,13,,20,, ,,,,,,,,,,,17.1,3,6,,,,
25.08.2020 11:00,18.2,750.4,750.6,-2.9,97,Wind blowing from the south-southwest,12,19,20,, ,,,,,,,,,,,17.7,,,,,,
25.08.2020 10:00,17.3,751.0,751.2,-2.7,96,Wind blowing from the south,13,,17,, ,,,,,,,,,,,16.7,,,,,,
25.08.2020 09:00,16.7,751.9,752.1,-2.9,95,Wind blowing from the south,10,15,16,, ,,,,,,,,,,,15.9,,,,,,
25.08.2020 08:00,16.2,753.3,753.4,-2.1,90,Wind blowing from the south,12,17,17,, ,,,,,,,,,,,14.6,,,,,,
25.08.2020 07:00,16.6,753.7,753.9,-2.4,93,Wind blowing from the south,10,15,15,, ,,,,,,,,,,,15.4,,,,,,
25.08.2020 06:00,16.1,754.8,755.0,-2.2,96,Wind blowing from the south,10,,15,, ,,,15.6,,,,,,,,15.4,5,12,,,,
25.08.2020 05:00,16.6,755.4,755.6,-2.1,89,Wind blowing from the south,10,,14,, ,,,,,,,,,,,14.7,,,,,,
25.08.2020 04:00,16.8,756.1,756.2,-2.1,92,Wind blowing from the south,8,,,, ,,,,,,,,,,,15.5,,,,,,
25.08.2020 03:00,16.9,757.0,757.2,-1.9,93,Wind blowing from the south,8,,,, ,,,,,,,,,,,15.7,,,,,,
25.08.2020 02:00,17.3,757.5,757.6,-2.1,92,Wind blowing from the south-southwest,8,,,, ,,,,,,,,,,,15.9,,,,,,
25.08.2020 01:00,17.9,758.2,758.4,-1.9,88,Wind blowing from the south,7,,,, ,,,,,,,,,,,15.8,,,,,,
25.08.2020 00:00,17.9,758.9,759.1,,84,Wind blowing from the south-southwest,7,,,, ,,,,,,,,,,,15.2,1,6,,,,
24.08.2020 23:00,17.7,759.6,759.7,-1.4,86,Wind blowing from the south,5,,,, ,,,,,,,,,,,15.4,,,,,,
24.08.2020 22:00,17.4,760.1,760.3,-1.1,90,Wind blowing from the south,5,,,, ,,,,,,,,,,,15.7,,,,,,
24.08.2020 21:00,16.1,760.8,760.9,-0.4,96,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,15.4,,,,,,
24.08.2020 20:00,16.9,761.0,761.2,-0.2,90,Wind blowing from the south-west,6,,,, ,,,,,,,,,,,15.3,,,,,,
24.08.2020 19:00,17.7,761.2,761.3,-0.3,83,Wind blowing from the west-southwest,8,,13,, ,,,,,,,,,,,14.7,,,,,,
24.08.2020 18:00,17.9,761.2,761.3,-0.6,82,Wind blowing from the south-west,8,,13,, ,,,,20.6,,,,,,,14.7,7,12,,,,
24.08.2020 17:00,18.8,761.2,761.5,-0.9,79,Wind blowing from the south-west,8,,14,, ,,,,,,,,,,,15.1,,,,,,
24.08.2020 16:00,19.4,761.5,761.7,-0.6,82,Wind blowing from the south-west,9,,13,, ,,,,,,,,,,,16.3,,,,,,
24.08.2020 15:00,19.2,761.8,762.0,-0.3,83,Wind blowing from the south-west,8,,,, ,,,,,,,,,,,16.3,,,,,,
24.08.2020 14:00,17.8,762.1,762.2,-0.4,93,Wind blowing from the south-west,8,,,, ,,,,,,,,,,,16.6,,,,,,
24.08.2020 13:00,19.1,762.1,762.2,-0.6,78,Wind blowing from the south-west,7,,,, ,,,,,,,,,,,15.2,,,,,,
24.08.2020 12:00,19.6,762.1,762.3,-0.7,82,Wind blowing from the south-southwest,5,,,, ,,,,,,,,,,,16.4,No precipitation,6,,,,
24.08.2020 11:00,19.2,762.5,762.7,-0.3,84,Wind blowing from the south-southwest,5,,,, ,,,,,,,,,,,16.4,,,,,,
24.08.2020 10:00,17.9,762.7,762.9,-0.1,78,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,13.9,,,,,,
24.08.2020 09:00,17.4,762.8,763.0,0.2,74,Wind blowing from the west,5,,,, ,,,,,,,,,,,12.7,,,,,,
24.08.2020 08:00,16.4,762.8,763.0,0.6,82,Wind blowing from the west,4,,,, ,,,,,,,,,,,13.2,,,,,,
24.08.2020 07:00,15.2,762.8,763.0,0.1,86,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,12.9,,,,,,
24.08.2020 06:00,14.3,762.6,762.7,-0.3,88,Wind blowing from the south-west,1,,,, ,,,13.1,,,,,,,,12.3,No precipitation,12,,,,
24.08.2020 05:00,14.2,762.2,762.4,-0.7,86,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,11.8,,,,,,
24.08.2020 04:00,14.4,762.7,762.8,-0.4,82,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,11.4,,,,,,
24.08.2020 03:00,14.5,762.9,763.0,-0.4,83,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.6,,,,,,
24.08.2020 02:00,13.9,762.9,763.0,-0.7,84,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,11.2,,,,,,
24.08.2020 01:00,14.3,763.1,763.3,-0.5,80,Wind blowing from the west,4,,,, ,,,,,,,,,,,10.8,,,,,,
24.08.2020 00:00,13.9,763.3,763.6,,80,Wind blowing from the west,2,,,, ,,,,,,,,,,,10.4,No precipitation,6,,,,
23.08.2020 23:00,15.2,763.6,763.7,0.0,75,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.7,,,,,,
23.08.2020 22:00,16.1,763.6,763.9,0.3,71,Wind blowing from the west,4,,,, ,,,,,,,,,,,10.8,,,,,,
23.08.2020 21:00,15.0,763.6,763.9,0.5,77,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.9,,,,,,
23.08.2020 20:00,15.6,763.6,763.8,0.5,73,Wind blowing from the west,3,,,, ,,,,,,,,,,,10.8,,,,,,
23.08.2020 19:00,17.3,763.3,763.6,0.2,73,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,12.4,,,,,,
23.08.2020 18:00,18.0,763.1,763.3,-0.5,76,Wind blowing from the west-southwest,7,,,, ,,,,20.1,,,,,,,13.6,0.6,12,,,,
23.08.2020 17:00,18.4,763.1,763.3,-0.8,77,Wind blowing from the west-southwest,10,,14,, ,,,,,,,,,,,14.2,,,,,,
23.08.2020 16:00,18.6,763.1,763.3,-0.7,78,Wind blowing from the south-west,9,,13,, ,,,,,,,,,,,14.6,,,,,,
23.08.2020 15:00,17.7,763.6,763.7,-0.2,84,Wind blowing from the west-southwest,8,,,, ,,,,,,,,,,,14.9,,,,,,
23.08.2020 14:00,17.4,763.9,764.0,0.3,87,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,15.2,,,,,,
23.08.2020 13:00,19.4,763.8,763.9,0.2,70,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,13.8,,,,,,
23.08.2020 12:00,18.6,763.8,763.9,0.5,76,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,14.3,No precipitation,6,,,,
23.08.2020 11:00,19.1,763.6,763.8,0.5,72,Wind blowing from the west,7,,,, ,,,,,,,,,,,13.8,,,,,,
23.08.2020 10:00,19.0,763.6,763.7,0.8,74,Wind blowing from the west,6,,,, ,,,,,,,,,,,14.2,,,,,,
23.08.2020 09:00,17.8,763.3,763.5,0.9,79,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,14.1,,,,,,
23.08.2020 08:00,17.0,763.1,763.3,1.1,81,Wind blowing from the west,6,,,, ,,,,,,,,,,,13.6,,,,,,
23.08.2020 07:00,16.4,762.8,763.0,1.0,83,Wind blowing from the west,5,,,, ,,,,,,,,,,,13.4,,,,,,
23.08.2020 06:00,16.2,762.4,762.6,0.6,82,Wind blowing from the west,5,,,, ,,,15.9,,,,,,,,13.1,No precipitation,12,,,,
23.08.2020 05:00,16.0,762.0,762.2,0.4,81,Wind blowing from the west,6,,,, ,,,,,,,,,,,12.7,,,,,,
23.08.2020 04:00,16.4,761.8,761.9,0.2,78,Wind blowing from the west,7,,,, ,,,,,,,,,,,12.5,,,,,,
23.08.2020 03:00,16.7,761.8,761.9,0.1,77,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,12.6,,,,,,
23.08.2020 02:00,16.5,761.6,761.8,-0.1,75,Wind blowing from the west-southwest,8,,,, ,,,,,,,,,,,12.0,,,,,,
23.08.2020 01:00,16.4,761.6,761.8,-0.1,76,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,12.1,,,,,,
23.08.2020 00:00,16.3,761.7,761.8,0.0,79,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,12.7,No precipitation,6,,,,
22.08.2020 23:00,16.2,761.7,761.9,0.2,81,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,12.9,,,,,,
22.08.2020 22:00,16.4,761.7,761.9,0.5,80,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,13.0,,,,,,
22.08.2020 21:00,16.9,761.7,761.9,0.6,78,Wind blowing from the west-southwest,7,,13,, ,,,,,,,,,,,13.1,,,,,,
22.08.2020 20:00,17.4,761.5,761.6,0.3,77,Wind blowing from the west-southwest,9,,15,, ,,,,,,,,,,,13.3,,,,,,
22.08.2020 19:00,17.6,761.2,761.5,0.0,78,Wind blowing from the west-southwest,10,,15,, ,,,,,,,,,,,13.7,,,,,,
22.08.2020 18:00,18.3,761.1,761.3,-0.1,74,Wind blowing from the west-southwest,10,,16,, ,,,,20.9,,,,,,,13.6,No precipitation,12,,,,
22.08.2020 17:00,18.5,761.2,761.4,0.0,72,Wind blowing from the south-west,11,,17,, ,,,,,,,,,,,13.3,,,,,,
22.08.2020 16:00,18.8,761.2,761.4,0.1,71,Wind blowing from the south-west,11,,16,, ,,,,,,,,,,,13.5,,,,,,
22.08.2020 15:00,19.8,761.2,761.3,0.3,70,Wind blowing from the south-west,12,17,17,, ,,,,,,,,,,,14.2,,,,,,
22.08.2020 14:00,19.9,761.2,761.3,0.5,69,Wind blowing from the south-west,11,,18,, ,,,,,,,,,,,13.9,,,,,,
22.08.2020 13:00,20.2,761.1,761.2,0.6,64,Wind blowing from the south-west,13,,17,, ,,,,,,,,,,,13.1,,,,,,
22.08.2020 12:00,20.1,760.9,761.1,0.8,67,Wind blowing from the south-west,12,17,17,, ,,,,,,,,,,,13.8,No precipitation,6,,,,
22.08.2020 11:00,19.8,760.7,760.9,1.0,71,Wind blowing from the south-west,12,,16,, ,,,,,,,,,,,14.3,,,,,,
22.08.2020 10:00,19.1,760.5,760.6,1.1,74,Wind blowing from the south-west,11,16,16,, ,,,,,,,,,,,14.3,,,,,,
22.08.2020 09:00,18.3,760.1,760.3,1.0,75,Wind blowing from the south-west,10,,16,, ,,,,,,,,,,,13.8,,,,,,
22.08.2020 08:00,17.8,759.7,759.9,1.0,83,Wind blowing from the south-west,10,,15,, ,,,,,,,,,,,14.8,,,,,,
22.08.2020 07:00,17.6,759.4,759.5,1.1,81,Wind blowing from the south-west,9,,13,, ,,,,,,,,,,,14.3,,,,,,
22.08.2020 06:00,15.7,759.1,759.4,1.0,93,Wind blowing from the west-southwest,8,,13,, ,,,15.6,,,,,,,,14.6,1,12,,,,
22.08.2020 05:00,16.8,758.7,758.8,0.6,92,Wind blowing from the west-southwest,6,,15,, ,,,,,,,,,,,15.4,,,,,,
22.08.2020 04:00,17.8,758.3,758.5,0.3,83,Wind blowing from the south-west,10,,15,, ,,,,,,,,,,,14.9,,,,,,
22.08.2020 03:00,17.6,758.1,758.2,0.1,86,Wind blowing from the south-west,10,,17,, ,,,,,,,,,,,15.2,,,,,,
22.08.2020 02:00,18.1,758.1,758.2,0.3,83,Wind blowing from the south-west,11,16,16,, ,,,,,,,,,,,15.2,,,,,,
22.08.2020 01:00,18.1,758.0,758.2,0.4,82,Wind blowing from the west-southwest,10,,15,, ,,,,,,,,,,,14.9,,,,,,
22.08.2020 00:00,17.8,758.0,758.2,0.6,83,Wind blowing from the west-southwest,10,,17,, ,,,,,,,,,,,14.8,No precipitation,6,,,,
21.08.2020 23:00,18.4,757.8,757.9,0.6,81,Wind blowing from the south-west,10,,15,, ,,,,,,,,,,,15.1,,,,,,
21.08.2020 22:00,18.4,757.6,757.7,0.9,81,Wind blowing from the south-west,10,16,16,, ,,,,,,,,,,,15.0,,,,,,
21.08.2020 21:00,18.8,757.4,757.6,1.1,81,Wind blowing from the south-west,11,,16,, ,,,,,,,,,,,15.4,,,,,,
21.08.2020 20:00,18.6,757.2,757.3,1.1,80,Wind blowing from the south-west,10,15,16,, ,,,,,,,,,,,15.0,,,,,,
21.08.2020 19:00,19.0,756.7,756.8,0.8,79,Wind blowing from the south-west,11,16,17,, ,,,,,,,,,,,15.3,,,,,,
21.08.2020 18:00,19.7,756.3,756.4,0.6,76,Wind blowing from the south-west,11,,17,, ,,,,22.3,,,,,,,15.3,No precipitation,12,,,,
21.08.2020 17:00,20.0,756.1,756.4,0.6,78,Wind blowing from the south-west,10,,16,, ,,,,,,,,,,,16.0,,,,,,
21.08.2020 16:00,21.3,755.9,756.1,0.7,71,Wind blowing from the south-west,10,15,19,, ,,,,,,,,,,,15.7,,,,,,
21.08.2020 15:00,21.7,755.7,755.8,1.0,70,Wind blowing from the south-west,12,,18,, ,,,,,,,,,,,16.0,,,,,,
21.08.2020 14:00,21.9,755.5,755.6,1.3,71,Wind blowing from the south-west,13,,18,, ,,,,,,,,,,,16.4,,,,,,
21.08.2020 13:00,22.0,755.2,755.4,1.5,71,Wind blowing from the south-west,12,19,19,, ,,,,,,,,,,,16.5,,,,,,
21.08.2020 12:00,21.7,754.7,754.9,1.4,73,Wind blowing from the south-southwest,11,,16,, ,,,,,,,,,,,16.7,No precipitation,6,,,,
21.08.2020 11:00,21.5,754.2,754.4,1.5,72,Wind blowing from the south-southwest,12,17,17,, ,,,,,,,,,,,16.3,,,,,,
21.08.2020 10:00,20.0,753.7,754.0,1.5,76,Wind blowing from the south-southwest,13,18,18,, ,,,,,,,,,,,15.7,,,,,,
21.08.2020 09:00,20.6,753.3,753.4,1.6,74,Wind blowing from the south-southwest,13,,18,, ,,,,,,,,,,,15.7,,,,,,
21.08.2020 08:00,19.7,752.7,752.8,1.3,78,Wind blowing from the south-southwest,12,,19,, ,,,,,,,,,,,15.8,,,,,,
21.08.2020 07:00,19.5,752.2,752.5,0.9,80,Wind blowing from the south-southwest,11,,15,, ,,,,,,,,,,,16.0,,,,,,
21.08.2020 06:00,19.2,751.7,751.9,0.5,83,Wind blowing from the south,10,,15,, ,,,18.3,,,,,,,,16.2,No precipitation,12,,,,
21.08.2020 05:00,19.2,751.4,751.6,0.2,81,Wind blowing from the south,10,,14,, ,,,,,,,,,,,15.8,,,,,,
21.08.2020 04:00,19.4,751.3,751.5,0.2,78,Wind blowing from the south,9,,13,, ,,,,,,,,,,,15.4,,,,,,
21.08.2020 03:00,19.4,751.2,751.3,-0.1,78,Wind blowing from the south,9,,13,, ,,,,,,,,,,,15.4,,,,,,
21.08.2020 02:00,19.6,751.2,751.3,-0.4,85,Wind blowing from the south,8,,,, ,,,,,,,,,,,17.0,,,,,,
21.08.2020 01:00,20.0,751.1,751.3,-0.6,87,Wind blowing from the south,6,,,, ,,,,,,,,,,,17.8,,,,,,
21.08.2020 00:00,20.2,751.3,751.5,-0.8,87,Wind blowing from the south,5,,,, ,,,,,,,,,,,18.0,No precipitation,6,,,,
20.08.2020 23:00,19.5,751.6,751.7,-0.7,91,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,17.9,,,,,,
20.08.2020 22:00,19.3,751.7,751.9,-0.8,91,Wind blowing from the east-southeast,5,,,, ,,,,,,,,,,,17.7,,,,,,
20.08.2020 21:00,19.0,752.1,752.2,-0.7,82,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,15.9,,,,,,
20.08.2020 20:00,18.5,752.3,752.5,-1.0,82,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,15.4,,,,,,
20.08.2020 19:00,18.7,752.5,752.6,-0.9,80,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,15.2,,,,,,
20.08.2020 18:00,20.0,752.8,752.9,-0.9,70,Wind blowing from the south-southeast,3,,,, ,,,,21.7,,,,,,,14.3,No precipitation,12,,,,
20.08.2020 17:00,20.8,753.3,753.5,-0.6,67,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,14.4,,,,,,
20.08.2020 16:00,21.4,753.4,753.6,-0.3,73,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,16.3,,,,,,
20.08.2020 15:00,21.0,753.7,753.9,0.1,71,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,15.6,,,,,,
20.08.2020 14:00,21.0,753.9,754.0,0.3,72,Wind blowing from the south,4,,,, ,,,,,,,,,,,15.7,,,,,,
20.08.2020 13:00,21.1,753.7,753.9,0.1,71,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,15.6,,,,,,
20.08.2020 12:00,20.9,753.6,753.7,0.4,71,Wind blowing from the south,4,,,, ,,,,,,,,,,,15.4,No precipitation,6,,,,
20.08.2020 11:00,20.7,753.6,753.8,1.0,72,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,15.5,,,,,,
20.08.2020 10:00,20.4,753.6,753.7,1.1,79,Wind blowing from the south-southwest,5,,,, ,,,,,,,,,,,16.7,,,,,,
20.08.2020 09:00,19.2,753.2,753.4,1.0,81,Wind blowing from the south,4,,,, ,,,,,,,,,,,15.9,,,,,,
20.08.2020 08:00,19.0,752.6,752.8,0.7,82,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,15.9,,,,,,
20.08.2020 07:00,18.5,752.5,752.7,0.7,84,Wind blowing from the south,4,,,, ,,,,,,,,,,,15.8,,,,,,
20.08.2020 06:00,15.2,752.2,752.3,0.6,95,Wind blowing from the north-east,1,,,, ,,,15.1,,,,,,,,14.4,0.8,12,,,,
20.08.2020 05:00,16.1,751.9,752.1,0.6,87,"Calm, no wind",0,,,, ,,,,,,,,,,,14.0,,,,,,
20.08.2020 04:00,17.9,751.8,751.9,1.0,81,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,14.5,,,,,,
20.08.2020 03:00,18.4,751.6,751.8,1.2,84,Wind blowing from the west-southwest,6,,14,, ,,,,,,,,,,,15.7,,,,,,
20.08.2020 02:00,19.6,751.3,751.4,1.2,89,Wind blowing from the south-west,8,,14,, ,,,,,,,,,,,17.8,,,,,,
20.08.2020 01:00,20.3,750.8,751.0,0.8,92,Wind blowing from the south-southwest,8,,,, ,,,,,,,,,,,19.0,,,,,,
20.08.2020 00:00,20.2,750.4,750.7,,93,Wind blowing from the south,8,,,, ,,,,,,,,,,,19.1,0.6,6,,,,
19.08.2020 23:00,20.5,750.1,750.3,0.0,92,Wind blowing from the south,8,,,, ,,,,,,,,,,,19.2,,,,,,
19.08.2020 22:00,20.4,750.0,750.2,-0.1,93,Wind blowing from the south,8,,,, ,,,,,,,,,,,19.2,,,,,,
19.08.2020 21:00,20.1,750.0,750.1,-0.2,96,Wind blowing from the south-southeast,7,,,, ,,,,,,,,,,,19.4,,,,,,
19.08.2020 20:00,20.2,750.1,750.2,-0.4,94,Wind blowing from the south-southeast,5,,,, ,,,,,,,,,,,19.2,,,,,,
19.08.2020 19:00,19.8,750.1,750.3,-0.8,95,Wind blowing from the south,6,,,, ,,,,,,,,,,,18.9,,,,,,
19.08.2020 18:00,20.0,750.2,750.4,-0.8,92,Wind blowing from the south-southeast,7,,,, ,,,,20.1,,,,,,,18.6,12,12,,,,
19.08.2020 17:00,20.0,750.5,750.7,-1.1,92,Wind blowing from the south-southeast,8,,,, ,,,,,,,,,,,18.6,,,,,,
19.08.2020 16:00,19.4,750.9,751.0,-1.1,96,Wind blowing from the south-southeast,8,,,, ,,,,,,,,,,,18.7,,,,,,
19.08.2020 15:00,18.9,751.0,751.2,-1.5,98,Wind blowing from the south-southeast,8,,14,, ,,,,,,,,,,,18.6,,,,,,
19.08.2020 14:00,18.5,751.6,751.7,-1.3,98,Wind blowing from the south-southeast,9,,13,, ,,,,,,,,,,,18.2,,,,,,
19.08.2020 13:00,18.5,752.0,752.2,-1.2,98,Wind blowing from the south-southeast,9,,,, ,,,,,,,,,,,18.2,,,,,,
19.08.2020 12:00,18.5,752.5,752.6,-1.0,98,Wind blowing from the south-southeast,8,,,, ,,,,,,,,,,,18.1,7,6,,,,
19.08.2020 11:00,18.8,752.9,753.1,-1.1,96,Wind blowing from the south-southeast,7,,,, ,,,,,,,,,,,18.1,,,,,,
19.08.2020 10:00,18.7,753.2,753.4,-1.1,96,Wind blowing from the south-southeast,8,,,, ,,,,,,,,,,,18.1,,,,,,
19.08.2020 09:00,18.7,753.5,753.7,-0.8,97,Wind blowing from the south-southeast,7,,,, ,,,,,,,,,,,18.2,,,,,,
19.08.2020 08:00,18.7,754.0,754.1,-0.5,95,Wind blowing from the south-southeast,6,,,, ,,,,,,,,,,,17.9,,,,,,
19.08.2020 07:00,18.6,754.3,754.5,-0.7,95,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,17.7,,,,,,
19.08.2020 06:00,19.0,754.3,754.5,-1.1,94,Wind blowing from the south-southeast,4,,,, ,,,17.5,,,,,,,,18.0,No precipitation,12,,,,
19.08.2020 05:00,18.6,754.5,754.7,-1.4,93,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,17.5,,,,,,
19.08.2020 04:00,18.7,755.0,755.2,-1.5,93,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,17.5,,,,,,
19.08.2020 03:00,18.6,755.4,755.6,-1.6,93,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,17.4,,,,,,
19.08.2020 02:00,18.4,755.9,756.1,-1.4,93,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,17.2,,,,,,
19.08.2020 01:00,18.6,756.5,756.7,-1.0,88,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,16.5,,,,,,
19.08.2020 00:00,20.2,750.4,750.7,-7.2,93,Wind blowing from the south,8,,,, ,,,,,,,,,,,19.1,0.6,6,,,,
18.08.2020 23:00,17.8,757.3,757.5,-0.2,89,Wind blowing from the south,2,,,, ,,,,,,,,,,,15.9,,,,,,
18.08.2020 22:00,18.1,757.5,757.6,0.4,88,Wind blowing from the south,3,,,, ,,,,,,,,,,,16.1,,,,,,
18.08.2020 21:00,18.1,757.6,757.8,0.3,90,Wind blowing from the south,3,,,, ,,,,,,,,,,,16.5,,,,,,
18.08.2020 20:00,18.1,757.5,757.7,0.2,91,Wind blowing from the south,4,,,, ,,,,,,,,,,,16.6,,,,,,
18.08.2020 19:00,18.3,757.1,757.3,-0.2,90,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,16.6,,,,,,
18.08.2020 18:00,19.3,757.3,757.4,-0.2,86,Wind blowing from the south-southwest,5,,,, ,,,,21.5,,,,,,,16.9,No precipitation,12,,,,
18.08.2020 17:00,20.3,757.3,757.5,-0.4,82,Wind blowing from the south-southwest,6,,,, ,,,,,,,,,,,17.1,,,,,,
