# Weather station Mumbles, UK, WMO_ID=3609,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3609&lang=en
#
"Local time in Mumbles";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.09.2020 04:00";"14.3";"759.6";"763.5";"-0.7";"76";"Wind blowing from the north-east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"19.09.2020 03:00";"14.2";"759.7";"763.6";"-0.9";"77";"Wind blowing from the north-east";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"19.09.2020 02:00";"14.3";"760.0";"763.9";"-0.7";"76";"Wind blowing from the north-east";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"19.09.2020 01:00";"14.4";"760.3";"764.2";"-0.8";"76";"Wind blowing from the north-east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"19.09.2020 00:00";"14.7";"760.6";"764.5";"-0.5";"71";"Wind blowing from the north-east";"8";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"No precipitation";"6";"";"";"";"";
"18.09.2020 23:00";"14.9";"760.7";"764.5";"-0.4";"70";"Wind blowing from the north-east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"18.09.2020 22:00";"16.0";"761.1";"764.9";"-0.2";"65";"Wind blowing from the north-east";"9";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"18.09.2020 21:00";"17.4";"761.1";"765.0";"0.1";"58";"Wind blowing from the east-northeast";"11";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"18.09.2020 20:00";"17.9";"761.1";"764.9";"0.2";"61";"Wind blowing from the east-northeast";"9";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"18.09.2020 19:00";"17.8";"761.3";"765.1";"0.4";"61";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"18.09.2020 18:00";"18.2";"761.0";"764.8";"-0.2";"57";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"19.7";"";"";"";"";"";"";"9.4";"No precipitation";"12";"";"";"";"";
"18.09.2020 17:00";"18.6";"760.9";"764.7";"-0.9";"58";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"18.09.2020 16:00";"19.0";"760.9";"764.7";"-1.4";"52";"Wind blowing from the east-northeast";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"18.09.2020 15:00";"19.1";"761.2";"765.0";"-1.4";"53";"Wind blowing from the east";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"18.09.2020 14:00";"19.3";"761.8";"765.7";"-1.3";"59";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"18.09.2020 13:00";"19.3";"762.3";"766.1";"-1.3";"55";"Wind blowing from the east";"8";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"18.09.2020 12:00";"18.1";"762.6";"766.4";"-1.3";"57";"Wind blowing from the north-east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"No precipitation";"6";"";"";"";"";
"18.09.2020 11:00";"17.7";"763.1";"766.9";"-0.8";"55";"Wind blowing from the east-northeast";"8";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"18.09.2020 10:00";"16.3";"763.6";"767.5";"0.0";"62";"Wind blowing from the east-northeast";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"18.09.2020 09:00";"15.5";"763.9";"767.8";"0.0";"66";"Wind blowing from the east-northeast";"11";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"18.09.2020 08:00";"14.2";"763.9";"767.8";"0.0";"72";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"18.09.2020 07:00";"13.3";"763.6";"767.5";"-0.7";"74";"Wind blowing from the north-east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"18.09.2020 06:00";"13.0";"763.9";"767.8";"-0.8";"77";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"12.1";"";"";"";"";"";"";"";"9.0";"No precipitation";"12";"";"";"";"";
"18.09.2020 05:00";"12.5";"763.9";"767.8";"-1.3";"80";"Wind blowing from the north-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"18.09.2020 04:00";"12.3";"764.3";"768.3";"-1.3";"79";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"18.09.2020 03:00";"12.7";"764.7";"768.6";"-0.7";"76";"Wind blowing from the north-east";"8";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"18.09.2020 02:00";"13.3";"765.2";"769.2";"-0.2";"71";"Wind blowing from the east";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"18.09.2020 01:00";"14.6";"765.6";"769.5";"0.1";"69";"Wind blowing from the east";"9";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"18.09.2020 00:00";"15.9";"765.4";"769.3";"";"64";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"17.09.2020 23:00";"16.6";"765.4";"769.3";"-0.2";"64";"Wind blowing from the east-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"17.09.2020 22:00";"17.0";"765.5";"769.3";"0.1";"65";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"17.09.2020 21:00";"17.0";"765.4";"769.3";"0.0";"67";"Wind blowing from the north-east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"17.09.2020 20:00";"17.2";"765.6";"769.5";"0.2";"66";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"17.09.2020 19:00";"17.8";"765.4";"769.3";"-0.2";"64";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"17.09.2020 18:00";"18.4";"765.4";"769.3";"-0.5";"63";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"20.4";"";"";"";"";"";"";"11.2";"No precipitation";"12";"";"";"";"";
"17.09.2020 17:00";"18.9";"765.4";"769.3";"-1.1";"59";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"17.09.2020 16:00";"19.2";"765.6";"769.4";"-1.3";"60";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"17.09.2020 15:00";"19.5";"765.9";"769.7";"-1.3";"58";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"17.09.2020 14:00";"20.2";"766.5";"770.3";"-1.0";"51";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"17.09.2020 13:00";"20.3";"766.9";"770.8";"-0.7";"53";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"17.09.2020 12:00";"19.3";"767.2";"771.1";"-0.7";"57";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"No precipitation";"6";"";"";"";"";
"17.09.2020 11:00";"18.9";"767.5";"771.4";"-0.3";"60";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"17.09.2020 10:00";"17.7";"767.6";"771.4";"-0.2";"61";"Wind blowing from the east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"17.09.2020 09:00";"17.0";"767.9";"771.8";"0.3";"73";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"17.09.2020 08:00";"15.4";"767.8";"771.8";"0.3";"78";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"17.09.2020 07:00";"14.3";"767.8";"771.7";"0.2";"84";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"17.09.2020 06:00";"14.4";"767.6";"771.5";"-0.1";"86";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"14.4";"";"";"";"";"";"";"";"12.0";"No precipitation";"12";"";"";"";"";
"17.09.2020 05:00";"14.8";"767.5";"771.4";"-0.3";"86";"Wind blowing from the east-southeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"17.09.2020 04:00";"15.4";"767.6";"771.5";"-0.2";"87";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"17.09.2020 03:00";"15.4";"767.7";"771.6";"0.0";"87";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"17.09.2020 02:00";"15.5";"767.8";"771.7";"0.4";"87";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"17.09.2020 01:00";"15.9";"767.8";"771.7";"0.7";"86";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"17.09.2020 00:00";"15.9";"765.4";"769.3";"-1.2";"64";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"16.09.2020 23:00";"16.9";"767.4";"771.3";"1.4";"82";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.7";"";"";"";"";"";"";
"16.09.2020 22:00";"17.6";"767.1";"770.9";"1.7";"82";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"";"";"";"";"";"";
"16.09.2020 21:00";"18.1";"766.6";"770.4";"1.6";"82";"Wind blowing from the north-east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"16.09.2020 20:00";"19.1";"766.0";"769.9";"1.0";"81";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"16.09.2020 19:00";"20.0";"765.4";"769.3";"0.6";"81";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"16.09.2020 18:00";"20.7";"765.0";"768.9";"-0.1";"78";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"20.7";"";"";"";"";"";"";"16.8";"No precipitation";"12";"";"";"";"";
"16.09.2020 17:00";"19.5";"765.0";"768.9";"0.2";"80";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"16.09.2020 16:00";"18.5";"764.8";"768.7";"-0.3";"83";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"16.09.2020 15:00";"16.2";"765.1";"769.0";"-0.1";"94";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"16.09.2020 14:00";"16.7";"764.8";"768.7";"-0.3";"92";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"16.09.2020 13:00";"17.1";"765.1";"769.0";"0.1";"96";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"16.09.2020 12:00";"16.0";"765.2";"769.1";"0.5";"98";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"No precipitation";"6";"";"";"";"";
"16.09.2020 11:00";"15.5";"765.1";"769.0";"0.8";"98";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"16.09.2020 10:00";"14.9";"765.0";"768.9";"0.8";"98";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"16.09.2020 09:00";"14.9";"764.7";"768.6";"0.8";"99";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"16.09.2020 08:00";"14.5";"764.3";"768.3";"0.8";"99";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"16.09.2020 07:00";"14.0";"764.2";"768.1";"0.9";"98";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.7";"";"";"";"";"";"";
"16.09.2020 06:00";"14.3";"763.9";"767.8";"0.6";"98";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"13.8";"";"";"";"";"";"";"";"14.0";"0.2";"12";"";"";"";"";
"16.09.2020 05:00";"13.9";"763.5";"767.5";"0.2";"99";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.7";"";"";"";"";"";"";
"16.09.2020 04:00";"14.6";"763.3";"767.2";"-0.1";"99";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"16.09.2020 03:00";"14.9";"763.3";"767.2";"";"98";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"16.09.2020 02:00";"15.4";"763.3";"767.2";"0.0";"98";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"16.09.2020 01:00";"15.1";"763.4";"767.3";"0.4";"98";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"16.09.2020 00:00";"16.4";"767.7";"771.6";"5.0";"84";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"No precipitation";"6";"";"";"";"";
"15.09.2020 23:00";"16.2";"763.3";"767.2";"0.6";"98";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"";"";"";"";"";"";
"15.09.2020 22:00";"16.4";"763.0";"766.9";"0.9";"98";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"15.09.2020 21:00";"16.3";"762.7";"766.6";"0.9";"98";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"15.09.2020 20:00";"16.3";"762.7";"766.5";"1.1";"98";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"15.09.2020 19:00";"16.2";"762.1";"766.0";"0.6";"97";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"15.09.2020 18:00";"16.6";"761.8";"765.7";"0.7";"97";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"21.4";"";"";"";"";"";"";"16.1";"0.2";"12";"";"";"";"";
"15.09.2020 17:00";"16.7";"761.6";"765.4";"0.0";"95";"Wind blowing from the west-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"";"";"";"";"";"";
"15.09.2020 16:00";"18.2";"761.5";"765.3";"0.5";"89";"Wind blowing from the west-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"15.09.2020 15:00";"21.2";"761.1";"764.9";"-0.7";"72";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"";"";"";"";"";"";
"15.09.2020 14:00";"18.8";"761.6";"765.4";"0.2";"85";"Wind blowing from the west-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"15.09.2020 13:00";"18.6";"761.0";"764.8";"0.0";"83";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"15.09.2020 12:00";"18.2";"761.8";"765.7";"0.6";"88";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"No precipitation";"6";"";"";"";"";
"15.09.2020 11:00";"20.1";"761.4";"765.2";"0.9";"66";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"15.09.2020 10:00";"19.4";"761.0";"764.8";"0.8";"73";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"15.09.2020 09:00";"19.5";"761.2";"765.1";"1.5";"75";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"15.09.2020 08:00";"19.0";"760.5";"764.3";"1.1";"76";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"15.09.2020 07:00";"18.2";"760.2";"764.0";"0.9";"76";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"15.09.2020 06:00";"18.0";"759.7";"763.5";"-0.2";"67";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"17.0";"";"";"";"";"";"";"";"11.8";"No precipitation";"12";"";"";"";"";
"15.09.2020 05:00";"17.9";"759.4";"763.2";"-0.5";"66";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"15.09.2020 04:00";"17.7";"759.3";"763.1";"-0.7";"72";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"15.09.2020 03:00";"19.6";"759.9";"763.7";"-0.2";"57";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"15.09.2020 02:00";"19.6";"759.9";"763.6";"-0.3";"59";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"15.09.2020 01:00";"21.1";"760.0";"763.8";"-0.3";"51";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"15.09.2020 00:00";"21.0";"760.1";"763.9";"-0.2";"53";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"No precipitation";"6";"";"";"";"";
"14.09.2020 23:00";"21.3";"760.2";"764.0";"-0.1";"55";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"14.09.2020 22:00";"21.0";"760.3";"764.1";"0.3";"60";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"14.09.2020 21:00";"21.4";"760.3";"764.0";"0.4";"59";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"14.09.2020 20:00";"21.8";"760.3";"764.1";"0.3";"57";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"14.09.2020 19:00";"21.9";"760.0";"763.9";"-0.1";"59";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"14.09.2020 18:00";"22.2";"759.9";"763.7";"-0.6";"61";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"22.6";"";"";"";"";"";"";"14.2";"No precipitation";"12";"";"";"";"";
"14.09.2020 17:00";"21.5";"760.0";"763.8";"-0.9";"66";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"14.09.2020 16:00";"21.5";"760.1";"763.9";"-1.3";"66";"Wind blowing from the east-southeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"14.09.2020 15:00";"22.0";"760.5";"764.3";"-1.1";"67";"Wind blowing from the east-southeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"14.09.2020 14:00";"20.8";"760.9";"764.8";"-1.0";"69";"Wind blowing from the east-southeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"14.09.2020 13:00";"20.4";"761.4";"765.2";"-1.0";"69";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"14.09.2020 12:00";"22.1";"761.6";"765.4";"-0.8";"65";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"No precipitation";"6";"";"";"";"";
"14.09.2020 11:00";"20.4";"761.9";"765.7";"-0.5";"66";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"14.09.2020 10:00";"19.5";"762.4";"766.3";"0.0";"70";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"14.09.2020 09:00";"18.4";"762.4";"766.2";"0.3";"74";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"14.09.2020 08:00";"17.3";"762.4";"766.3";"0.1";"78";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"14.09.2020 07:00";"15.2";"762.4";"766.3";"0.0";"85";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"14.09.2020 06:00";"14.3";"762.1";"766.0";"-0.6";"88";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"14.2";"";"";"";"";"";"";"";"12.3";"No precipitation";"12";"";"";"";"";
"14.09.2020 05:00";"14.2";"762.3";"766.2";"-0.7";"90";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"";"";"";"";"";"";
"14.09.2020 04:00";"14.7";"762.4";"766.3";"-0.9";"88";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"14.09.2020 03:00";"14.9";"762.7";"766.6";"-0.7";"88";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"14.09.2020 02:00";"14.6";"763.0";"766.9";"-0.6";"91";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"14.09.2020 01:00";"15.4";"763.3";"767.2";"-0.2";"90";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"14.09.2020 00:00";"15.4";"763.4";"767.3";"";"92";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"No precipitation";"6";"";"";"";"";
"13.09.2020 23:00";"15.4";"763.6";"767.5";"0.1";"92";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"13.09.2020 22:00";"15.4";"763.5";"767.4";"0.4";"91";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"13.09.2020 21:00";"15.9";"763.5";"767.4";"0.2";"90";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"13.09.2020 20:00";"16.2";"763.5";"767.3";"0.1";"87";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"13.09.2020 19:00";"16.5";"763.1";"767.0";"-0.6";"83";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"13.09.2020 18:00";"17.0";"763.3";"767.2";"-0.6";"82";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"20.0";"";"";"";"";"";"";"13.9";"No precipitation";"12";"";"";"";"";
"13.09.2020 17:00";"18.7";"763.4";"767.2";"-0.9";"76";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"13.09.2020 16:00";"18.7";"763.7";"767.5";"-0.9";"75";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"13.09.2020 15:00";"18.5";"763.9";"767.8";"-0.9";"78";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"13.09.2020 14:00";"18.4";"764.3";"768.1";"-0.4";"79";"Wind blowing from the west-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"13.09.2020 13:00";"18.8";"764.6";"768.4";"0.0";"77";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"13.09.2020 12:00";"19.2";"764.8";"768.6";"0.6";"77";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"No precipitation";"6";"";"";"";"";
