# Weather station Hereford, UK, WMO_ID=3522,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3522&lang=en
#
"Local time in Hereford";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.09.2020 04:00";"16.8";"752.4";"759.1";"-0.6";"96";"Wind blowing from the south-east";"1";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"15.0";"16.2";"";"";"";"";"";"";
"03.09.2020 03:00";"16.7";"752.5";"759.3";"-0.9";"94";"Wind blowing from the south-southeast";"1";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"200-300";"";"";"30.0";"15.7";"";"";"";"";"";"";
"03.09.2020 02:00";"17.0";"752.8";"759.7";"-1.1";"92";"Wind blowing from the south";"1";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"23.0";"15.6";"";"";"";"";"";"";
"03.09.2020 01:00";"16.8";"753.0";"759.7";"-1.2";"92";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"15.4";"";"";"";"";"";"";
"03.09.2020 00:00";"10.9";"757.8";"764.8";"3.4";"94";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"15.0";"9.9";"No precipitation";"6";"";"";"";"";
"02.09.2020 23:00";"16.1";"753.9";"760.7";"";"91";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"14.6";"";"";"";"";"";"";
"02.09.2020 22:00";"16.4";"754.2";"761.0";"";"89";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"14.6";"";"";"";"";"";"";
"02.09.2020 21:00";"16.2";"754.4";"761.2";"";"89";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"25.0";"14.3";"";"";"";"";"";"";
"02.09.2020 09:00";"15.1";"757.0";"763.8";"-0.3";"77";"Wind blowing from the south-east";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"11.1";"";"";"";"";"";"";
"02.09.2020 08:00";"13.3";"757.2";"764.1";"-0.1";"93";"Wind blowing from the south-southeast";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"6.0";"12.2";"";"";"";"";"";"";
"02.09.2020 07:00";"10.3";"757.3";"764.2";"-0.3";"100";"Wind blowing from the east-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"5.0";"10.3";"";"";"";"";"";"";
"02.09.2020 06:00";"8.6";"757.3";"764.3";"-0.1";"99";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"8.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.9";"8.5";"No precipitation";"12";"";"";"";"";
"02.09.2020 05:00";"8.4";"757.3";"764.4";"-0.4";"99";"Wind blowing from the east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"3.2";"8.3";"";"";"";"";"";"";
"02.09.2020 04:00";"8.1";"757.6";"764.6";"-0.3";"98";"Wind blowing from the west-northwest";"1";"";"";"";"Fog ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"5.0";"7.8";"";"";"";"";"";"";
"02.09.2020 03:00";"8.3";"757.4";"764.5";"-0.7";"98";"Calm, no wind";"0";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"0.9";"8.0";"";"";"";"";"";"";
"02.09.2020 02:00";"8.9";"757.7";"764.8";"-0.7";"97";"Wind blowing from the east-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.6";"8.4";"";"";"";"";"";"";
"02.09.2020 01:00";"9.7";"757.9";"764.9";"-0.6";"96";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.9";"9.1";"";"";"";"";"";"";
"02.09.2020 00:00";"10.4";"758.1";"765.1";"-0.2";"96";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"9.8";"No precipitation";"6";"";"";"";"";
"01.09.2020 23:00";"11.3";"758.4";"765.4";"0.2";"93";"Wind blowing from the west-southwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"6.0";"10.2";"";"";"";"";"";"";
"01.09.2020 22:00";"13.1";"758.5";"765.4";"0.6";"89";"Wind blowing from the west";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"11.3";"";"";"";"";"";"";
"01.09.2020 21:00";"13.7";"758.3";"765.2";"0.4";"84";"Calm, no wind";"0";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"11.1";"";"";"";"";"";"";
"01.09.2020 20:00";"13.7";"758.2";"765.1";"0.4";"84";"Wind blowing from the west";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"7.0";"11.1";"";"";"";"";"";"";
"01.09.2020 19:00";"13.6";"757.9";"764.8";"-0.2";"80";"Calm, no wind";"0";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"7.0";"10.2";"";"";"";"";"";"";
"01.09.2020 18:00";"15.2";"757.9";"764.8";"-0.3";"70";"Wind blowing from the south-west";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"20.1";"";"";"1500-2000";"";"";"8.0";"9.8";"No precipitation";"12";"";"";"";"";
"01.09.2020 17:00";"19.2";"757.8";"764.5";"-0.6";"56";"Wind blowing from the south-west";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"10.1";"";"";"";"";"";"";
"01.09.2020 16:00";"19.4";"758.1";"764.8";"-0.5";"51";"Wind blowing from the south-southeast";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"10.0";"9.0";"";"";"";"";"";"";
"01.09.2020 15:00";"18.9";"758.2";"765.0";"-0.6";"54";"Wind blowing from the west-southwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"9.2";"";"";"";"";"";"";
"01.09.2020 14:00";"18.8";"758.4";"765.1";"-0.7";"53";"Wind blowing from the west-southwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"9.1";"";"";"";"";"";"";
"01.09.2020 13:00";"18.2";"758.6";"765.4";"-0.7";"54";"Wind blowing from the south-west";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"8.6";"";"";"";"";"";"";
"01.09.2020 12:00";"18.8";"758.8";"765.6";"-0.7";"54";"Wind blowing from the west-southwest";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"9.0";"9.3";"No precipitation";"6";"";"";"";"";
"01.09.2020 11:00";"18.4";"759.1";"765.9";"-0.3";"58";"Wind blowing from the east-southeast";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"10.0";"";"";"";"";"";"";
"01.09.2020 10:00";"16.5";"759.3";"766.1";"-0.3";"72";"Wind blowing from the south";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"8.0";"11.5";"";"";"";"";"";"";
"01.09.2020 09:00";"13.3";"759.5";"766.4";"0.1";"84";"Wind blowing from the south-west";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"10.7";"";"";"";"";"";"";
"01.09.2020 08:00";"10.5";"759.4";"766.4";"0.3";"99";"Wind blowing from the east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"10.3";"";"";"";"";"";"";
"01.09.2020 07:00";"8.0";"759.6";"766.6";"0.5";"99";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"4.8";"7.9";"";"";"";"";"";"";
"01.09.2020 06:00";"7.2";"759.4";"766.4";"0.3";"99";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"6.6";"";"";"";"1500-2000";"";"";"3.7";"7.1";"No precipitation";"12";"";"";"";"";
"01.09.2020 05:00";"7.0";"759.1";"766.2";"0.0";"99";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"3.7";"6.8";"";"";"";"";"";"";
"01.09.2020 04:00";"7.0";"759.1";"766.2";"-0.1";"98";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"3.8";"6.7";"";"";"";"";"";"";
"01.09.2020 03:00";"8.0";"759.1";"766.2";"-0.1";"98";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"5.0";"7.7";"";"";"";"";"";"";
"01.09.2020 02:00";"8.4";"759.1";"766.2";"-0.1";"97";"Wind blowing from the west-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"5.0";"8.0";"";"";"";"";"";"";
"01.09.2020 01:00";"8.4";"759.2";"766.3";"0.1";"96";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"5.0";"7.8";"";"";"";"";"";"";
"01.09.2020 00:00";"8.9";"759.2";"766.3";"0.0";"96";"Wind blowing from the east-southeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"8.3";"No precipitation";"6";"";"";"";"";
"31.08.2020 23:00";"8.9";"759.2";"766.2";"0.0";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"6.0";"8.1";"";"";"";"";"";"";
"31.08.2020 22:00";"10.2";"759.1";"766.1";"0.0";"92";"Wind blowing from the west-northwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"8.9";"";"";"";"";"";"";
"31.08.2020 21:00";"10.5";"759.2";"766.2";"0.1";"88";"Wind blowing from the north";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"8.6";"";"";"";"";"";"";
"31.08.2020 20:00";"12.2";"759.2";"766.1";"0.0";"80";"Wind blowing from the east";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"7.0";"8.8";"";"";"";"";"";"";
"31.08.2020 19:00";"13.9";"759.1";"766.0";"0.0";"71";"Wind blowing from the east-southeast";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"8.7";"";"";"";"";"";"";
"31.08.2020 18:00";"15.2";"759.1";"766.0";"-0.2";"68";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"18.0";"";"";"1500-2000";"";"";"10.0";"9.3";"No precipitation";"12";"";"";"";"";
"31.08.2020 17:00";"16.5";"759.2";"766.0";"-0.4";"56";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"10.0";"7.7";"";"";"";"";"";"";
"31.08.2020 16:00";"16.8";"759.1";"766.0";"-0.4";"55";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"7.7";"";"";"";"";"";"";
"31.08.2020 15:00";"17.5";"759.3";"766.1";"-0.6";"53";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"7.8";"";"";"";"";"";"";
"31.08.2020 14:00";"17.3";"759.6";"766.3";"-0.5";"51";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"7.0";"";"";"";"";"";"";
"31.08.2020 13:00";"17.1";"759.5";"766.3";"-0.7";"52";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"7.0";"";"";"";"";"";"";
"31.08.2020 12:00";"16.4";"759.9";"766.7";"-0.4";"55";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"7.3";"No precipitation";"6";"";"";"";"";
"31.08.2020 11:00";"15.7";"760.1";"766.9";"-0.2";"53";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"6.1";"";"";"";"";"";"";
"31.08.2020 10:00";"15.0";"760.2";"767.0";"0.0";"73";"Wind blowing from the east-northeast";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"9.0";"10.1";"";"";"";"";"";"";
"31.08.2020 09:00";"12.7";"760.3";"767.2";"0.3";"75";"Wind blowing from the east";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"8.0";"8.4";"";"";"";"";"";"";
"31.08.2020 08:00";"10.1";"760.3";"767.2";"0.5";"94";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"8.0";"9.1";"";"";"";"";"";"";
"31.08.2020 07:00";"7.1";"760.2";"767.3";"0.4";"100";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"6.0";"7.1";"";"";"";"";"";"";
"31.08.2020 06:00";"5.7";"760.0";"767.0";"0.0";"100";"Wind blowing from the south-east";"1";"";"";"";"Mist. ";"";"";"3.9";"";"";"";"1500-2000";"";"";"3.9";"5.7";"No precipitation";"12";"";"";"";"";
"31.08.2020 05:00";"4.9";"759.8";"766.9";"-0.2";"99";"Wind blowing from the east-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"5.0";"4.8";"";"";"";"";"";"";
"31.08.2020 04:00";"4.8";"759.8";"766.9";"-0.3";"99";"Calm, no wind";"0";"";"";"";"Fog ";"";"";"";"";"";"";"1500-2000";"";"";"3.5";"4.7";"";"";"";"";"";"";
"31.08.2020 03:00";"4.5";"760.0";"767.1";"-0.3";"99";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"3.3";"4.3";"";"";"";"";"";"";
"31.08.2020 02:00";"5.0";"760.0";"767.2";"-0.1";"98";"Wind blowing from the west-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"6.0";"4.7";"";"";"";"";"";"";
"31.08.2020 01:00";"5.1";"760.1";"767.2";"0.2";"98";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.3";"4.8";"";"";"";"";"";"";
"31.08.2020 00:00";"6.1";"760.3";"767.4";"0.8";"98";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.5";"5.8";"No precipitation";"6";"";"";"";"";
"30.08.2020 23:00";"6.5";"760.1";"767.2";"0.7";"97";"Wind blowing from the south";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.3";"6.0";"";"";"";"";"";"";
"30.08.2020 22:00";"7.5";"759.9";"766.9";"0.8";"95";"Wind blowing from the south-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"6.7";"";"";"";"";"";"";
"30.08.2020 21:00";"8.0";"759.5";"766.6";"0.6";"90";"Wind blowing from the west-southwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"6.4";"";"";"";"";"";"";
"30.08.2020 20:00";"9.7";"759.4";"766.4";"0.6";"80";"Wind blowing from the west-southwest";"1";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"6.0";"6.4";"";"";"";"";"";"";
"30.08.2020 19:00";"12.9";"759.1";"766.0";"0.2";"62";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"10.0";"5.7";"";"";"";"";"";"";
"30.08.2020 18:00";"14.3";"758.9";"765.8";"0.0";"56";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"16.8";"";"";"1500-2000";"";"";"10.0";"5.5";"No precipitation";"12";"";"";"";"";
"30.08.2020 17:00";"15.9";"758.8";"765.7";"-0.1";"50";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"10.0";"5.3";"";"";"";"";"";"";
"30.08.2020 16:00";"15.6";"758.9";"765.7";"0.2";"49";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"4.8";"";"";"";"";"";"";
"30.08.2020 15:00";"14.9";"758.9";"765.8";"0.2";"52";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"5.0";"";"";"";"";"";"";
"30.08.2020 14:00";"16.0";"758.9";"765.7";"0.4";"55";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"6.8";"";"";"";"";"";"";
"30.08.2020 13:00";"15.4";"758.7";"765.5";"0.5";"55";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"6.3";"";"";"";"";"";"";
"30.08.2020 12:00";"14.4";"758.7";"765.6";"0.5";"55";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"5.4";"No precipitation";"6";"";"";"";"";
"30.08.2020 11:00";"14.3";"758.5";"765.4";"0.3";"59";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"6.4";"";"";"";"";"";"";
"30.08.2020 10:00";"13.4";"758.2";"765.1";"0.1";"60";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"5.8";"";"";"";"";"";"";
"30.08.2020 09:00";"12.1";"758.2";"765.1";"0.2";"68";"Wind blowing from the north-west";"4";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"9.0";"6.3";"";"";"";"";"";"";
"30.08.2020 08:00";"10.7";"758.2";"765.1";"0.6";"73";"Wind blowing from the north-northwest";"3";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"9.0";"6.0";"";"";"";"";"";"";
"30.08.2020 07:00";"8.9";"758.1";"765.1";"0.5";"80";"Wind blowing from the north-west";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"5.6";"";"";"";"";"";"";
"30.08.2020 06:00";"7.7";"758.0";"765.1";"0.7";"83";"Wind blowing from the west-northwest";"3";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"6.7";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"4.9";"No precipitation";"12";"";"";"";"";
"30.08.2020 05:00";"7.4";"757.6";"764.6";"0.5";"83";"Wind blowing from the north-northwest";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"4.6";"";"";"";"";"";"";
"30.08.2020 04:00";"7.9";"757.6";"764.6";"0.6";"81";"Wind blowing from the north-west";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"4.8";"";"";"";"";"";"";
"30.08.2020 03:00";"8.7";"757.3";"764.3";"0.6";"82";"Wind blowing from the north-west";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"5.7";"";"";"";"";"";"";
"30.08.2020 02:00";"9.2";"757.1";"764.1";"0.7";"82";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"12.0";"6.2";"";"";"";"";"";"";
"30.08.2020 01:00";"11.1";"757.0";"763.9";"1.0";"74";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"6.5";"";"";"";"";"";"";
"30.08.2020 00:00";"6.1";"760.3";"767.4";"4.5";"98";"Wind blowing from the south-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.5";"5.8";"No precipitation";"6";"";"";"";"";
"29.08.2020 23:00";"12.3";"756.4";"763.3";"0.9";"73";"Wind blowing from the north-northwest";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1500-2000";"";"";"10.0";"7.6";"";"";"";"";"";"";
"29.08.2020 22:00";"12.4";"756.0";"762.9";"1.1";"74";"Wind blowing from the north-northwest";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"8.0";"7.8";"";"";"";"";"";"";
"29.08.2020 21:00";"12.5";"755.8";"762.7";"1.4";"74";"Wind blowing from the north-northwest";"3";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"7.9";"";"";"";"";"";"";
"29.08.2020 20:00";"12.8";"755.5";"762.4";"1.4";"72";"Wind blowing from the north";"4";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"8.0";"7.8";"";"";"";"";"";"";
"29.08.2020 19:00";"13.4";"754.9";"761.8";"1.1";"66";"Wind blowing from the north-northwest";"4";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"7.2";"";"";"";"";"";"";
"29.08.2020 18:00";"13.9";"754.4";"761.3";"0.7";"64";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"16.2";"";"";"1000-1500";"";"";"11.0";"7.1";"No precipitation";"12";"";"";"";"";
"29.08.2020 17:00";"14.6";"754.1";"760.9";"0.7";"59";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"6.7";"";"";"";"";"";"";
"29.08.2020 16:00";"14.8";"753.8";"760.6";"0.9";"58";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"12.0";"6.5";"";"";"";"";"";"";
"29.08.2020 15:00";"14.9";"753.7";"760.6";"0.9";"62";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"7.6";"";"";"";"";"";"";
"29.08.2020 14:00";"15.5";"753.4";"760.2";"0.9";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"14.0";"6.2";"";"";"";"";"";"";
"29.08.2020 13:00";"15.4";"752.9";"759.7";"0.5";"55";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"14.0";"6.4";"";"";"";"";"";"";
"29.08.2020 12:00";"15.7";"752.8";"759.6";"0.7";"54";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"14.0";"6.4";"No precipitation";"6";"";"";"";"";
"29.08.2020 11:00";"15.0";"752.5";"759.3";"0.6";"58";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"13.0";"6.7";"";"";"";"";"";"";
"29.08.2020 10:00";"14.2";"752.4";"759.2";"0.7";"56";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"14.0";"5.4";"";"";"";"";"";"";
"29.08.2020 09:00";"13.4";"752.1";"758.9";"0.6";"67";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"12.0";"7.4";"";"";"";"";"";"";
"29.08.2020 08:00";"12.1";"751.9";"758.7";"1.0";"75";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"12.0";"7.7";"";"";"";"";"";"";
"29.08.2020 07:00";"11.4";"751.7";"758.5";"1.3";"76";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"12.0";"7.2";"";"";"";"";"";"";
"29.08.2020 06:00";"10.3";"751.5";"758.4";"1.2";"79";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"10.2";"";"";"";"1500-2000";"";"";"11.0";"6.8";"No precipitation";"12";"";"";"";"";
"29.08.2020 05:00";"10.6";"750.9";"757.7";"0.8";"79";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"7.0";"";"";"";"";"";"";
"29.08.2020 04:00";"10.9";"750.4";"757.3";"0.6";"77";"Wind blowing from the north-northwest";"4";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"7.0";"";"";"";"";"";"";
